SimTime,COG Pos.x [m],COG Pos.y [m],COG Pos.z [m],Port Pos.x [m],Port Pos.y [m],Port Pos.z [m],COG Vel.x [m],COG Vel.y [m],COG Vel.z [m],Port Vel.x [m],Port Vel.y [m],Port Vel.z [m],Rot Angle.x [deg],Rot Angle.y [deg],Rot Angle.z [deg],Rot. Rate.x [deg/s],Rot. Rate.y [deg/s],Rot. Rate.z [deg/s],Rot. Rate.x [deg/s] (VLCS),Rot. Rate.y [deg/s] (VLCS),Rot. Rate.Z [deg/s] (VLCS),Tank mass [kg],THC.z,THC.y,THC.x,RHC.z,RHC.y,RHC.x,MFDLeft,MFDRight,MyROT.m11,MyROT.m12,MyROT.m13,MyROT.m21,MyROT.m22,MyROT.m23,MyROT.m31,MyROT.m32,MyROT.m33,TgtRot.m11,TgtRot.m12,TgtRot.m13,TgtRot.m21,TgtRot.m22,TgtRot.m23,TgtRot.m31,TgtRot.m32,TgtRot.m33,MyAngVel.x,MyAngVel.y,MyAngVel.z,TgtAngVel.x,TgtAngVel.y,TgtAngVel.z,RelPos.x,RelPos.y,RelPos.z,RelVel.x,RelVel.y,RelVel.z,MySs.x,MySs.y,MySs.z,TgtSs.x,TgtSs.y,TgtSs.z,MyLVPos.x,MyLVPos.y,MyLVPos.z,MyLVVel.x,MyLVVel.y,MyLVVel.z,TgtLVPos.x,TgtLVPos.y,TgtLVPos.z,TgtLVVel.x,TgtLVVel.y,TgtLVVel.z,MyDockPos.x,MyDockPos.y,MyDockPos.z,MyDockDir.x,MyDockDir.y,MyDockDir.z,MyDockRot.x,MyDockRot.y,MyDockRot.z,TgtDockPos.x,TgtDockPos.y,TgtDockPos.z,TgtDockDir.x,TgtDockDir.y,TgtDockDir.z,TgtDockRot.x,TgtDockRot.y,TgtDockRot.z,Lateral Offset,Lateral Velocity,Ideal Approach Vel,Angle to Port,Approach Cone,Max Rot Angle,Max Rot Velocity
0.1835,83.465,-25.797,3.694,79.796,-24.281,3.524,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.343,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.977,-0.0395,-0.2096,-0.2099,-0.3519,-0.9122,-0.0378,0.9352,-0.3521,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.091,-0.015,0.109,41.3931,114.8872,18.3003,0.0,0.0435,-0.3742,0.0,0.0,0.0,4230557.678,3320441.6266,4046246.899,-3057.8514,-3553.1217,6107.6507,4230516.2849,3320326.7394,4046228.5987,-3057.7604,-3553.1067,6107.5417,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.060139005768946,0.15472879499304582,-0.417325,6.18898193463615,14.71713144483203,,
0.3858,83.452,-25.828,3.691,79.784,-24.31,3.521,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.372,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9771,-0.0395,-0.2093,-0.2096,-0.3523,-0.9121,-0.0376,0.9351,-0.3525,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0909,-0.015,0.1091,41.3748,114.8842,18.3223,0.0,0.0435,-0.3742,0.0,0.0,0.0,4229942.0204,3319726.2945,4047476.2611,-3058.9649,-3553.9956,6106.5856,4229900.6456,3319611.4104,4047457.9388,-3058.8739,-3553.9806,6106.4765,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.090401779198416,0.15472879499304582,-0.41725999999999996,6.20059361145881,14.714839194082819,,
0.5875,83.439,-25.859,3.688,79.771,-24.34,3.518,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.4,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9771,-0.0396,-0.2089,-0.2093,-0.3526,-0.9121,-0.0375,0.9349,-0.3528,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0909,-0.015,0.1091,41.3564,114.8812,18.3443,0.0,0.0435,-0.3742,0.0,0.0,0.0,4229324.5497,3319008.9412,4048708.5799,-3060.081,-3554.8715,6105.5173,4229283.1932,3318894.06,4048690.2357,-3059.9901,-3554.8566,6105.4082,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.120666626255925,0.15472879499304582,-0.417195,6.192543945498753,14.712546943333608,,
0.7889,83.426,-25.89,3.685,79.759,-24.369,3.515,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.429,-0.0,0.0,0.141,-0.0,0.0,-0.0,875.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9772,-0.0397,-0.2086,-0.209,-0.3529,-0.912,-0.0374,0.9348,-0.3532,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0909,-0.015,0.1092,41.3382,114.8782,18.3662,0.0,0.0435,-0.3725,0.0,0.0,0.0,4228708.7727,3318293.6397,4049936.8558,-3061.1936,-3555.7446,6104.452,4228667.4346,3318178.7616,4049918.4896,-3061.1027,-3555.7296,6104.3429,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.150933539741942,0.15472879499304582,-0.41713,6.2041532394810925,14.7102546925844,,
0.9903,83.413,-25.921,3.682,79.746,-24.398,3.512,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.457,-0.0,0.0,0.141,-0.0,0.0,-0.0,875.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9773,-0.0398,-0.2082,-0.2087,-0.3532,-0.912,-0.0373,0.9347,-0.3535,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0908,-0.015,0.1092,41.3198,114.8751,18.3883,0.0,0.0435,-0.3725,0.0,0.0,0.0,4228091.0813,3317576.1994,4051168.2873,-3062.309,-3556.6198,6103.3835,4228049.7615,3317461.3243,4051149.8991,-3062.2182,-3556.6049,6103.2743,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.181202512489758,0.15472879499304582,-0.41706499999999996,6.210036975896238,14.707962441835189,,
1.192,83.4,-25.952,3.679,79.734,-24.427,3.509,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.486,-0.0,0.0,0.141,-0.0,0.0,-0.0,875.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9774,-0.0398,-0.2078,-0.2083,-0.3535,-0.9119,-0.0371,0.9346,-0.3538,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0908,-0.015,0.1092,41.3015,114.8721,18.4102,0.0,0.0435,-0.3725,0.0,0.0,0.0,4227474.9324,3316860.6346,4052395.9814,-3063.4211,-3557.4924,6102.3178,4227433.6309,3316745.7625,4052377.5712,-3063.3303,-3557.4774,6102.2085,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.211473537365276,0.15472879499304582,-0.41700000000000004,6.221641086851003,14.70567019108598,,
1.3925,83.387,-25.983,3.676,79.722,-24.456,3.506,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.514,-0.0,0.0,0.141,-0.0,0.0,-0.0,875.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9774,-0.0399,-0.2075,-0.208,-0.3539,-0.9119,-0.037,0.9344,-0.3542,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0908,-0.015,0.1093,41.2833,114.8691,18.4322,0.0,0.0435,-0.3725,0.0,0.0,0.0,4226859.3448,3316145.8063,4053621.8993,-3064.5316,-3558.3637,6101.253,4226818.0614,3316030.9372,4053603.4671,-3064.4408,-3558.3487,6101.1437,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.241746607266826,0.15472879499304582,-0.416935,6.233246614022527,14.703377940336768,,
1.5928,83.374,-26.014,3.673,79.709,-24.485,3.503,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.543,-0.0,0.0,0.141,-0.0,0.0,-0.0,875.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9775,-0.04,-0.2071,-0.2077,-0.3542,-0.9118,-0.0369,0.9343,-0.3545,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0907,-0.0149,0.1093,41.2651,114.8661,18.4542,0.0,0.0435,-0.3725,0.0,0.0,0.0,4226242.8254,3315429.9802,4054849.0131,-3065.6432,-3559.2357,6100.1867,4226201.5603,3315315.1141,4054830.559,-3065.5524,-3559.2208,6100.0774,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.272021715125007,0.15472879499304582,-0.41686999999999996,6.2391049711533375,14.701085689587558,,
1.7947,83.361,-26.045,3.67,79.697,-24.515,3.5,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.571,-0.0,0.0,0.141,-0.0,0.0,-0.0,875.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9776,-0.0401,-0.2068,-0.2074,-0.3545,-0.9118,-0.0368,0.9342,-0.3549,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0907,-0.0149,0.1094,41.2468,114.8631,18.4761,0.0,0.0435,-0.3725,0.0,0.0,0.0,4225626.4109,3314714.3598,4056075.2587,-3066.754,-3560.1071,6099.1207,4225585.1641,3314599.4967,4056056.7826,-3066.6633,-3560.0922,6099.0113,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.302298853902485,0.15472879499304582,-0.41680500000000004,6.236777582410884,14.698793438838349,,
1.9966,83.347,-26.076,3.667,79.685,-24.544,3.496,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.6,-0.0,0.0,0.141,-0.0,0.0,-0.0,875.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9776,-0.0401,-0.2064,-0.2071,-0.3548,-0.9117,-0.0366,0.9341,-0.3552,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0906,-0.0149,0.1094,41.2285,114.8601,18.4982,0.0,0.0435,-0.3725,0.0,0.0,0.0,4225006.8518,3313995.1731,4057307.0969,-3067.87,-3560.9825,6098.0493,4224965.6233,3313880.313,4057288.5986,-3067.7793,-3560.9676,6097.9399,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.332578016593818,0.15472879499304582,-0.41673499999999997,6.254286714216129,14.69632486110843,,
