SimTime,COG Pos.x [m],COG Pos.y [m],COG Pos.z [m],Port Pos.x [m],Port Pos.y [m],Port Pos.z [m],COG Vel.x [m],COG Vel.y [m],COG Vel.z [m],Port Vel.x [m],Port Vel.y [m],Port Vel.z [m],Rot Angle.x [deg],Rot Angle.y [deg],Rot Angle.z [deg],Rot. Rate.x [deg/s],Rot. Rate.y [deg/s],Rot. Rate.z [deg/s],Rot. Rate.x [deg/s] (VLCS),Rot. Rate.y [deg/s] (VLCS),Rot. Rate.Z [deg/s] (VLCS),Tank mass [kg],THC.z,THC.y,THC.x,RHC.x,RHC.y,RHC.z,MFDLeft,MFDRight,MyROT.m11,MyROT.m12,MyROT.m13,MyROT.m21,MyROT.m22,MyROT.m23,MyROT.m31,MyROT.m32,MyROT.m33,TgtRot.m11,TgtRot.m12,TgtRot.m13,TgtRot.m21,TgtRot.m22,TgtRot.m23,TgtRot.m31,TgtRot.m32,TgtRot.m33,MyAngVel.x,MyAngVel.y,MyAngVel.z,TgtAngVel.x,TgtAngVel.y,TgtAngVel.z,RelPos.x,RelPos.y,RelPos.z,RelVel.x,RelVel.y,RelVel.z,MySs.x,MySs.y,MySs.z,TgtSs.x,TgtSs.y,TgtSs.z,MyLVPos.x,MyLVPos.y,MyLVPos.z,MyLVVel.x,MyLVVel.y,MyLVVel.z,TgtLVPos.x,TgtLVPos.y,TgtLVPos.z,TgtLVVel.x,TgtLVVel.y,TgtLVVel.z,MyDockPos.x,MyDockPos.y,MyDockPos.z,MyDockDir.x,MyDockDir.y,MyDockDir.z,MyDockRot.x,MyDockRot.y,MyDockRot.z,TgtDockPos.x,TgtDockPos.y,TgtDockPos.z,TgtDockDir.x,TgtDockDir.y,TgtDockDir.z,TgtDockRot.x,TgtDockRot.y,TgtDockRot.z,PeriscopePos.x,PeriscopePos.y,PeriscopePos.z,VLCStoISSTPLCS.m11,m12,m13,m21,m22,m23,m31,m32,m33,viewPointInt.x,viewPointInt.y,viewPointInt.z,Lateral Offset,Lateral Velocity,Ideal Approach Vel,Angle to Port,Approach Cone,Max Rot Angle,Max Rot Velocity,Shifted_SimTime
0.3455,83.454,-25.824,3.691,79.785,-24.306,3.521,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.368,0.0,0.0,0.141,0.0,0.0,0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,11.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.977,-0.0395,-0.2097,-0.21,-0.3519,-0.9122,-0.0378,0.9352,-0.3521,0.0,0.0,0.0,-0.0017,-0.0017,0.0,41.3962,114.8877,18.2965,-0.091,-0.015,0.109,0.0,0.0435,-0.3742,0.0,0.0,0.0,4230461.6836,3320564.854,4046848.8697,-3057.6596,-3552.971,6107.8341,4230420.2874,3320449.9663,4046830.5731,-3057.5686,-3552.956,6107.7251,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,82.6828,-27.2491,3.6785,0.0409,0.3639,-0.9306,-0.0133,0.9315,0.3636,-0.999,0.0025,-0.0429,0.0,5.0526,-0.133,26.086442014962486,0.15472879499304582,-0.41727,6.197789891692818,14.715191848044235,,,0.5496
0.5496,83.441,-25.856,3.688,79.773,-24.336,3.518,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.397,0.0,0.0,0.141,0.0,0.0,0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,11.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.977,-0.0395,-0.2093,-0.2097,-0.3522,-0.9121,-0.0377,0.9351,-0.3524,0.0,0.0,0.0,-0.0017,-0.0017,0.0,41.3773,114.8846,18.3192,-0.0909,-0.015,0.1091,0.0,0.0435,-0.3742,0.0,0.0,0.0,4229826.3746,3319826.6754,4048117.5791,-3058.8084,-3553.8728,6106.7349,4229784.9972,3319711.7908,4048099.26,-3058.7175,-3553.8578,6106.6258,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,82.6691,-27.2807,3.6755,0.0409,0.3643,-0.9304,-0.0133,0.9313,0.364,-0.999,0.0025,-0.0429,0.0,5.0589,-0.1363,26.117696682517778,0.15472879499304582,-0.417205,6.20876202500831,14.712899597295026,,,0.7633
0.7633,83.427,-25.888,3.685,79.76,-24.367,3.515,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.427,0.0,0.0,0.141,0.0,0.0,0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,11.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9771,-0.0396,-0.209,-0.2093,-0.3525,-0.9121,-0.0375,0.935,-0.3528,0.0,0.0,0.0,-0.0017,-0.0017,0.0,41.3586,114.8815,18.3416,-0.0909,-0.015,0.1091,0.0,0.0435,-0.3742,0.0,0.0,0.0,4229197.3848,3319095.9284,4049372.9759,-3059.9452,-3554.765,6105.6467,4229156.0262,3318981.0469,4049354.6343,-3059.8543,-3554.75,6105.5376,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,82.6544,-27.3123,3.6726,0.0409,0.3648,-0.9303,-0.0133,0.9311,0.3645,-0.999,0.0024,-0.0428,0.0,5.0713,-0.133,26.14895349722432,0.15472879499304582,-0.41713500000000003,6.205605632295869,14.710431019565108,,,0.9704
0.9704,83.413,-25.92,3.682,79.747,-24.397,3.512,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.456,0.0,0.0,0.141,0.0,0.0,0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,11.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9772,-0.0397,-0.2086,-0.209,-0.3529,-0.912,-0.0374,0.9348,-0.3531,0.0,0.0,0.0,-0.0017,-0.0017,0.0,41.3393,114.8783,18.3648,-0.0909,-0.015,0.1092,0.0,0.0435,-0.3742,0.0,0.0,0.0,4228546.2614,3318339.5593,4050671.8212,-3061.1215,-3555.688,6104.5202,4228504.9221,3318224.681,4050653.4564,-3061.0306,-3555.6731,6104.4111,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,82.6397,-27.3438,3.6695,0.0409,0.3652,-0.93,-0.0134,0.9309,0.365,-0.999,0.0025,-0.0429,0.0,5.0886,-0.1424,26.180212451391608,0.15472879499304582,-0.41706499999999996,6.216397115997001,14.707962441835189,,,1.1757
1.1757,83.4,-25.952,3.679,79.734,-24.427,3.509,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.485,0.0,0.0,0.141,0.0,0.0,0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,11.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9773,-0.0398,-0.2082,-0.2087,-0.3532,-0.912,-0.0373,0.9347,-0.3535,0.0,0.0,0.0,-0.0017,-0.0017,0.0,41.3205,114.8753,18.3874,-0.0908,-0.015,0.1092,0.0,0.0435,-0.3742,0.0,0.0,0.0,4227913.6042,3317604.7314,4051933.1236,-3062.2637,-3556.5844,6103.4258,4227872.2837,3317489.8562,4051914.7362,-3062.1729,-3556.5694,6103.3166,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,82.6259,-27.3756,3.6665,0.0408,0.3658,-0.9299,-0.0134,0.9307,0.3654,-0.999,0.0025,-0.0429,0.0,5.0967,-0.1454,26.211473537365276,0.15472879499304582,-0.41700000000000004,6.221641086851003,14.70567019108598,,,1.3837
1.3837,83.39,-25.975,3.677,79.725,-24.448,3.507,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.506,0.0,0.0,0.141,0.0,0.0,0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,11.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9773,-0.0398,-0.2078,-0.2083,-0.3535,-0.9119,-0.0371,0.9346,-0.3538,0.0,0.0,0.0,-0.0017,-0.0017,0.0,41.3017,114.8722,18.41,-0.0908,-0.015,0.1092,0.0,0.0435,-0.3742,0.0,0.0,0.0,4227279.5206,3316868.3363,4053196.5714,-3063.4079,-3557.4822,6102.3289,4227238.2189,3316753.4641,4053178.1614,-3063.3171,-3557.4672,6102.2197,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,82.6152,-27.398,3.6646,0.0408,0.3662,-0.9296,-0.0134,0.9305,0.3659,-0.999,0.0024,-0.0428,0.0,5.1193,-0.1418,26.233965655234055,0.15472879499304582,-0.41695,6.238855348979644,14.703906921278895,,,1.5941
1.5941,83.373,-26.016,3.673,79.709,-24.487,3.502,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.544,0.0,0.0,0.141,0.0,0.0,0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,11.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9774,-0.0399,-0.2076,-0.2081,-0.3538,-0.9119,-0.0371,0.9345,-0.3541,0.0,0.0,0.0,-0.0017,-0.0017,0.0,41.2883,114.8699,18.4262,-0.0908,-0.015,0.1093,0.0,0.0435,-0.3742,0.0,0.0,0.0,4226826.1459,3316341.8625,4054099.5177,-3064.2257,-3558.1238,6101.5447,4226784.8576,3316226.9926,4054081.0915,-3064.1349,-3558.1089,6101.4355,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,82.5977,-27.4388,3.6605,0.0409,0.3666,-0.9296,-0.0134,0.9304,0.3663,-0.999,0.0025,-0.0429,0.0,5.1081,-0.1514,26.274002074293897,0.15472879499304582,-0.41686500000000004,6.243721023790794,14.70090936260685,,,1.819
1.819,83.365,-26.035,3.671,79.701,-24.505,3.501,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.562,0.0,0.0,0.141,0.0,0.0,0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,11.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9775,-0.04,-0.2071,-0.2077,-0.3542,-0.9118,-0.0369,0.9343,-0.3545,0.0,0.0,0.0,-0.0017,-0.0017,0.0,41.2639,114.8659,18.4556,-0.0907,-0.0149,0.1093,0.0,0.0435,-0.3742,0.0,0.0,0.0,4226001.6625,3315384.5618,4055740.6543,-3065.712,-3559.2899,6100.1187,4225960.3986,3315269.6959,4055722.1988,-3065.6213,-3559.275,6100.0094,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,82.5888,-27.4573,3.6585,0.0408,0.3671,-0.9293,-0.0135,0.9301,0.3669,-0.999,0.0025,-0.0429,0.0,5.1481,-0.1542,26.29253631736581,0.15472879499304582,-0.416825,6.243839774159971,14.699498746761181,,,2.0373
2.0373,83.344,-26.084,3.666,79.682,-24.551,3.496,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.607,0.0,0.0,0.141,0.0,0.0,0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9775,-0.04,-0.2069,-0.2075,-0.3544,-0.9118,-0.0368,0.9342,-0.3547,0.0,0.0,0.0,-0.0017,-0.0017,0.0,41.2529,114.8641,18.4688,-0.0907,-0.0149,0.1093,0.0,0.0435,-0.3742,0.0,0.0,0.0,4225631.4495,3314954.7599,4056477.1809,-3066.3791,-3559.8133,6099.4784,4225590.1966,3314839.8958,4056458.7122,-3066.2884,-3559.7983,6099.3691,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,82.5674,-27.506,3.6535,0.0408,0.3674,-0.9292,-0.0134,0.93,0.3671,-0.999,0.0025,-0.0429,0.0,5.1169,-0.1585,26.340360893503338,0.15472879499304582,-0.41672,6.262274792356803,14.695795880166305,,,2.2509
2.2509,83.33,-26.117,3.663,79.669,-24.582,3.492,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.637,0.0,0.0,0.141,0.0,0.0,0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9777,-0.0402,-0.2063,-0.207,-0.3549,-0.9117,-0.0366,0.934,-0.3553,0.0,0.0,0.0,-0.0017,-0.0017,0.0,41.224,114.8593,18.5036,-0.0906,-0.0149,0.1094,0.0,0.0435,-0.3742,0.0,0.0,0.0,4224653.4531,3313819.4921,4058421.7309,-3068.1403,-3561.1949,6097.787,4224612.229,3313704.6327,4058403.2272,-3068.0497,-3561.1799,6097.6776,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,82.5521,-27.5385,3.6505,0.0408,0.3682,-0.9289,-0.0136,0.9298,0.3679,-0.999,0.0025,-0.0429,0.0,5.1583,-0.1621,26.372623267320222,0.15472879499304582,-0.41664999999999996,6.272766494794553,14.693327302436385,,,2.4512
