SimTime,COG Pos.x [m],COG Pos.y [m],COG Pos.z [m],Port Pos.x [m],Port Pos.y [m],Port Pos.z [m],COG Vel.x [m],COG Vel.y [m],COG Vel.z [m],Port Vel.x [m],Port Vel.y [m],Port Vel.z [m],Rot Angle.x [deg],Rot Angle.y [deg],Rot Angle.z [deg],Rot. Rate.x [deg/s],Rot. Rate.y [deg/s],Rot. Rate.z [deg/s],Rot. Rate.x [deg/s] (VLCS),Rot. Rate.y [deg/s] (VLCS),Rot. Rate.Z [deg/s] (VLCS),Tank mass [kg],THC.z,THC.y,THC.x,RHC.z,RHC.y,RHC.x,MFDLeft,MFDRight,MyROT.m11,MyROT.m12,MyROT.m13,MyROT.m21,MyROT.m22,MyROT.m23,MyROT.m31,MyROT.m32,MyROT.m33,TgtRot.m11,TgtRot.m12,TgtRot.m13,TgtRot.m21,TgtRot.m22,TgtRot.m23,TgtRot.m31,TgtRot.m32,TgtRot.m33,MyAngVel.x,MyAngVel.y,MyAngVel.z,TgtAngVel.x,TgtAngVel.y,TgtAngVel.z,RelPos.x,RelPos.y,RelPos.z,RelVel.x,RelVel.y,RelVel.z,MySs.x,MySs.y,MySs.z,TgtSs.x,TgtSs.y,TgtSs.z,MyLVPos.x,MyLVPos.y,MyLVPos.z,MyLVVel.x,MyLVVel.y,MyLVVel.z,TgtLVPos.x,TgtLVPos.y,TgtLVPos.z,TgtLVVel.x,TgtLVVel.y,TgtLVVel.z,MyDockPos.x,MyDockPos.y,MyDockPos.z,MyDockDir.x,MyDockDir.y,MyDockDir.z,MyDockRot.x,MyDockRot.y,MyDockRot.z,TgtDockPos.x,TgtDockPos.y,TgtDockPos.z,TgtDockDir.x,TgtDockDir.y,TgtDockDir.z,TgtDockRot.x,TgtDockRot.y,TgtDockRot.z,Lateral Offset,Lateral Velocity,Ideal Approach Vel,Angle to Port,Approach Cone,Max Rot Angle,Max Rot Velocity,Shifted_SimTime
0.1357,83.468,-25.792,3.695,79.798,-24.276,3.524,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.338,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.977,-0.0395,-0.2097,-0.21,-0.3519,-0.9122,-0.0378,0.9352,-0.3521,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.091,-0.015,0.109,41.3963,114.8877,18.2964,0.0,0.0435,-0.3742,0.0,0.0,0.0,4230472.8243,3320568.5428,4046810.4418,-3057.6538,-3552.9665,6107.8396,4230431.428,3320453.655,4046792.1454,-3057.5629,-3552.9515,6107.7306,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.055331297068552,0.15472879499304582,-0.41734000000000004,6.187279258841316,14.717660425774156,,,0.35
0.35,83.454,-25.825,3.691,79.785,-24.307,3.521,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.369,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.977,-0.0395,-0.2093,-0.2097,-0.3522,-0.9121,-0.0377,0.9351,-0.3524,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0909,-0.015,0.1091,41.3768,114.8845,18.3198,0.0,0.0435,-0.3742,0.0,0.0,0.0,4229816.6887,3319806.1664,4048120.7334,-3058.8403,-3553.8978,6106.7044,4229775.3119,3319691.2818,4048102.4136,-3058.7494,-3553.8828,6106.5953,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.087431954870528,0.15472879499304582,-0.41727,6.197156609538553,14.715191848044235,,,0.5615
0.5615,83.44,-25.858,3.688,79.772,-24.338,3.518,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.399,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9771,-0.0396,-0.2089,-0.2093,-0.3526,-0.9121,-0.0375,0.9349,-0.3528,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0909,-0.015,0.1091,41.3575,114.8813,18.343,0.0,0.0435,-0.3742,0.0,0.0,0.0,4229165.0865,3319049.1524,4049421.2283,-3060.018,-3554.8221,6105.577,4229123.7291,3318934.271,4049402.8852,-3059.9271,-3554.8071,6105.4679,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.119676644246574,0.15472879499304582,-0.4172,6.207309789379136,14.712723270314317,,,0.8765
0.8765,83.427,-25.888,3.685,79.76,-24.367,3.515,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.427,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9772,-0.0397,-0.2086,-0.209,-0.3529,-0.912,-0.0374,0.9348,-0.3531,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0909,-0.015,0.1092,41.3394,114.8784,18.3647,0.0,0.0435,-0.3742,0.0,0.0,0.0,4228558.6541,3318344.7005,4050630.9067,-3061.1135,-3555.6818,6104.5279,4228517.3147,3318229.8222,4050612.542,-3061.0226,-3555.6668,6104.4187,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.14895349722432,0.15472879499304582,-0.41713500000000003,6.205605632295869,14.710431019565108,,,1.0843
1.0843,83.406,-25.937,3.68,79.74,-24.413,3.51,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.472,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9773,-0.0398,-0.208,-0.2085,-0.3534,-0.9119,-0.0372,0.9346,-0.3537,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0908,-0.015,0.1092,41.3106,114.8736,18.3994,0.0,0.0435,-0.3742,0.0,0.0,0.0,4227585.4973,3317214.4204,4052570.7684,-3062.8703,-3557.0603,6102.8444,4227544.1868,3317099.5468,4052552.3691,-3062.7795,-3557.0454,6102.7352,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.196762567157034,0.15472879499304582,-0.41703,6.218302127000425,14.70672815297023,,,1.3
1.3,83.395,-25.965,3.678,79.729,-24.439,3.508,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.497,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9774,-0.0399,-0.2077,-0.2082,-0.3537,-0.9119,-0.0371,0.9345,-0.354,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0908,-0.015,0.1093,41.2942,114.8709,18.419,0.0,0.0435,-0.3742,0.0,0.0,0.0,4227034.3929,3316574.4297,4053668.5938,-3063.8645,-3557.8404,6101.8912,4226993.0987,3316459.5588,4053650.1748,-3063.7737,-3557.8255,6101.7819,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.22420463998861,0.15472879499304582,-0.416975,6.2264298481715095,14.704788556182436,,,1.5023
1.5023,83.379,-26.002,3.674,79.714,-24.474,3.504,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.531,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9775,-0.04,-0.2073,-0.2078,-0.3541,-0.9118,-0.0369,0.9344,-0.3544,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0907,-0.015,0.1093,41.2724,114.8673,18.4453,0.0,0.0435,-0.3742,0.0,0.0,0.0,4226297.708,3315719.0313,4055135.2788,-3065.1928,-3558.8826,6100.6169,4226256.4356,3315604.164,4055116.8336,-3065.1021,-3558.8677,6100.5076,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.260279511079084,0.15472879499304582,-0.416895,6.233689382197709,14.701967324491102,,,1.717
1.717,83.365,-26.034,3.671,79.701,-24.505,3.501,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.561,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9775,-0.04,-0.2069,-0.2075,-0.3544,-0.9118,-0.0368,0.9342,-0.3547,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0907,-0.0149,0.1093,41.2531,114.8641,18.4686,0.0,0.0435,-0.3742,0.0,0.0,0.0,4225645.0014,3314961.2441,4056433.9828,-3066.3691,-3559.8054,6099.4881,4225603.7483,3314846.38,4056415.5142,-3066.2784,-3559.7905,6099.3787,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.291546112771684,0.15472879499304582,-0.416825,6.230542480773945,14.699498746761181,,,1.9333
1.9333,83.351,-26.068,3.668,79.688,-24.536,3.497,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.592,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9776,-0.0401,-0.2065,-0.2071,-0.3547,-0.9117,-0.0367,0.9341,-0.3551,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0907,-0.0149,0.1094,41.2334,114.8609,18.4924,0.0,0.0435,-0.3742,0.0,0.0,0.0,4224976.7894,3314185.5536,4057762.7744,-3067.5726,-3560.7495,6098.3325,4224935.5561,3314070.6927,4057744.282,-3067.482,-3560.7346,6098.2231,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.324795307846177,0.15472879499304582,-0.416755,6.254318269610447,14.697030169031263,,,2.1373
2.1373,83.338,-26.099,3.664,79.676,-24.565,3.494,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.621,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9777,-0.0402,-0.2061,-0.2068,-0.3551,-0.9117,-0.0366,0.934,-0.3555,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0906,-0.0149,0.1094,41.215,114.8579,18.5145,0.0,0.0435,-0.3742,0.0,0.0,0.0,4224356.8677,3313466.0086,4058994.8457,-3068.6886,-3561.6249,6097.2604,4224315.6527,3313351.1508,4058976.3312,-3068.598,-3561.61,6097.151,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.354936861999878,0.15472879499304582,-0.41668999999999995,6.265613793667893,14.694737918282053,,,2.3395
