SimTime,COG Pos.x [m],COG Pos.y [m],COG Pos.z [m],Port Pos.x [m],Port Pos.y [m],Port Pos.z [m],COG Vel.x [m],COG Vel.y [m],COG Vel.z [m],Port Vel.x [m],Port Vel.y [m],Port Vel.z [m],Rot Angle.x [deg],Rot Angle.y [deg],Rot Angle.z [deg],Rot. Rate.x [deg/s],Rot. Rate.y [deg/s],Rot. Rate.z [deg/s],Rot. Rate.x [deg/s] (VLCS),Rot. Rate.y [deg/s] (VLCS),Rot. Rate.Z [deg/s] (VLCS),Tank mass [kg],THC.z,THC.y,THC.x,RHC.z,RHC.y,RHC.x,MFDLeft,MFDRight,MyROT.m11,MyROT.m12,MyROT.m13,MyROT.m21,MyROT.m22,MyROT.m23,MyROT.m31,MyROT.m32,MyROT.m33,TgtRot.m11,TgtRot.m12,TgtRot.m13,TgtRot.m21,TgtRot.m22,TgtRot.m23,TgtRot.m31,TgtRot.m32,TgtRot.m33,MyAngVel.x,MyAngVel.y,MyAngVel.z,TgtAngVel.x,TgtAngVel.y,TgtAngVel.z,RelPos.x,RelPos.y,RelPos.z,RelVel.x,RelVel.y,RelVel.z,MySs.x,MySs.y,MySs.z,TgtSs.x,TgtSs.y,TgtSs.z,MyLVPos.x,MyLVPos.y,MyLVPos.z,MyLVVel.x,MyLVVel.y,MyLVVel.z,TgtLVPos.x,TgtLVPos.y,TgtLVPos.z,TgtLVVel.x,TgtLVVel.y,TgtLVVel.z,MyDockPos.x,MyDockPos.y,MyDockPos.z,MyDockDir.x,MyDockDir.y,MyDockDir.z,MyDockRot.x,MyDockRot.y,MyDockRot.z,TgtDockPos.x,TgtDockPos.y,TgtDockPos.z,TgtDockDir.x,TgtDockDir.y,TgtDockDir.z,TgtDockRot.x,TgtDockRot.y,TgtDockRot.z,Lateral Offset,Lateral Velocity,Ideal Approach Vel,Angle to Port,Approach Cone,Max Rot Angle,Max Rot Velocity
0.1299,83.468,-25.791,3.695,79.798,-24.276,3.524,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.338,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.977,-0.0395,-0.2097,-0.21,-0.3519,-0.9122,-0.0378,0.9352,-0.3521,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.091,-0.015,0.109,41.3967,114.8878,18.296,0.0,0.0435,-0.3742,0.0,0.0,0.0,4230475.9837,3320581.0648,4046819.595,-3057.6343,-3552.9512,6107.8583,4230434.5871,3320466.177,4046801.2989,-3057.5434,-3552.9362,6107.7493,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.054341404073142,0.15472879499304582,-0.41734000000000004,6.173961568330614,14.717660425774156,,
0.33,83.455,-25.822,3.692,79.786,-24.305,3.521,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.366,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.977,-0.0395,-0.2093,-0.2097,-0.3522,-0.9121,-0.0377,0.9351,-0.3524,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0909,-0.015,0.1091,41.3785,114.8848,18.3178,0.0,0.0435,-0.3742,0.0,0.0,0.0,4229864.9561,3319871.0956,4048039.8423,-3058.7393,-3553.8185,6106.8011,4229823.5776,3319756.2108,4048021.5245,-3058.6484,-3553.8035,6106.692,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.084603658096857,0.15472879499304582,-0.417275,6.185572356566428,14.715368175024944,,
0.5428,83.441,-25.855,3.688,79.773,-24.335,3.518,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.396,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9771,-0.0396,-0.209,-0.2094,-0.3525,-0.9121,-0.0375,0.935,-0.3528,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0909,-0.015,0.1091,41.3593,114.8816,18.3409,0.0,0.0435,-0.3742,0.0,0.0,0.0,4229217.9558,3319119.4196,4049331.2182,-3059.9087,-3554.7363,6105.6817,4229176.5966,3319004.538,4049312.8773,-3059.8178,-3554.7213,6105.5725,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.1167067027985,0.15472879499304582,-0.417205,6.20939525983178,14.712899597295026,,
0.7549,83.427,-25.887,3.685,79.76,-24.366,3.515,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.426,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9772,-0.0397,-0.2086,-0.209,-0.3529,-0.912,-0.0374,0.9348,-0.3531,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0909,-0.015,0.1092,41.3399,114.8784,18.3641,0.0,0.0435,-0.3742,0.0,0.0,0.0,4228565.5077,3318361.5088,4050632.7288,-3061.0873,-3555.6613,6104.5529,4228524.1678,3318246.6304,4050614.3646,-3060.9965,-3555.6463,6104.4438,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.147963477104675,0.15472879499304582,-0.41713500000000003,6.20623881595911,14.710431019565108,,
1.0419,83.414,-25.918,3.682,79.748,-24.395,3.512,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.454,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9773,-0.0398,-0.2082,-0.2087,-0.3532,-0.912,-0.0373,0.9347,-0.3535,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0908,-0.015,0.1092,41.3217,114.8754,18.3861,0.0,0.0435,-0.3742,0.0,0.0,0.0,4227951.2595,3317648.0595,4051857.3604,-3062.1964,-3556.5315,6103.4903,4227909.9379,3317533.1841,4051838.9743,-3062.1055,-3556.5166,6103.3811,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.178232331461956,0.15472879499304582,-0.41707,6.217849655962281,14.708138768815898,,
1.2498,83.395,-25.963,3.678,79.73,-24.437,3.508,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.495,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9774,-0.0399,-0.2077,-0.2082,-0.3537,-0.9119,-0.0371,0.9345,-0.354,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0908,-0.015,0.1092,41.2955,114.8711,18.4176,0.0,0.0435,-0.3742,0.0,0.0,0.0,4227067.7424,3316622.0012,4053617.6844,-3063.7906,-3557.7824,6101.962,4227026.447,3316507.13,4053599.2669,-3063.6998,-3557.7675,6101.8528,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.222224409839836,0.15472879499304582,-0.416975,6.233433731356267,14.704788556182436,,
1.451,83.382,-25.994,3.675,79.718,-24.466,3.505,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.524,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9774,-0.0399,-0.2074,-0.2079,-0.354,-0.9119,-0.037,0.9344,-0.3543,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0907,-0.015,0.1093,41.2771,114.8681,18.4397,0.0,0.0435,-0.3742,0.0,0.0,0.0,4226447.9786,3315902.3517,4054851.6959,-3064.9082,-3558.6593,6100.89,4226406.7015,3315787.4836,4054833.2563,-3064.8174,-3558.6443,6100.7807,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.252498185886996,0.15472879499304582,-0.41691,6.245044039084631,14.702496305433227,,
1.669,83.368,-26.027,3.672,79.704,-24.498,3.501,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.555,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9775,-0.04,-0.207,-0.2076,-0.3543,-0.9118,-0.0368,0.9343,-0.3547,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0907,-0.0149,0.1093,41.2574,114.8648,18.4635,0.0,0.0435,-0.3742,0.0,0.0,0.0,4225780.412,3315127.2897,4056180.1409,-3066.1113,-3559.6032,6099.7354,4225739.1546,3315012.4248,4056161.6775,-3066.0206,-3559.5883,6099.6261,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.284754383482454,0.15472879499304582,-0.41684,6.235840954242851,14.700027727703308,,
1.8715,83.355,-26.058,3.669,79.692,-24.527,3.498,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.583,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9776,-0.0401,-0.2066,-0.2072,-0.3546,-0.9117,-0.0367,0.9341,-0.355,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0907,-0.0149,0.1094,41.239,114.8618,18.4856,0.0,0.0435,-0.3742,0.0,0.0,0.0,4225160.4257,3314407.5586,4057413.2109,-3067.2282,-3560.4793,6098.6632,4225119.1867,3314292.6968,4057394.7253,-3067.1375,-3560.4644,6098.5538,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.315032300949206,0.15472879499304582,-0.416775,6.247452723911776,14.697735476954099,,
2.08,83.341,-26.09,3.665,79.679,-24.557,3.495,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.613,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9777,-0.0402,-0.2062,-0.2069,-0.355,-0.9117,-0.0366,0.934,-0.3554,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0906,-0.0149,0.1094,41.2202,114.8587,18.5083,0.0,0.0435,-0.3742,0.0,0.0,0.0,4224522.2336,3313666.7812,4058681.7945,-3068.3772,-3561.3806,6097.5595,4224481.0135,3313551.9225,4058663.2862,-3068.2865,-3561.3657,6097.4501,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.346163382929213,0.15472879499304582,-0.416705,6.257931324247994,14.695266899224178,,
