SimTime,COG Pos.x [m],COG Pos.y [m],COG Pos.z [m],Port Pos.x [m],Port Pos.y [m],Port Pos.z [m],COG Vel.x [m],COG Vel.y [m],COG Vel.z [m],Port Vel.x [m],Port Vel.y [m],Port Vel.z [m],Rot Angle.x [deg],Rot Angle.y [deg],Rot Angle.z [deg],Rot. Rate.x [deg/s],Rot. Rate.y [deg/s],Rot. Rate.z [deg/s],Rot. Rate.x [deg/s] (VLCS),Rot. Rate.y [deg/s] (VLCS),Rot. Rate.Z [deg/s] (VLCS),Tank mass [kg],THC.z,THC.y,THC.x,RHC.z,RHC.y,RHC.x,MFDLeft,MFDRight,MyROT.m11,MyROT.m12,MyROT.m13,MyROT.m21,MyROT.m22,MyROT.m23,MyROT.m31,MyROT.m32,MyROT.m33,TgtRot.m11,TgtRot.m12,TgtRot.m13,TgtRot.m21,TgtRot.m22,TgtRot.m23,TgtRot.m31,TgtRot.m32,TgtRot.m33,MyAngVel.x,MyAngVel.y,MyAngVel.z,TgtAngVel.x,TgtAngVel.y,TgtAngVel.z,RelPos.x,RelPos.y,RelPos.z,RelVel.x,RelVel.y,RelVel.z,MySs.x,MySs.y,MySs.z,TgtSs.x,TgtSs.y,TgtSs.z,MyLVPos.x,MyLVPos.y,MyLVPos.z,MyLVVel.x,MyLVVel.y,MyLVVel.z,TgtLVPos.x,TgtLVPos.y,TgtLVPos.z,TgtLVVel.x,TgtLVVel.y,TgtLVVel.z,MyDockPos.x,MyDockPos.y,MyDockPos.z,MyDockDir.x,MyDockDir.y,MyDockDir.z,MyDockRot.x,MyDockRot.y,MyDockRot.z,TgtDockPos.x,TgtDockPos.y,TgtDockPos.z,TgtDockDir.x,TgtDockDir.y,TgtDockDir.z,TgtDockRot.x,TgtDockRot.y,TgtDockRot.z,Lateral Offset,Lateral Velocity,Ideal Approach Vel,Angle to Port,Approach Cone,Max Rot Angle,Max Rot Velocity
0.1846,26.411,-1.196,-0.873,22.441,-1.026,-0.875,0.0,0.008,0.001,0.0,0.008,0.001,0.641,-0.012,1.35,0.0,-0.0,0.0,0.0,-0.0,0.0,890.232,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6458,-0.2905,-0.7061,-0.4549,0.5963,-0.6614,0.6132,0.7483,0.253,0.6764,0.232,-0.699,-0.7312,0.0971,-0.6753,-0.0888,0.9679,0.2353,0.0,-0.0,0.0,0.0,0.0,0.0,-0.003,0.005,0.005,43.9299,40.9601,-19.1099,0.0,0.0436,-0.376,0.0,0.0,0.0,1292899.0425,330563.5695,6596103.1304,-5529.6839,-5186.8536,1345.5068,1292855.1126,330522.6094,6596122.2403,-5529.6809,-5186.8586,1345.5018,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,1.4807244848384185,0.00806225774829855,-0.132055,1.9700170582330763,4.6569718874912684,,
0.3891,26.411,-1.193,-0.873,22.441,-1.023,-0.874,0.0,0.008,0.001,0.0,0.008,0.001,0.641,-0.012,1.35,0.0,-0.0,-0.0,-0.0,-0.0,0.0,890.232,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6458,-0.2905,-0.7061,-0.4549,0.5963,-0.6614,0.6132,0.7483,0.253,0.6764,0.232,-0.699,-0.7312,0.0971,-0.6753,-0.0888,0.9679,0.2353,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.003,0.005,0.005,43.9288,40.962,-19.108,0.0,0.0436,-0.376,0.0,0.0,0.0,1290804.6563,328599.1137,6596612.0959,-5530.3238,-5187.0169,1342.2396,1290760.7275,328558.1517,6596631.2039,-5530.3208,-5187.0219,1342.2346,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,1.478302404787329,0.00806225774829855,-0.132055,1.9541100103858295,4.6569718874912684,,
0.5945,26.411,-1.191,-0.873,22.441,-1.021,-0.874,0.0,0.008,0.001,0.0,0.008,0.001,0.641,-0.012,1.35,0.0,-0.0,-0.0,-0.0,-0.0,0.0,890.232,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6458,-0.2905,-0.7061,-0.4549,0.5963,-0.6614,0.6132,0.7483,0.253,0.6764,0.232,-0.699,-0.7312,0.0971,-0.6753,-0.0888,0.9679,0.2353,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.003,0.005,0.005,43.9282,40.963,-19.107,0.0,0.0436,-0.376,0.0,0.0,0.0,1289669.859,327534.7854,6596887.3259,-5530.67,-5187.1049,1340.4693,1289625.9308,327493.8224,6596906.4329,-5530.667,-5187.1099,1340.4643,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,1.4766888636405437,0.00806225774829855,-0.132055,1.9545524775591132,4.6569718874912684,,
0.7984,26.411,-1.19,-0.872,22.441,-1.02,-0.874,0.0,0.008,0.001,0.0,0.008,0.001,0.641,-0.012,1.35,0.0,-0.0,-0.0,-0.0,-0.0,0.0,890.232,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6458,-0.2905,-0.7061,-0.4549,0.5963,-0.6614,0.6132,0.7483,0.253,0.6764,0.232,-0.699,-0.7312,0.0971,-0.6753,-0.0888,0.9679,0.2353,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0031,0.005,0.005,43.9276,40.964,-19.106,0.0,0.0436,-0.376,0.0,0.0,0.0,1288543.0347,326477.9827,6597160.2449,-5531.0135,-5187.192,1338.7116,1288499.1071,326437.0187,6597179.3509,-5531.0104,-5187.197,1338.7066,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,1.4752911577041325,0.00806225774829855,-0.132055,1.969123007186341,4.6569718874912684,,
0.9999,26.411,-1.188,-0.872,22.441,-1.018,-0.874,0.0,0.008,0.001,0.0,0.008,0.001,0.641,-0.012,1.35,0.0,-0.0,-0.0,-0.0,-0.0,0.0,890.232,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6458,-0.2905,-0.7061,-0.4549,0.5963,-0.6614,0.6132,0.7483,0.253,0.6764,0.232,-0.699,-0.7312,0.0971,-0.6753,-0.0888,0.9679,0.2353,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0031,0.0049,0.005,43.9269,40.965,-19.1049,0.0,0.0436,-0.376,0.0,0.0,0.0,1287426.5665,325430.9404,6597430.2875,-5531.3535,-5187.2781,1336.97,1287382.6395,325389.9754,6597449.3925,-5531.3504,-5187.283,1336.9651,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,1.473678390965953,0.00806225774829855,-0.132055,1.96957697554692,4.6569718874912684,,
1.2083,26.411,-1.187,-0.872,22.441,-1.017,-0.874,0.0,0.008,0.001,0.0,0.008,0.001,0.641,-0.012,1.35,0.0,-0.0,-0.0,-0.0,-0.0,0.0,890.232,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6458,-0.2905,-0.7061,-0.4549,0.5963,-0.6614,0.6132,0.7483,0.253,0.6764,0.232,-0.699,-0.7312,0.0971,-0.6753,-0.0888,0.9679,0.2353,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0031,0.0049,0.005,43.9263,40.966,-19.1039,0.0,0.0436,-0.376,0.0,0.0,0.0,1286272.2177,324348.4219,6597709.1039,-5531.7047,-5187.3668,1335.1694,1286228.2914,324307.4559,6597728.2078,-5531.7016,-5187.3717,1335.1644,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,1.4728723637844523,0.00806225774829855,-0.132055,1.9698076275633425,4.6569718874912684,,
1.4104,26.411,-1.185,-0.872,22.441,-1.015,-0.873,-0.0,0.008,0.001,-0.0,0.008,0.001,0.641,-0.012,1.35,0.0,-0.0,-0.0,-0.0,-0.0,0.0,890.232,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6458,-0.2905,-0.7061,-0.4549,0.5963,-0.6614,0.6132,0.7483,0.253,0.6764,0.232,-0.699,-0.7312,0.0971,-0.6753,-0.0888,0.9679,0.2353,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0031,0.0049,0.005,43.9257,40.967,-19.1029,0.0,0.0436,-0.376,0.0,0.0,0.0,1285176.2722,323320.7195,6597973.4508,-5532.0378,-5187.4507,1333.46,1285132.3466,323279.7525,6597992.5537,-5532.0347,-5187.4556,1333.455,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,1.4712610237479955,0.00806225774829855,-0.132055,1.9537446719847062,4.6569718874912684,,
1.6181,26.411,-1.184,-0.871,22.441,-1.014,-0.873,-0.0,0.008,0.001,-0.0,0.008,0.001,0.641,-0.012,1.35,0.0,-0.0,-0.0,-0.0,-0.0,0.0,890.232,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6458,-0.2905,-0.7061,-0.4549,0.5963,-0.6614,0.6132,0.7483,0.253,0.6764,0.232,-0.699,-0.7312,0.0971,-0.6753,-0.0888,0.9679,0.2353,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0031,0.0049,0.005,43.925,40.9681,-19.1019,0.0,0.0436,-0.376,0.0,0.0,0.0,1284018.4048,322234.9996,6598252.3469,-5532.3894,-5187.539,1331.654,1283974.4798,322194.0316,6598271.4488,-5532.3863,-5187.5439,1331.649,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,1.4698629187784824,0.00806225774829855,-0.132055,1.968319979496913,4.6569718874912684,,
1.8283,26.411,-1.182,-0.871,22.441,-1.012,-0.873,-0.0,0.008,0.001,-0.0,0.008,0.001,0.641,-0.012,1.35,0.0,-0.0,-0.0,-0.0,-0.0,0.0,890.232,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6458,-0.2905,-0.7061,-0.4549,0.5963,-0.6614,0.6132,0.7483,0.253,0.6764,0.232,-0.699,-0.7312,0.0971,-0.6753,-0.0888,0.9679,0.2353,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0031,0.0049,0.005,43.9244,40.9691,-19.1008,0.0,0.0436,-0.376,0.0,0.0,0.0,1282861.2088,321149.9601,6598530.6873,-5532.7405,-5187.627,1329.849,1282817.2844,321108.991,6598549.7882,-5532.7374,-5187.6319,1329.844,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,1.4682523625044843,0.00806225774829855,-0.132055,1.9688037928073994,4.6569718874912684,,
2.0385,26.411,-1.18,-0.871,22.441,-1.01,-0.873,-0.0,0.008,0.001,-0.0,0.008,0.001,0.641,-0.012,1.35,0.0,-0.0,-0.0,-0.0,-0.0,0.0,890.232,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6458,-0.2905,-0.7061,-0.4549,0.5963,-0.6614,0.6132,0.7483,0.253,0.6764,0.232,-0.699,-0.7312,0.0971,-0.6753,-0.0888,0.9679,0.2353,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0031,0.0049,0.005,43.9237,40.9701,-19.0998,0.0,0.0436,-0.376,0.0,0.0,0.0,1281692.0349,320053.7403,6598811.5055,-5533.0949,-5187.7156,1328.0255,1281648.1112,320012.7702,6598830.6053,-5533.0918,-5187.7205,1328.0205,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,1.4666427649567566,0.00806225774829855,-0.132055,1.9692973759337034,4.6569718874912684,,
