SimTime,COG Pos.x [m],COG Pos.y [m],COG Pos.z [m],Port Pos.x [m],Port Pos.y [m],Port Pos.z [m],COG Vel.x [m],COG Vel.y [m],COG Vel.z [m],Port Vel.x [m],Port Vel.y [m],Port Vel.z [m],Rot Angle.x [deg],Rot Angle.y [deg],Rot Angle.z [deg],Rot. Rate.x [deg/s],Rot. Rate.y [deg/s],Rot. Rate.z [deg/s],Rot. Rate.x [deg/s] (VLCS),Rot. Rate.y [deg/s] (VLCS),Rot. Rate.Z [deg/s] (VLCS),Tank mass [kg],THC.z,THC.y,THC.x,RHC.z,RHC.y,RHC.x,MFDLeft,MFDRight,MyROT.m11,MyROT.m12,MyROT.m13,MyROT.m21,MyROT.m22,MyROT.m23,MyROT.m31,MyROT.m32,MyROT.m33,TgtRot.m11,TgtRot.m12,TgtRot.m13,TgtRot.m21,TgtRot.m22,TgtRot.m23,TgtRot.m31,TgtRot.m32,TgtRot.m33,MyAngVel.x,MyAngVel.y,MyAngVel.z,TgtAngVel.x,TgtAngVel.y,TgtAngVel.z,RelPos.x,RelPos.y,RelPos.z,RelVel.x,RelVel.y,RelVel.z,MySs.x,MySs.y,MySs.z,TgtSs.x,TgtSs.y,TgtSs.z,MyLVPos.x,MyLVPos.y,MyLVPos.z,MyLVVel.x,MyLVVel.y,MyLVVel.z,TgtLVPos.x,TgtLVPos.y,TgtLVPos.z,TgtLVVel.x,TgtLVVel.y,TgtLVVel.z,MyDockPos.x,MyDockPos.y,MyDockPos.z,MyDockDir.x,MyDockDir.y,MyDockDir.z,MyDockRot.x,MyDockRot.y,MyDockRot.z,TgtDockPos.x,TgtDockPos.y,TgtDockPos.z,TgtDockDir.x,TgtDockDir.y,TgtDockDir.z,TgtDockRot.x,TgtDockRot.y,TgtDockRot.z,Lateral Offset,Lateral Velocity,Ideal Approach Vel,Angle to Port,Approach Cone,Max Rot Angle,Max Rot Velocity
0.1455,23.965,0.023,0.46,19.991,0.068,0.499,-0.0,-0.004,0.003,-0.0,-0.004,0.003,0.452,0.566,-0.455,-0.0,0.0,-0.0,-0.0,0.0,-0.0,880.118,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6334,-0.3187,-0.7051,-0.4637,0.5731,-0.6756,0.6195,0.7549,0.2152,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.001,-0.001,-0.005,41.1498,40.6598,-17.9808,0.0,0.0435,-0.3736,0.0,0.0,0.0,1382947.337,2054964.1332,-6267686.8823,5491.9082,4631.5214,2735.3939,1382906.1872,2054923.4734,-6267668.9015,5491.9092,4631.5224,2735.3989,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,0.4605746410735181,0.005,-0.119825,1.9581974466960328,4.225676092678363,,
0.3493,23.965,0.022,0.461,19.991,0.067,0.499,-0.0,-0.004,0.003,-0.0,-0.004,0.003,0.452,0.566,-0.455,-0.0,0.0,-0.0,-0.0,0.0,-0.0,880.118,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6334,-0.3187,-0.7051,-0.4637,0.5731,-0.6756,0.6195,0.7549,0.2152,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.001,-0.001,-0.005,41.1496,40.6596,-17.9818,0.0,0.0435,-0.3736,0.0,0.0,0.0,1384065.0662,2055906.7295,-6267129.9818,5491.5415,4630.9767,2737.055,1384023.9166,2055866.0699,-6267112.0,5491.5425,4630.9777,2737.06,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,0.46152464722915937,0.005,-0.119825,1.9440769150457624,4.225676092678363,,
0.5601,23.965,0.022,0.461,19.991,0.067,0.5,-0.0,-0.004,0.003,-0.0,-0.004,0.003,0.452,0.566,-0.455,-0.0,0.0,-0.0,-0.0,0.0,-0.0,880.118,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6334,-0.3187,-0.7051,-0.4637,0.5731,-0.6756,0.6195,0.7549,0.2152,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.001,-0.001,-0.0051,41.1494,40.6594,-17.9829,0.0,0.0435,-0.3736,0.0,0.0,0.0,1385226.4623,2056886.1004,-6266550.9248,5491.1601,4630.4103,2738.7809,1385185.3129,2056845.4409,-6266532.942,5491.1611,4630.4113,2738.786,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,0.46152464722915937,0.005,-0.119825,1.959403746631786,4.225676092678363,,
0.7716,23.964,0.021,0.462,19.991,0.066,0.501,-0.0,-0.004,0.003,-0.0,-0.004,0.003,0.452,0.566,-0.455,-0.0,0.0,-0.0,-0.0,0.0,-0.0,880.118,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6334,-0.3187,-0.7051,-0.4637,0.5731,-0.6756,0.6195,0.7549,0.2152,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.001,-0.001,-0.0051,41.1492,40.6592,-17.9839,0.0,0.0435,-0.3736,0.0,0.0,0.0,1386383.2728,2057861.5526,-6265973.7524,5490.7799,4629.8459,2740.5,1386342.1236,2057820.8934,-6265955.7685,5490.781,4629.8469,2740.5051,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,0.46247702645645006,0.005,-0.11982,1.9608116776413673,4.225499765697655,,
0.9745,23.964,0.02,0.463,19.991,0.065,0.501,-0.0,-0.004,0.003,-0.0,-0.004,0.003,0.452,0.566,-0.455,-0.0,0.0,-0.0,-0.0,0.0,-0.0,880.118,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6334,-0.3187,-0.7051,-0.4637,0.5731,-0.6756,0.6195,0.7549,0.2152,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.001,-0.001,-0.0051,41.149,40.659,-17.985,0.0,0.0435,-0.3736,0.0,0.0,0.0,1387494.1883,2058798.2563,-6265419.1019,5490.4145,4629.3036,2742.1509,1387453.0393,2058757.5973,-6265401.1169,5490.4155,4629.3046,2742.156,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,0.46343176412498965,0.005,-0.11982,1.9466755254604151,4.225499765697655,,
1.1762,23.964,0.019,0.463,19.991,0.064,0.502,-0.0,-0.004,0.003,-0.0,-0.004,0.003,0.452,0.566,-0.455,-0.0,0.0,-0.0,-0.0,0.0,-0.0,880.118,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6334,-0.3187,-0.7051,-0.4637,0.5731,-0.6756,0.6195,0.7549,0.2152,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.001,-0.001,-0.0051,41.1488,40.6588,-17.986,0.0,0.0435,-0.3736,0.0,0.0,0.0,1388609.005,2059738.2024,-6264862.1272,5490.0475,4628.7591,2743.8075,1388567.8562,2059697.5436,-6264844.1412,5490.0485,4628.7601,2743.8126,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,0.4633896848226124,0.005,-0.11982,1.9610247312793856,4.225499765697655,,
1.379,23.964,0.018,0.464,19.991,0.063,0.503,-0.0,-0.004,0.003,-0.0,-0.004,0.003,0.452,0.566,-0.455,-0.0,0.0,-0.0,-0.0,0.0,-0.0,880.118,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6334,-0.3187,-0.7051,-0.4637,0.5731,-0.6756,0.6195,0.7549,0.2152,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.001,-0.001,-0.0052,41.1486,40.6586,-17.9871,0.0,0.0435,-0.3736,0.0,0.0,0.0,1389719.8703,2060674.7691,-6264306.7575,5489.6815,4628.2162,2745.4582,1389678.7217,2060634.1105,-6264288.7704,5489.6825,4628.2172,2745.4634,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,0.4643490066749363,0.005,-0.11982,1.9622505151820595,4.225499765697655,,
1.5828,23.964,0.017,0.465,19.991,0.062,0.503,-0.0,-0.004,0.003,-0.0,-0.004,0.003,0.452,0.566,-0.455,-0.0,0.0,-0.0,-0.0,0.0,-0.0,880.118,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6334,-0.3187,-0.7051,-0.4637,0.5731,-0.6756,0.6195,0.7549,0.2152,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.001,-0.001,-0.0052,41.1484,40.6584,-17.9881,0.0,0.0435,-0.3736,0.0,0.0,0.0,1390836.7474,2061616.3565,-6263748.0076,5489.3131,4627.6701,2747.1178,1390795.599,2061575.6981,-6263730.0194,5489.3141,4627.6711,2747.123,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,0.46531064892177143,0.005,-0.11982,1.9480978440333168,4.225499765697655,,
1.7908,23.964,0.017,0.465,19.991,0.062,0.504,-0.0,-0.004,0.003,-0.0,-0.004,0.003,0.452,0.566,-0.455,-0.0,0.0,-0.0,-0.0,0.0,-0.0,880.118,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6334,-0.3187,-0.7051,-0.4637,0.5731,-0.6756,0.6195,0.7549,0.2152,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.001,-0.001,-0.0052,41.1482,40.6582,-17.9892,0.0,0.0435,-0.3736,0.0,0.0,0.0,1391961.3545,2062564.4126,-6263185.01,5488.9419,4627.12,2748.7889,1391920.2063,2062523.7544,-6263167.0208,5488.9429,4627.121,2748.7941,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,0.46531064892177143,0.005,-0.11982,1.9634816005188784,4.225499765697655,,
2.0037,23.964,0.016,0.466,19.991,0.061,0.505,-0.0,-0.004,0.003,-0.0,-0.004,0.003,0.452,0.566,-0.455,-0.0,0.0,-0.0,-0.0,0.0,-0.0,880.118,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6334,-0.3187,-0.7051,-0.4637,0.5731,-0.6756,0.6195,0.7549,0.2152,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.001,-0.001,-0.0052,41.1479,40.658,-17.9903,0.0,0.0435,-0.3736,0.0,0.0,0.0,1393127.0983,2063547.0958,-6262601.0183,5488.5568,4626.5494,2750.521,1393085.9503,2063506.4379,-6262583.0281,5488.5578,4626.5504,2750.5262,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,0.4662745972064101,0.005,-0.11982,1.964717977286423,4.225499765697655,,
