SimTime,COG Pos.x [m],COG Pos.y [m],COG Pos.z [m],Port Pos.x [m],Port Pos.y [m],Port Pos.z [m],COG Vel.x [m],COG Vel.y [m],COG Vel.z [m],Port Vel.x [m],Port Vel.y [m],Port Vel.z [m],Rot Angle.x [deg],Rot Angle.y [deg],Rot Angle.z [deg],Rot. Rate.x [deg/s],Rot. Rate.y [deg/s],Rot. Rate.z [deg/s],Rot. Rate.x [deg/s] (VLCS),Rot. Rate.y [deg/s] (VLCS),Rot. Rate.Z [deg/s] (VLCS),Tank mass [kg],THC.z,THC.y,THC.x,RHC.z,RHC.y,RHC.x,MFDLeft,MFDRight,MyROT.m11,MyROT.m12,MyROT.m13,MyROT.m21,MyROT.m22,MyROT.m23,MyROT.m31,MyROT.m32,MyROT.m33,TgtRot.m11,TgtRot.m12,TgtRot.m13,TgtRot.m21,TgtRot.m22,TgtRot.m23,TgtRot.m31,TgtRot.m32,TgtRot.m33,MyAngVel.x,MyAngVel.y,MyAngVel.z,TgtAngVel.x,TgtAngVel.y,TgtAngVel.z,RelPos.x,RelPos.y,RelPos.z,RelVel.x,RelVel.y,RelVel.z,MySs.x,MySs.y,MySs.z,TgtSs.x,TgtSs.y,TgtSs.z,MyLVPos.x,MyLVPos.y,MyLVPos.z,MyLVVel.x,MyLVVel.y,MyLVVel.z,TgtLVPos.x,TgtLVPos.y,TgtLVPos.z,TgtLVVel.x,TgtLVVel.y,TgtLVVel.z,MyDockPos.x,MyDockPos.y,MyDockPos.z,MyDockDir.x,MyDockDir.y,MyDockDir.z,MyDockRot.x,MyDockRot.y,MyDockRot.z,TgtDockPos.x,TgtDockPos.y,TgtDockPos.z,TgtDockDir.x,TgtDockDir.y,TgtDockDir.z,TgtDockRot.x,TgtDockRot.y,TgtDockRot.z,Lateral Offset,Lateral Velocity,Ideal Approach Vel,Angle to Port,Approach Cone,Max Rot Angle,Max Rot Velocity
0.1513,74.334,-1.039,-1.511,70.361,-0.948,-1.519,0.005,-0.009,-0.0,0.005,-0.009,-0.0,-0.312,-0.124,0.215,-0.0,0.0,-0.0,-0.0,0.0,-0.0,874.935,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.5648,-0.3924,-0.726,-0.5245,0.5085,-0.6829,0.6371,0.7664,0.0814,0.677,0.1225,-0.7257,-0.7296,-0.0181,-0.6836,-0.0969,0.9923,0.0772,-0.0,0.0,-0.0,0.0,0.0,0.0,0.007,-0.001,-0.007,81.1611,74.4898,-12.4611,0.0,0.0435,-0.3723,0.0,0.0,0.0,2538209.8196,3001256.4956,-5474846.8371,4925.214,3901.3696,4429.6908,2538128.6585,3001182.0057,-5474834.376,4925.207,3901.3706,4429.6978,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,1.8337508009541534,0.009,-0.37167,1.41646174305473,13.107089783983037,,
0.3616,74.335,-1.041,-1.511,70.362,-0.95,-1.519,0.005,-0.009,0.0,0.005,-0.009,0.0,-0.312,-0.124,0.215,-0.0,0.0,-0.0,-0.0,0.0,-0.0,874.935,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.5648,-0.3924,-0.726,-0.5245,0.5085,-0.6829,0.6371,0.7664,0.0814,0.677,0.1225,-0.7257,-0.7296,-0.0181,-0.6836,-0.0969,0.9923,0.0772,-0.0,0.0,-0.0,0.0,0.0,0.0,0.007,-0.001,-0.0071,81.1626,74.4896,-12.4626,0.0,0.0435,-0.3723,0.0,0.0,0.0,2539245.4489,3002076.8114,-5473915.1797,4924.5189,3900.5478,4431.1896,2539164.2863,3002002.3218,-5473902.7171,4924.5119,3900.5488,4431.1967,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,1.8348847375244035,0.009,-0.371675,1.415820078905355,13.107266110963742,,
0.5618,74.336,-1.043,-1.511,70.363,-0.952,-1.519,0.005,-0.009,0.0,0.005,-0.009,0.0,-0.312,-0.124,0.215,-0.0,0.0,-0.0,-0.0,0.0,-0.0,874.935,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.5648,-0.3924,-0.726,-0.5245,0.5085,-0.6829,0.6371,0.7664,0.0814,0.677,0.1225,-0.7257,-0.7296,-0.0181,-0.6836,-0.0969,0.9923,0.0772,-0.0,0.0,-0.0,0.0,0.0,0.0,0.007,-0.001,-0.0071,81.164,74.4894,-12.4641,0.0,0.0435,-0.3723,0.0,0.0,0.0,2540236.6375,3002861.8727,-5473023.0827,4923.8533,3899.7609,4432.6241,2540155.4735,3002787.3833,-5473010.6187,4923.8463,3899.7619,4432.6312,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,1.8360201523948476,0.009,-0.37168,1.41517982056234,13.107442437944453,,
0.7726,74.337,-1.045,-1.511,70.364,-0.953,-1.519,0.005,-0.009,0.0,0.005,-0.009,0.0,-0.312,-0.124,0.215,-0.0,0.0,-0.0,-0.0,0.0,-0.0,874.935,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.5648,-0.3924,-0.726,-0.5245,0.5085,-0.6829,0.6371,0.7664,0.0814,0.677,0.1225,-0.7257,-0.7296,-0.0181,-0.6836,-0.0969,0.9923,0.0772,-0.0,0.0,-0.0,0.0,0.0,0.0,0.007,-0.001,-0.0072,81.1655,74.4892,-12.4656,0.0,0.0435,-0.3723,0.0,0.0,0.0,2541268.6746,3003679.2317,-5472093.7882,4923.1599,3898.9412,4434.1177,2541187.5091,3003604.7424,-5472081.3226,4923.1529,3898.9422,4434.1248,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,1.8371570428245918,0.009,-0.37168500000000004,1.4207482470601571,13.107618764925162,,
0.9807,74.338,-1.047,-1.511,70.365,-0.955,-1.519,0.005,-0.009,0.0,0.005,-0.009,0.0,-0.312,-0.124,0.215,-0.0,0.0,-0.0,-0.0,0.0,-0.0,874.935,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.5648,-0.3924,-0.726,-0.5245,0.5085,-0.6829,0.6371,0.7664,0.0814,0.677,0.1225,-0.7257,-0.7296,-0.0181,-0.6836,-0.0969,0.9923,0.0772,-0.0,0.0,-0.0,0.0,0.0,0.0,0.007,-0.001,-0.0072,81.167,74.489,-12.4671,0.0,0.0435,-0.3723,0.0,0.0,0.0,2542299.5101,3004495.5827,-5471165.1308,4922.4669,3898.1222,4435.6094,2542218.3431,3004421.0936,-5471152.6638,4922.4599,3898.1232,4435.6166,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,1.8382954060759658,0.009,-0.37168999999999996,1.4200970998712878,13.107795091905869,,
1.1913,74.339,-1.049,-1.511,70.366,-0.957,-1.519,0.005,-0.009,0.0,0.005,-0.009,0.0,-0.312,-0.124,0.215,-0.0,0.0,-0.0,-0.0,0.0,-0.0,874.935,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.5648,-0.3924,-0.726,-0.5245,0.5085,-0.6829,0.6371,0.7664,0.0814,0.677,0.1225,-0.7257,-0.7296,-0.0181,-0.6836,-0.0969,0.9923,0.0772,-0.0,0.0,-0.0,0.0,0.0,0.0,0.007,-0.001,-0.0073,81.1684,74.4888,-12.4686,0.0,0.0435,-0.3723,0.0,0.0,0.0,2543331.7013,3005312.9508,-5470234.8066,4921.7726,3897.3018,4437.1031,2543250.5329,3005238.462,-5470222.338,4921.7656,3897.3027,4437.1104,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,1.8394352394145328,0.009,-0.371695,1.419447345689268,13.107971418886578,,
1.4028,74.34,-1.05,-1.511,70.367,-0.959,-1.519,0.005,-0.009,0.0,0.005,-0.009,0.0,-0.312,-0.124,0.215,-0.0,0.0,-0.0,-0.0,0.0,-0.0,874.935,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.5648,-0.3924,-0.726,-0.5245,0.5085,-0.6829,0.6371,0.7664,0.0814,0.677,0.1225,-0.7257,-0.7296,-0.0181,-0.6836,-0.0969,0.9923,0.0772,-0.0,0.0,-0.0,0.0,0.0,0.0,0.007,-0.001,-0.0073,81.1699,74.4886,-12.4701,0.0,0.0435,-0.3723,0.0,0.0,0.0,2544371.7426,3006136.4775,-5469296.9595,4921.0727,3896.4747,4438.6081,2544290.5728,3006061.9889,-5469284.4893,4921.0657,3896.4757,4438.6154,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,1.84000570651289,0.009,-0.37170000000000003,1.4129447344096198,13.108147745867287,,
1.6107,74.341,-1.052,-1.511,70.368,-0.961,-1.519,0.005,-0.009,0.0,0.005,-0.009,0.0,-0.312,-0.124,0.215,-0.0,0.0,-0.0,-0.0,0.0,-0.0,874.935,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.5648,-0.3924,-0.726,-0.5245,0.5085,-0.6829,0.6371,0.7664,0.0814,0.677,0.1225,-0.7257,-0.7296,-0.0181,-0.6836,-0.0969,0.9923,0.0772,-0.0,0.0,-0.0,0.0,0.0,0.0,0.007,-0.0009,-0.0074,81.1714,74.4884,-12.4716,0.0,0.0435,-0.3723,0.0,0.0,0.0,2545399.4536,3006950.1841,-5468369.7874,4920.3807,3895.6572,4440.0953,2545318.2822,3006875.6957,-5468357.3158,4920.3737,3895.6581,4440.1026,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,1.8411477398622849,0.009,-0.37170499999999995,1.4123108206582775,13.108324072847994,,
1.8204,74.342,-1.054,-1.511,70.369,-0.963,-1.519,0.005,-0.009,0.0,0.005,-0.009,0.0,-0.312,-0.124,0.215,-0.0,0.0,-0.0,-0.0,0.0,-0.0,874.935,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.5648,-0.3924,-0.726,-0.5245,0.5085,-0.6829,0.6371,0.7664,0.0814,0.677,0.1225,-0.7257,-0.7296,-0.0181,-0.6836,-0.0969,0.9923,0.0772,-0.0,0.0,-0.0,0.0,0.0,0.0,0.007,-0.0009,-0.0074,81.1728,74.4882,-12.4732,0.0,0.0435,-0.3723,0.0,0.0,0.0,2546425.925,3007762.8534,-5467443.2919,4919.6891,3894.8403,4441.5805,2546344.7522,3007688.3651,-5467430.8187,4919.6821,3894.8412,4441.5879,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,1.8422912364770125,0.009,-0.37171,1.4116783224099698,13.108500399828703,,
2.0278,74.343,-1.056,-1.511,70.37,-0.965,-1.519,0.005,-0.009,0.0,0.005,-0.009,0.0,-0.312,-0.124,0.215,-0.0,0.0,-0.0,-0.0,0.0,-0.0,874.935,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.5648,-0.3924,-0.726,-0.5245,0.5085,-0.6829,0.6371,0.7664,0.0814,0.677,0.1225,-0.7257,-0.7296,-0.0181,-0.6836,-0.0969,0.9923,0.0772,-0.0,0.0,-0.0,0.0,0.0,0.0,0.007,-0.0009,-0.0074,81.1743,74.488,-12.4747,0.0,0.0435,-0.3723,0.0,0.0,0.0,2547450.6964,3008574.1201,-5466517.8942,4918.9983,3894.0244,4443.0633,2547369.5221,3008499.6321,-5466505.4195,4918.9913,3894.0253,4443.0708,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,1.8434361936340513,0.009,-0.371715,1.4110472414279691,13.108676726809412,,
