SimTime,COG Pos.x [m],COG Pos.y [m],COG Pos.z [m],Port Pos.x [m],Port Pos.y [m],Port Pos.z [m],COG Vel.x [m],COG Vel.y [m],COG Vel.z [m],Port Vel.x [m],Port Vel.y [m],Port Vel.z [m],Rot Angle.x [deg],Rot Angle.y [deg],Rot Angle.z [deg],Rot. Rate.x [deg/s],Rot. Rate.y [deg/s],Rot. Rate.z [deg/s],Rot. Rate.x [deg/s] (VLCS),Rot. Rate.y [deg/s] (VLCS),Rot. Rate.Z [deg/s] (VLCS),Tank mass [kg],THC.z,THC.y,THC.x,RHC.z,RHC.y,RHC.x,MFDLeft,MFDRight,MyROT.m11,MyROT.m12,MyROT.m13,MyROT.m21,MyROT.m22,MyROT.m23,MyROT.m31,MyROT.m32,MyROT.m33,TgtRot.m11,TgtRot.m12,TgtRot.m13,TgtRot.m21,TgtRot.m22,TgtRot.m23,TgtRot.m31,TgtRot.m32,TgtRot.m33,MyAngVel.x,MyAngVel.y,MyAngVel.z,TgtAngVel.x,TgtAngVel.y,TgtAngVel.z,RelPos.x,RelPos.y,RelPos.z,RelVel.x,RelVel.y,RelVel.z,MySs.x,MySs.y,MySs.z,TgtSs.x,TgtSs.y,TgtSs.z,MyLVPos.x,MyLVPos.y,MyLVPos.z,MyLVVel.x,MyLVVel.y,MyLVVel.z,TgtLVPos.x,TgtLVPos.y,TgtLVPos.z,TgtLVVel.x,TgtLVVel.y,TgtLVVel.z,MyDockPos.x,MyDockPos.y,MyDockPos.z,MyDockDir.x,MyDockDir.y,MyDockDir.z,MyDockRot.x,MyDockRot.y,MyDockRot.z,TgtDockPos.x,TgtDockPos.y,TgtDockPos.z,TgtDockDir.x,TgtDockDir.y,TgtDockDir.z,TgtDockRot.x,TgtDockRot.y,TgtDockRot.z,Lateral Offset,Lateral Velocity,Ideal Approach Vel,Angle to Port,Approach Cone,Max Rot Angle,Max Rot Velocity
0.2246,73.906,-0.686,-2.276,69.933,-0.625,-2.277,-0.001,0.004,-0.01,-0.001,0.004,-0.01,0.471,-0.009,-0.216,0.0,-0.0,0.0,0.0,-0.0,0.0,885.04,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.5699,-0.3881,-0.7243,-0.5245,0.5067,-0.6842,0.6325,0.7699,0.0852,0.6764,0.1249,-0.7259,-0.7312,-0.0049,-0.6822,-0.0887,0.9922,0.088,0.0,-0.0,0.0,0.0,0.0,0.0,0.003,-0.004,0.01,81.15,73.7699,-12.8498,0.0,0.0435,-0.3747,0.0,0.0,0.0,1070115.7682,122521.2489,6643093.4194,-5591.6222,-5198.7354,998.5463,1070034.6182,122447.479,6643106.2692,-5591.6252,-5198.7314,998.5363,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,2.3771352506746433,0.010770329614269008,-0.36953,1.8334442868365988,13.031621836239813,,
0.4289,73.906,-0.684,-2.28,69.932,-0.623,-2.281,-0.001,0.004,-0.01,-0.001,0.004,-0.01,0.471,-0.009,-0.216,-0.0,0.0,0.0,0.0,0.0,-0.0,885.04,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.5699,-0.3881,-0.7243,-0.5245,0.5067,-0.6842,0.6325,0.7699,0.0852,0.6764,0.1249,-0.7259,-0.7312,-0.0049,-0.6822,-0.0887,0.9922,0.088,0.0,0.0,-0.0,0.0,0.0,0.0,0.003,-0.004,0.01,81.1513,73.7682,-12.8456,0.0,0.0435,-0.3747,0.0,0.0,0.0,1067772.9987,120343.1899,6643511.0019,-5592.2079,-5198.802,994.9066,1067691.8474,120269.4216,6643523.8475,-5592.2109,-5198.7979,994.8966,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,2.3803898840316053,0.010770329614269008,-0.36953,1.8367967224690551,13.031621836239813,,
0.6356,73.905,-0.683,-2.282,69.932,-0.622,-2.283,-0.002,0.004,-0.01,-0.002,0.004,-0.01,0.471,-0.009,-0.216,-0.0,0.0,0.0,0.0,0.0,-0.0,885.04,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.5699,-0.3881,-0.7243,-0.5245,0.5067,-0.6842,0.6325,0.7699,0.0852,0.6764,0.1249,-0.7259,-0.7312,-0.0049,-0.6822,-0.0887,0.9922,0.088,0.0,0.0,-0.0,0.0,0.0,0.0,0.0029,-0.0041,0.01,81.1519,73.7674,-12.8435,0.0,0.0435,-0.3747,0.0,0.0,0.0,1066620.4081,119271.7067,6643715.8673,-5592.4955,-5198.8343,993.1159,1066539.2563,119197.9393,6643728.7109,-5592.4985,-5198.8302,993.1059,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,2.3820186817067577,0.010770329614269008,-0.369525,1.8385383441905816,13.031445509259104,,
0.8396,73.905,-0.683,-2.284,69.932,-0.621,-2.286,-0.002,0.004,-0.01,-0.002,0.004,-0.01,0.471,-0.009,-0.216,-0.0,0.0,0.0,0.0,0.0,-0.0,885.04,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.5699,-0.3881,-0.7243,-0.5245,0.5067,-0.6842,0.6325,0.7699,0.0852,0.6764,0.1249,-0.7259,-0.7312,-0.0049,-0.6822,-0.0887,0.9922,0.088,0.0,0.0,-0.0,0.0,0.0,0.0,0.0029,-0.0041,0.01,81.1525,73.7666,-12.8415,0.0,0.0435,-0.3747,0.0,0.0,0.0,1065478.5333,118210.233,6643918.4544,-5592.7802,-5198.866,991.342,1065397.3808,118136.4665,6643931.2959,-5592.7831,-5198.8619,991.332,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,2.383934772597606,0.010770329614269008,-0.369525,1.858199068504402,13.031445509259104,,
1.0439,73.905,-0.682,-2.286,69.931,-0.62,-2.288,-0.002,0.004,-0.01,-0.002,0.004,-0.01,0.471,-0.009,-0.216,-0.0,0.0,0.0,0.0,0.0,-0.0,885.04,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.5699,-0.3881,-0.7243,-0.5245,0.5067,-0.6842,0.6325,0.7699,0.0852,0.6764,0.1249,-0.7259,-0.7312,-0.0049,-0.6822,-0.0887,0.9922,0.088,0.0,0.0,-0.0,0.0,0.0,0.0,0.0029,-0.0041,0.01,81.1531,73.7657,-12.8394,0.0,0.0435,-0.3747,0.0,0.0,0.0,1064334.2376,117146.5564,6644121.0962,-5593.0651,-5198.8975,989.5643,1064253.0845,117072.7907,6644133.9357,-5593.068,-5198.8934,989.5543,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,2.385564922612671,0.010770329614269008,-0.369525,1.8598580381821175,13.031445509259104,,
1.248,73.905,-0.681,-2.288,69.931,-0.619,-2.29,-0.002,0.004,-0.01,-0.002,0.004,-0.01,0.471,-0.009,-0.216,-0.0,0.0,0.0,0.0,0.0,-0.0,885.04,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.5699,-0.3881,-0.7243,-0.5245,0.5067,-0.6842,0.6325,0.7699,0.0852,0.6764,0.1249,-0.7259,-0.7312,-0.0049,-0.6822,-0.0887,0.9922,0.088,0.0,0.0,-0.0,0.0,0.0,0.0,0.0029,-0.0041,0.01,81.1537,73.7649,-12.8374,0.0,0.0435,-0.3747,0.0,0.0,0.0,1063189.86,116082.8515,6644323.3789,-5593.3497,-5198.9287,987.7865,1063108.7063,116009.0866,6644336.2163,-5593.3526,-5198.9245,987.7765,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,2.387196053951162,0.010770329614269008,-0.369525,1.8615514632363912,13.031445509259104,,
1.4537,73.904,-0.68,-2.291,69.931,-0.618,-2.292,-0.002,0.004,-0.01,-0.002,0.004,-0.01,0.471,-0.009,-0.216,-0.0,0.0,0.0,0.0,0.0,-0.0,885.04,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.5699,-0.3881,-0.7243,-0.5245,0.5067,-0.6842,0.6325,0.7699,0.0852,0.6764,0.1249,-0.7259,-0.7312,-0.0049,-0.6822,-0.0887,0.9922,0.088,0.0,0.0,-0.0,0.0,0.0,0.0,0.0028,-0.0041,0.01,81.1543,73.764,-12.8353,0.0,0.0435,-0.3747,0.0,0.0,0.0,1062045.9982,115019.6742,6644525.198,-5593.6339,-5198.9596,986.0096,1061964.844,114945.9102,6644538.0334,-5593.6368,-5198.9554,985.9996,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,2.38978681057537,0.010770329614269008,-0.36951999999999996,1.8492410208945713,13.031269182278395,,
1.657,73.904,-0.679,-2.293,69.93,-0.617,-2.294,-0.002,0.004,-0.01,-0.002,0.004,-0.01,0.471,-0.009,-0.216,-0.0,0.0,0.0,0.0,0.0,-0.0,885.04,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.5699,-0.3881,-0.7243,-0.5245,0.5067,-0.6842,0.6325,0.7699,0.0852,0.6764,0.1249,-0.7259,-0.7312,-0.0049,-0.6822,-0.0887,0.9922,0.088,0.0,0.0,-0.0,0.0,0.0,0.0,0.0028,-0.0042,0.01,81.1548,73.7632,-12.8333,0.0,0.0435,-0.3747,0.0,0.0,0.0,1060906.9084,113960.9794,6644725.8032,-5593.9166,-5198.99,984.2401,1060825.7536,113887.2162,6644738.6365,-5593.9194,-5198.9859,984.2301,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,2.3914200802033925,0.010770329614269008,-0.36951999999999996,1.850904055681788,13.031269182278395,,
1.8614,73.904,-0.678,-2.295,69.93,-0.617,-2.296,-0.002,0.004,-0.01,-0.002,0.004,-0.01,0.471,-0.009,-0.216,-0.0,0.0,0.0,0.0,0.0,-0.0,885.04,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.5699,-0.3881,-0.7243,-0.5245,0.5067,-0.6842,0.6325,0.7699,0.0852,0.6764,0.1249,-0.7259,-0.7312,-0.0049,-0.6822,-0.0887,0.9922,0.088,0.0,0.0,-0.0,0.0,0.0,0.0,0.0028,-0.0042,0.01,81.1554,73.7623,-12.8312,0.0,0.0435,-0.3747,0.0,0.0,0.0,1059760.2766,112895.3227,6644927.3623,-5594.2008,-5199.0205,982.459,1059679.1212,112821.5603,6644940.1935,-5594.2036,-5199.0163,982.4489,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,2.393054324498297,0.010770329614269008,-0.36951999999999996,1.8492714353077346,13.031269182278395,,
2.0666,73.903,-0.677,-2.297,69.93,-0.616,-2.298,-0.002,0.004,-0.01,-0.002,0.004,-0.01,0.471,-0.009,-0.216,-0.0,0.0,0.0,0.0,0.0,-0.0,885.04,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.5699,-0.3881,-0.7243,-0.5245,0.5067,-0.6842,0.6325,0.7699,0.0852,0.6764,0.1249,-0.7259,-0.7312,-0.0049,-0.6822,-0.0887,0.9922,0.088,0.0,0.0,-0.0,0.0,0.0,0.0,0.0028,-0.0042,0.01,81.156,73.7615,-12.8292,0.0,0.0435,-0.3747,0.0,0.0,0.0,1058614.3137,111830.3351,6645128.4278,-5594.4846,-5199.0506,980.6789,1058533.1577,111756.5736,6645141.257,-5594.4873,-5199.0464,980.6688,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,2.3946895414646137,0.010770329614269008,-0.36951500000000004,1.851013793336184,13.031092855297688,,
