SimTime,COG Pos.x [m],COG Pos.y [m],COG Pos.z [m],Port Pos.x [m],Port Pos.y [m],Port Pos.z [m],COG Vel.x [m],COG Vel.y [m],COG Vel.z [m],Port Vel.x [m],Port Vel.y [m],Port Vel.z [m],Rot Angle.x [deg],Rot Angle.y [deg],Rot Angle.z [deg],Rot. Rate.x [deg/s],Rot. Rate.y [deg/s],Rot. Rate.z [deg/s],Rot. Rate.x [deg/s] (VLCS),Rot. Rate.y [deg/s] (VLCS),Rot. Rate.Z [deg/s] (VLCS),Tank mass [kg],THC.z,THC.y,THC.x,RHC.z,RHC.y,RHC.x,MFDLeft,MFDRight,MyROT.m11,MyROT.m12,MyROT.m13,MyROT.m21,MyROT.m22,MyROT.m23,MyROT.m31,MyROT.m32,MyROT.m33,TgtRot.m11,TgtRot.m12,TgtRot.m13,TgtRot.m21,TgtRot.m22,TgtRot.m23,TgtRot.m31,TgtRot.m32,TgtRot.m33,MyAngVel.x,MyAngVel.y,MyAngVel.z,TgtAngVel.x,TgtAngVel.y,TgtAngVel.z,RelPos.x,RelPos.y,RelPos.z,RelVel.x,RelVel.y,RelVel.z,MySs.x,MySs.y,MySs.z,TgtSs.x,TgtSs.y,TgtSs.z,MyLVPos.x,MyLVPos.y,MyLVPos.z,MyLVVel.x,MyLVVel.y,MyLVVel.z,TgtLVPos.x,TgtLVPos.y,TgtLVPos.z,TgtLVVel.x,TgtLVVel.y,TgtLVVel.z,MyDockPos.x,MyDockPos.y,MyDockPos.z,MyDockDir.x,MyDockDir.y,MyDockDir.z,MyDockRot.x,MyDockRot.y,MyDockRot.z,TgtDockPos.x,TgtDockPos.y,TgtDockPos.z,TgtDockDir.x,TgtDockDir.y,TgtDockDir.z,TgtDockRot.x,TgtDockRot.y,TgtDockRot.z,Lateral Offset,Lateral Velocity,Ideal Approach Vel,Angle to Port,Approach Cone,Max Rot Angle,Max Rot Velocity
0.168,73.906,-0.686,-2.276,69.933,-0.625,-2.277,-0.001,0.004,-0.01,-0.001,0.004,-0.01,0.471,-0.009,-0.216,0.0,-0.0,0.0,0.0,-0.0,0.0,885.04,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.5699,-0.3881,-0.7243,-0.5245,0.5067,-0.6842,0.6325,0.7699,0.0852,0.6764,0.1249,-0.7259,-0.7312,-0.0049,-0.6822,-0.0887,0.9922,0.088,0.0,-0.0,0.0,0.0,0.0,0.0,0.003,-0.004,0.01,81.15,73.7699,-12.8498,0.0,0.0435,-0.3747,0.0,0.0,0.0,1070137.1728,122530.2657,6643044.5652,-5591.6198,-5198.7352,998.5614,1070056.0227,122456.4958,6643057.415,-5591.6228,-5198.7312,998.5514,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,2.3771352506746433,0.010770329614269008,-0.36953,1.8334442868365988,13.031621836239813,,
0.3715,73.906,-0.685,-2.279,69.932,-0.623,-2.281,-0.001,0.004,-0.01,-0.001,0.004,-0.01,0.471,-0.009,-0.216,-0.0,0.0,0.0,0.0,0.0,-0.0,885.04,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.5699,-0.3881,-0.7243,-0.5245,0.5067,-0.6842,0.6325,0.7699,0.0852,0.6764,0.1249,-0.7259,-0.7312,-0.0049,-0.6822,-0.0887,0.9922,0.088,0.0,0.0,-0.0,0.0,0.0,0.0,0.003,-0.004,0.01,81.1511,73.7685,-12.8462,0.0,0.0435,-0.3747,0.0,0.0,0.0,1068118.1485,120653.1782,6643404.5415,-5592.1246,-5198.7926,995.4246,1068036.9974,120579.4097,6643417.3877,-5592.1276,-5198.7885,995.4146,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,2.379719731396956,0.010770329614269008,-0.36953,1.853995405288162,13.031621836239813,,
0.5758,73.906,-0.684,-2.282,69.932,-0.622,-2.283,-0.002,0.004,-0.01,-0.002,0.004,-0.01,0.471,-0.009,-0.216,-0.0,0.0,0.0,0.0,0.0,-0.0,885.04,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.5699,-0.3881,-0.7243,-0.5245,0.5067,-0.6842,0.6325,0.7699,0.0852,0.6764,0.1249,-0.7259,-0.7312,-0.0049,-0.6822,-0.0887,0.9922,0.088,0.0,0.0,-0.0,0.0,0.0,0.0,0.0029,-0.0041,0.01,81.1517,73.7676,-12.8441,0.0,0.0435,-0.3747,0.0,0.0,0.0,1066974.6435,119590.1273,6643607.9036,-5592.4101,-5198.8247,993.648,1066893.4917,119516.3597,6643620.7478,-5592.413,-5198.8206,993.638,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,2.3823056059204495,0.010770329614269008,-0.36953,1.8416284916232404,13.031621836239813,,
0.7826,73.905,-0.683,-2.284,69.932,-0.621,-2.285,-0.002,0.004,-0.01,-0.002,0.004,-0.01,0.471,-0.009,-0.216,-0.0,0.0,0.0,0.0,0.0,-0.0,885.04,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.5699,-0.3881,-0.7243,-0.5245,0.5067,-0.6842,0.6325,0.7699,0.0852,0.6764,0.1249,-0.7259,-0.7312,-0.0049,-0.6822,-0.0887,0.9922,0.088,0.0,0.0,-0.0,0.0,0.0,0.0,0.0029,-0.0041,0.01,81.1523,73.7668,-12.8421,0.0,0.0435,-0.3747,0.0,0.0,0.0,1065827.9608,118524.17,6643811.4546,-5592.6961,-5198.8566,991.8666,1065746.8084,118450.4032,6643824.2967,-5592.699,-5198.8525,991.8565,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,2.383934772597606,0.010770329614269008,-0.369525,1.843375926778674,13.031445509259104,,
0.9887,73.905,-0.682,-2.286,69.931,-0.62,-2.287,-0.002,0.004,-0.01,-0.002,0.004,-0.01,0.471,-0.009,-0.216,-0.0,0.0,0.0,0.0,0.0,-0.0,885.04,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.5699,-0.3881,-0.7243,-0.5245,0.5067,-0.6842,0.6325,0.7699,0.0852,0.6764,0.1249,-0.7259,-0.7312,-0.0049,-0.6822,-0.0887,0.9922,0.088,0.0,0.0,-0.0,0.0,0.0,0.0,0.0029,-0.0041,0.01,81.1529,73.766,-12.84,0.0,0.0435,-0.3747,0.0,0.0,0.0,1064663.4204,117441.6613,6644017.791,-5592.9861,-5198.8888,990.0574,1064582.2675,117367.8953,6644030.631,-5592.989,-5198.8847,990.0474,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,2.385564922612671,0.010770329614269008,-0.369525,1.8450387625049514,13.031445509259104,,
1.1909,73.905,-0.681,-2.288,69.931,-0.619,-2.289,-0.002,0.004,-0.01,-0.002,0.004,-0.01,0.471,-0.009,-0.216,-0.0,0.0,0.0,0.0,0.0,-0.0,885.04,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.5699,-0.3881,-0.7243,-0.5245,0.5067,-0.6842,0.6325,0.7699,0.0852,0.6764,0.1249,-0.7259,-0.7312,-0.0049,-0.6822,-0.0887,0.9922,0.088,0.0,0.0,-0.0,0.0,0.0,0.0,0.0029,-0.0041,0.01,81.1535,73.7651,-12.838,0.0,0.0435,-0.3747,0.0,0.0,0.0,1063536.9612,116394.5984,6644217.0118,-5593.2664,-5198.9195,988.3074,1063455.8077,116320.8332,6644229.8498,-5593.2693,-5198.9154,988.2974,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,2.387196053951162,0.010770329614269008,-0.369525,1.8467329427666352,13.031445509259104,,
1.3951,73.904,-0.68,-2.29,69.931,-0.619,-2.291,-0.002,0.004,-0.01,-0.002,0.004,-0.01,0.471,-0.009,-0.216,-0.0,0.0,0.0,0.0,0.0,-0.0,885.04,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.5699,-0.3881,-0.7243,-0.5245,0.5067,-0.6842,0.6325,0.7699,0.0852,0.6764,0.1249,-0.7259,-0.7312,-0.0049,-0.6822,-0.0887,0.9922,0.088,0.0,0.0,-0.0,0.0,0.0,0.0,0.0029,-0.0041,0.01,81.1541,73.7643,-12.8359,0.0,0.0435,-0.3747,0.0,0.0,0.0,1062393.8593,115332.1133,6644418.8065,-5593.5505,-5198.9505,986.5317,1062312.7052,115258.349,6644431.6425,-5593.5533,-5198.9464,986.5216,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,2.3888281646028875,0.010770329614269008,-0.36951999999999996,1.845156503806506,13.031269182278395,,
1.5985,73.904,-0.679,-2.292,69.931,-0.618,-2.293,-0.002,0.004,-0.01,-0.002,0.004,-0.01,0.471,-0.009,-0.216,-0.0,0.0,0.0,0.0,0.0,-0.0,885.04,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.5699,-0.3881,-0.7243,-0.5245,0.5067,-0.6842,0.6325,0.7699,0.0852,0.6764,0.1249,-0.7259,-0.7312,-0.0049,-0.6822,-0.0887,0.9922,0.088,0.0,0.0,-0.0,0.0,0.0,0.0,0.0028,-0.0042,0.01,81.1547,73.7634,-12.8339,0.0,0.0435,-0.3747,0.0,0.0,0.0,1061250.6368,114269.5632,6644620.247,-5593.8343,-5198.9812,984.7557,1061169.4822,114195.7998,6644633.0809,-5593.8371,-5198.977,984.7457,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,2.39046125256194,0.010770329614269008,-0.36951999999999996,1.8468475436120275,13.031269182278395,,
1.8038,73.904,-0.678,-2.294,69.93,-0.617,-2.295,-0.002,0.004,-0.01,-0.002,0.004,-0.01,0.471,-0.009,-0.216,-0.0,0.0,0.0,0.0,0.0,-0.0,885.04,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.5699,-0.3881,-0.7243,-0.5245,0.5067,-0.6842,0.6325,0.7699,0.0852,0.6764,0.1249,-0.7259,-0.7312,-0.0049,-0.6822,-0.0887,0.9922,0.088,0.0,0.0,-0.0,0.0,0.0,0.0,0.0028,-0.0042,0.01,81.1552,73.7626,-12.8318,0.0,0.0435,-0.3747,0.0,0.0,0.0,1060105.2248,113205.0261,6644821.7,-5594.1183,-5199.0117,982.9764,1060024.0695,113131.2635,6644834.5318,-5594.1211,-5199.0075,982.9664,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,2.3920953158266918,0.010770329614269008,-0.36951999999999996,1.8485099086754362,13.031269182278395,,
2.011,73.903,-0.677,-2.296,69.93,-0.616,-2.297,-0.002,0.004,-0.01,-0.002,0.004,-0.01,0.471,-0.009,-0.216,-0.0,0.0,0.0,0.0,0.0,-0.0,885.04,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.5699,-0.3881,-0.7243,-0.5245,0.5067,-0.6842,0.6325,0.7699,0.0852,0.6764,0.1249,-0.7259,-0.7312,-0.0049,-0.6822,-0.0887,0.9922,0.088,0.0,0.0,-0.0,0.0,0.0,0.0,0.0028,-0.0042,0.01,81.1558,73.7617,-12.8298,0.0,0.0435,-0.3747,0.0,0.0,0.0,1058951.6072,112132.9114,6645024.2184,-5594.404,-5199.042,981.1844,1058870.4514,112059.1496,6645037.0481,-5594.4068,-5199.0378,981.1744,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,2.393730352399785,0.010770329614269008,-0.36951500000000004,1.8502523261948207,13.031092855297688,,
