SimTime,COG Pos.x [m],COG Pos.y [m],COG Pos.z [m],Port Pos.x [m],Port Pos.y [m],Port Pos.z [m],COG Vel.x [m],COG Vel.y [m],COG Vel.z [m],Port Vel.x [m],Port Vel.y [m],Port Vel.z [m],Rot Angle.x [deg],Rot Angle.y [deg],Rot Angle.z [deg],Rot. Rate.x [deg/s],Rot. Rate.y [deg/s],Rot. Rate.z [deg/s],Rot. Rate.x [deg/s] (VLCS),Rot. Rate.y [deg/s] (VLCS),Rot. Rate.Z [deg/s] (VLCS),Tank mass [kg],THC.z,THC.y,THC.x,RHC.z,RHC.y,RHC.x,MFDLeft,MFDRight,MyROT.m11,MyROT.m12,MyROT.m13,MyROT.m21,MyROT.m22,MyROT.m23,MyROT.m31,MyROT.m32,MyROT.m33,TgtRot.m11,TgtRot.m12,TgtRot.m13,TgtRot.m21,TgtRot.m22,TgtRot.m23,TgtRot.m31,TgtRot.m32,TgtRot.m33,MyAngVel.x,MyAngVel.y,MyAngVel.z,TgtAngVel.x,TgtAngVel.y,TgtAngVel.z,RelPos.x,RelPos.y,RelPos.z,RelVel.x,RelVel.y,RelVel.z,MySs.x,MySs.y,MySs.z,TgtSs.x,TgtSs.y,TgtSs.z,MyLVPos.x,MyLVPos.y,MyLVPos.z,MyLVVel.x,MyLVVel.y,MyLVVel.z,TgtLVPos.x,TgtLVPos.y,TgtLVPos.z,TgtLVVel.x,TgtLVVel.y,TgtLVVel.z,MyDockPos.x,MyDockPos.y,MyDockPos.z,MyDockDir.x,MyDockDir.y,MyDockDir.z,MyDockRot.x,MyDockRot.y,MyDockRot.z,TgtDockPos.x,TgtDockPos.y,TgtDockPos.z,TgtDockDir.x,TgtDockDir.y,TgtDockDir.z,TgtDockRot.x,TgtDockRot.y,TgtDockRot.z,Lateral Offset,Lateral Velocity,Ideal Approach Vel,Angle to Port,Approach Cone,Max Rot Angle,Max Rot Velocity
0.1513,74.334,-1.039,-1.511,70.361,-0.948,-1.519,0.005,-0.009,-0.0,0.005,-0.009,-0.0,-0.312,-0.124,0.215,-0.0,0.0,-0.0,-0.0,0.0,-0.0,874.935,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.5648,-0.3924,-0.726,-0.5245,0.5085,-0.6829,0.6371,0.7664,0.0814,0.677,0.1225,-0.7257,-0.7296,-0.0181,-0.6836,-0.0969,0.9923,0.0772,-0.0,0.0,-0.0,0.0,0.0,0.0,0.007,-0.001,-0.007,81.1611,74.4898,-12.4612,0.0,0.0435,-0.3723,0.0,0.0,0.0,2538203.4206,3001262.1323,-5474786.4437,4925.2092,3901.3639,4429.7011,2538122.2595,3001187.6425,-5474773.9826,4925.2022,3901.3649,4429.7081,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,1.8337508009541534,0.009,-0.37167,1.41646174305473,13.107089783983037,,
0.3639,74.335,-1.041,-1.511,70.362,-0.95,-1.519,0.005,-0.009,0.0,0.005,-0.009,0.0,-0.312,-0.124,0.215,-0.0,0.0,-0.0,-0.0,0.0,-0.0,874.935,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.5648,-0.3924,-0.726,-0.5245,0.5085,-0.6829,0.6371,0.7664,0.0814,0.677,0.1225,-0.7257,-0.7296,-0.0181,-0.6836,-0.0969,0.9923,0.0772,-0.0,0.0,-0.0,0.0,0.0,0.0,0.007,-0.001,-0.0071,81.1626,74.4896,-12.4626,0.0,0.0435,-0.3723,0.0,0.0,0.0,2539248.3753,3002089.8338,-5473846.3938,4924.5079,3900.5347,4431.2134,2539167.2127,3002015.3442,-5473833.9312,4924.5009,3900.5357,4431.2205,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,1.8348847375244035,0.009,-0.371675,1.415820078905355,13.107266110963742,,
0.5728,74.336,-1.043,-1.511,70.363,-0.952,-1.519,0.005,-0.009,0.0,0.005,-0.009,0.0,-0.312,-0.124,0.215,-0.0,0.0,-0.0,-0.0,0.0,-0.0,874.935,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.5648,-0.3924,-0.726,-0.5245,0.5085,-0.6829,0.6371,0.7664,0.0814,0.677,0.1225,-0.7257,-0.7296,-0.0181,-0.6836,-0.0969,0.9923,0.0772,-0.0,0.0,-0.0,0.0,0.0,0.0,0.007,-0.001,-0.0071,81.1641,74.4894,-12.4641,0.0,0.0435,-0.3723,0.0,0.0,0.0,2540282.3695,3002908.7968,-5472915.7544,4923.8135,3899.7138,4432.7099,2540201.2054,3002834.3073,-5472903.2903,4923.8065,3899.7148,4432.717,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,1.8360201523948476,0.009,-0.37168,1.41517982056234,13.107442437944453,,
0.7804,74.337,-1.045,-1.511,70.364,-0.954,-1.519,0.005,-0.009,0.0,0.005,-0.009,0.0,-0.312,-0.124,0.215,-0.0,0.0,-0.0,-0.0,0.0,-0.0,874.935,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.5648,-0.3924,-0.726,-0.5245,0.5085,-0.6829,0.6371,0.7664,0.0814,0.677,0.1225,-0.7257,-0.7296,-0.0181,-0.6836,-0.0969,0.9923,0.0772,-0.0,0.0,-0.0,0.0,0.0,0.0,0.007,-0.001,-0.0072,81.1656,74.4892,-12.4656,0.0,0.0435,-0.3723,0.0,0.0,0.0,2541301.8835,3003716.2348,-5471997.7129,4923.1284,3898.9041,4434.1853,2541220.718,3003641.7456,-5471985.2473,4923.1214,3898.905,4434.1925,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,1.8371570428245918,0.009,-0.37168500000000004,1.4145409697942097,13.107618764925162,,
0.9893,74.338,-1.047,-1.511,70.365,-0.955,-1.519,0.005,-0.009,0.0,0.005,-0.009,0.0,-0.312,-0.124,0.215,-0.0,0.0,-0.0,-0.0,0.0,-0.0,874.935,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.5648,-0.3924,-0.726,-0.5245,0.5085,-0.6829,0.6371,0.7664,0.0814,0.677,0.1225,-0.7257,-0.7296,-0.0181,-0.6836,-0.0969,0.9923,0.0772,-0.0,0.0,-0.0,0.0,0.0,0.0,0.007,-0.001,-0.0072,81.167,74.489,-12.4671,0.0,0.0435,-0.3723,0.0,0.0,0.0,2542330.8539,3004531.1061,-5471070.7169,4922.4367,3898.0865,4435.6744,2542249.6869,3004456.6171,-5471058.2498,4922.4297,3898.0874,4435.6816,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,1.8382954060759658,0.009,-0.37168999999999996,1.4200970998712878,13.107795091905869,,
1.2012,74.339,-1.049,-1.511,70.366,-0.957,-1.519,0.005,-0.009,0.0,0.005,-0.009,0.0,-0.312,-0.124,0.215,-0.0,0.0,-0.0,-0.0,0.0,-0.0,874.935,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.5648,-0.3924,-0.726,-0.5245,0.5085,-0.6829,0.6371,0.7664,0.0814,0.677,0.1225,-0.7257,-0.7296,-0.0181,-0.6836,-0.0969,0.9923,0.0772,-0.0,0.0,-0.0,0.0,0.0,0.0,0.007,-0.001,-0.0073,81.1685,74.4888,-12.4687,0.0,0.0435,-0.3723,0.0,0.0,0.0,2543367.5218,3005352.0164,-5470136.3387,4921.7394,3897.2624,4437.1746,2543286.3533,3005277.5276,-5470123.8701,4921.7324,3897.2634,4437.1819,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,1.8394352394145328,0.009,-0.371695,1.419447345689268,13.107971418886578,,
1.4137,74.34,-1.051,-1.511,70.367,-0.959,-1.519,0.005,-0.009,0.0,0.005,-0.009,0.0,-0.312,-0.124,0.215,-0.0,0.0,-0.0,-0.0,0.0,-0.0,874.935,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.5648,-0.3924,-0.726,-0.5245,0.5085,-0.6829,0.6371,0.7664,0.0814,0.677,0.1225,-0.7257,-0.7296,-0.0181,-0.6836,-0.0969,0.9923,0.0772,-0.0,0.0,-0.0,0.0,0.0,0.0,0.007,-0.001,-0.0073,81.17,74.4886,-12.4702,0.0,0.0435,-0.3723,0.0,0.0,0.0,2544418.4815,3006184.1856,-5469188.6211,4921.032,3896.4267,4438.6954,2544337.3115,3006109.697,-5469176.1509,4921.025,3896.4276,4438.7028,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,1.8405765401091037,0.009,-0.37170000000000003,1.4187989862876904,13.108147745867287,,
1.6251,74.341,-1.052,-1.511,70.368,-0.961,-1.519,0.005,-0.009,0.0,0.005,-0.009,0.0,-0.312,-0.124,0.215,-0.0,0.0,-0.0,-0.0,0.0,-0.0,874.935,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.5648,-0.3924,-0.726,-0.5245,0.5085,-0.6829,0.6371,0.7664,0.0814,0.677,0.1225,-0.7257,-0.7296,-0.0181,-0.6836,-0.0969,0.9923,0.0772,-0.0,0.0,-0.0,0.0,0.0,0.0,0.007,-0.0009,-0.0074,81.1714,74.4884,-12.4718,0.0,0.0435,-0.3723,0.0,0.0,0.0,2545456.421,3007005.9874,-5468252.1918,4920.3331,3895.601,4440.1974,2545375.2496,3006931.499,-5468239.72,4920.3261,3895.6019,4440.2047,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,1.8411477398622849,0.009,-0.37170499999999995,1.4123108206582775,13.108324072847994,,
1.8361,74.342,-1.054,-1.511,70.369,-0.963,-1.519,0.005,-0.009,0.0,0.005,-0.009,0.0,-0.312,-0.124,0.215,-0.0,0.0,-0.0,-0.0,0.0,-0.0,874.935,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.5648,-0.3924,-0.726,-0.5245,0.5085,-0.6829,0.6371,0.7664,0.0814,0.677,0.1225,-0.7257,-0.7296,-0.0181,-0.6836,-0.0969,0.9923,0.0772,-0.0,0.0,-0.0,0.0,0.0,0.0,0.007,-0.0009,-0.0074,81.1729,74.4882,-12.4733,0.0,0.0435,-0.3723,0.0,0.0,0.0,2546498.5582,3007831.0549,-5467311.523,4919.6309,3894.7715,4441.7054,2546417.3853,3007756.5667,-5467299.0497,4919.6239,3894.7725,4441.7128,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,1.8422912364770125,0.009,-0.37171,1.4116783224099698,13.108500399828703,,
2.0475,74.343,-1.056,-1.511,70.37,-0.965,-1.519,0.005,-0.009,0.0,0.005,-0.009,0.0,-0.312,-0.124,0.215,-0.0,0.0,-0.0,-0.0,0.0,-0.0,874.935,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.5648,-0.3924,-0.726,-0.5245,0.5085,-0.6829,0.6371,0.7664,0.0814,0.677,0.1225,-0.7257,-0.7296,-0.0181,-0.6836,-0.0969,0.9923,0.0772,-0.0,0.0,-0.0,0.0,0.0,0.0,0.007,-0.0009,-0.0075,81.1744,74.488,-12.4749,0.0,0.0435,-0.3723,0.0,0.0,0.0,2547531.1878,3008648.538,-5466378.9887,4918.9348,3893.9493,4443.1995,2547450.0134,3008574.05,-5466366.5139,4918.9278,3893.9503,4443.207,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,1.8434361936340513,0.009,-0.371715,1.4110472414279691,13.108676726809412,,
