SimTime,COG Pos.x [m],COG Pos.y [m],COG Pos.z [m],Port Pos.x [m],Port Pos.y [m],Port Pos.z [m],COG Vel.x [m],COG Vel.y [m],COG Vel.z [m],Port Vel.x [m],Port Vel.y [m],Port Vel.z [m],Rot Angle.x [deg],Rot Angle.y [deg],Rot Angle.z [deg],Rot. Rate.x [deg/s],Rot. Rate.y [deg/s],Rot. Rate.z [deg/s],Rot. Rate.x [deg/s] (VLCS),Rot. Rate.y [deg/s] (VLCS),Rot. Rate.Z [deg/s] (VLCS),Tank mass [kg],THC.z,THC.y,THC.x,RHC.z,RHC.y,RHC.x,MFDLeft,MFDRight,MyROT.m11,MyROT.m12,MyROT.m13,MyROT.m21,MyROT.m22,MyROT.m23,MyROT.m31,MyROT.m32,MyROT.m33,TgtRot.m11,TgtRot.m12,TgtRot.m13,TgtRot.m21,TgtRot.m22,TgtRot.m23,TgtRot.m31,TgtRot.m32,TgtRot.m33,MyAngVel.x,MyAngVel.y,MyAngVel.z,TgtAngVel.x,TgtAngVel.y,TgtAngVel.z,RelPos.x,RelPos.y,RelPos.z,RelVel.x,RelVel.y,RelVel.z,MySs.x,MySs.y,MySs.z,TgtSs.x,TgtSs.y,TgtSs.z,MyLVPos.x,MyLVPos.y,MyLVPos.z,MyLVVel.x,MyLVVel.y,MyLVVel.z,TgtLVPos.x,TgtLVPos.y,TgtLVPos.z,TgtLVVel.x,TgtLVVel.y,TgtLVVel.z,MyDockPos.x,MyDockPos.y,MyDockPos.z,MyDockDir.x,MyDockDir.y,MyDockDir.z,MyDockRot.x,MyDockRot.y,MyDockRot.z,TgtDockPos.x,TgtDockPos.y,TgtDockPos.z,TgtDockDir.x,TgtDockDir.y,TgtDockDir.z,TgtDockRot.x,TgtDockRot.y,TgtDockRot.z,Lateral Offset,Lateral Velocity,Ideal Approach Vel,Angle to Port,Approach Cone,Max Rot Angle,Max Rot Velocity
0.1775,73.87,1.419,1.024,69.897,1.422,1.093,-0.006,0.002,-0.0,-0.006,0.002,-0.0,0.995,1.012,-1.059,0.0,-0.0,-0.0,-0.0,-0.0,0.0,872.151,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.2648,-0.1845,-0.9465,-0.9588,-0.1552,-0.238,-0.1029,0.9705,-0.218,0.0754,-0.945,0.3181,-0.7713,-0.2575,-0.5821,0.632,-0.2015,-0.7483,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.006,-0.002,0.001,76.3689,29.2596,27.0402,0.0,0.0435,-0.3716,0.0,0.0,0.0,2341808.8762,2844537.3705,-5642485.1114,5051.0579,4051.6496,4145.446,2341732.5073,2844508.1109,-5642512.1516,5051.0639,4051.6516,4145.445,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-11.284,-11.243,0.0,-1.0,0.0,0.7071,0.0,-0.7071,1.749896282640774,0.002,-0.36935,2.1787524393815856,13.025274064934308,,
0.382,73.869,1.42,1.024,69.895,1.423,1.093,-0.006,0.002,-0.0,-0.006,0.002,-0.0,0.995,1.012,-1.059,0.0,-0.0,-0.0,-0.0,-0.0,0.0,872.151,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.2648,-0.1845,-0.9465,-0.9588,-0.1552,-0.238,-0.1029,0.9705,-0.218,0.0754,-0.945,0.3181,-0.7713,-0.2575,-0.5821,0.632,-0.2015,-0.7483,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.006,-0.002,0.001,76.3677,29.2592,27.0404,0.0,0.0435,-0.3716,0.0,0.0,0.0,2342831.0565,2845357.2748,-5641646.0002,5050.4405,4050.8997,4146.9332,2342754.6888,2845328.0156,-5641673.0405,5050.4465,4050.9017,4146.9322,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-11.284,-11.243,0.0,-1.0,0.0,0.7071,0.0,-0.7071,1.7507072856420058,0.002,-0.369345,2.178983344495575,13.0250977379536,,
0.5831,73.867,1.42,1.024,69.894,1.423,1.093,-0.006,0.002,-0.0,-0.006,0.002,-0.0,0.995,1.012,-1.059,0.0,-0.0,-0.0,-0.0,-0.0,0.0,872.151,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.2648,-0.1845,-0.9465,-0.9588,-0.1552,-0.238,-0.1029,0.9705,-0.218,0.0754,-0.945,0.3181,-0.7713,-0.2575,-0.5821,0.632,-0.2015,-0.7483,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.006,-0.002,0.0009,76.3665,29.2588,27.0406,0.0,0.0435,-0.3716,0.0,0.0,0.0,2343851.6831,2846175.8815,-5640807.7613,5049.8237,4050.1506,4148.4181,2343775.3167,2846146.6227,-5640834.8019,5049.8297,4050.1526,4148.4172,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-11.284,-11.243,0.0,-1.0,0.0,0.7071,0.0,-0.7071,1.7507072856420058,0.002,-0.369335,2.1792192928947487,13.024745083992183,,
0.7854,73.866,1.421,1.024,69.893,1.424,1.093,-0.006,0.002,-0.0,-0.006,0.002,-0.0,0.995,1.012,-1.059,0.0,-0.0,-0.0,-0.0,-0.0,0.0,872.151,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.2648,-0.1845,-0.9465,-0.9588,-0.1552,-0.238,-0.1029,0.9705,-0.218,0.0754,-0.945,0.3181,-0.7713,-0.2575,-0.5821,0.632,-0.2015,-0.7483,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0061,-0.002,0.0009,76.3652,29.2584,27.0408,0.0,0.0435,-0.3716,0.0,0.0,0.0,2344878.4301,2846999.3455,-5639964.088,5049.2028,4049.3967,4149.9119,2344802.0649,2846970.087,-5639991.1288,5049.2088,4049.3987,4149.911,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-11.284,-11.243,0.0,-1.0,0.0,0.7071,0.0,-0.7071,1.7515184840589035,0.002,-0.36933,2.179650618001407,13.024568757011474,,
0.9862,73.865,1.421,1.024,69.892,1.424,1.093,-0.006,0.002,-0.0,-0.006,0.002,-0.0,0.995,1.012,-1.059,0.0,-0.0,-0.0,-0.0,-0.0,0.0,872.151,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.2648,-0.1845,-0.9465,-0.9588,-0.1552,-0.238,-0.1029,0.9705,-0.218,0.0754,-0.945,0.3181,-0.7713,-0.2575,-0.5821,0.632,-0.2015,-0.7483,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0061,-0.002,0.0009,76.364,29.258,27.041,0.0,0.0435,-0.3716,0.0,0.0,0.0,2345892.3264,2847812.4519,-5639130.5743,5048.5893,4048.652,4151.387,2345815.9623,2847783.1939,-5639157.6152,5048.5954,4048.654,4151.386,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-11.284,-11.243,0.0,-1.0,0.0,0.7071,0.0,-0.7071,1.7515184840589035,0.002,-0.36932499999999996,2.179668507646352,13.024392430030764,,
1.1886,73.864,1.421,1.024,69.89,1.425,1.093,-0.006,0.002,-0.0,-0.006,0.002,-0.0,0.995,1.012,-1.059,0.0,-0.0,-0.0,-0.0,-0.0,0.0,872.151,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.2648,-0.1845,-0.9465,-0.9588,-0.1552,-0.238,-0.1029,0.9705,-0.218,0.0754,-0.945,0.3181,-0.7713,-0.2575,-0.5821,0.632,-0.2015,-0.7483,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0061,-0.002,0.0009,76.3628,29.2576,27.0411,0.0,0.0435,-0.3716,0.0,0.0,0.0,2346914.2425,2848631.9385,-5638290.0662,5047.9707,4047.901,4152.8736,2346837.8797,2848602.6809,-5638317.1073,5047.9768,4047.903,4152.8727,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-11.284,-11.243,0.0,-1.0,0.0,0.7071,0.0,-0.7071,1.7515184840589035,0.002,-0.36932000000000004,2.187579283744154,13.024216103050058,,
1.3895,73.863,1.422,1.024,69.889,1.425,1.093,-0.006,0.002,-0.0,-0.006,0.002,-0.0,0.995,1.012,-1.059,0.0,-0.0,-0.0,-0.0,-0.0,0.0,872.151,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.2648,-0.1845,-0.9465,-0.9588,-0.1552,-0.238,-0.1029,0.9705,-0.218,0.0754,-0.945,0.3181,-0.7713,-0.2575,-0.5821,0.632,-0.2015,-0.7483,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0061,-0.002,0.0009,76.3616,29.2572,27.0413,0.0,0.0435,-0.3716,0.0,0.0,0.0,2347928.6369,2849445.3419,-5637455.3468,5047.3562,4047.1553,4154.3493,2347852.2753,2849416.0847,-5637482.3881,5047.3624,4047.1573,4154.3485,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-11.284,-11.243,0.0,-1.0,0.0,0.7071,0.0,-0.7071,1.7523298776200789,0.002,-0.369315,2.179917864542724,13.024039776069348,,
1.5904,73.861,1.422,1.024,69.888,1.425,1.093,-0.006,0.002,-0.0,-0.006,0.002,-0.0,0.995,1.012,-1.059,0.0,-0.0,-0.0,-0.0,-0.0,0.0,872.151,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.2648,-0.1845,-0.9465,-0.9588,-0.1552,-0.238,-0.1029,0.9705,-0.218,0.0754,-0.945,0.3181,-0.7713,-0.2575,-0.5821,0.632,-0.2015,-0.7483,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0061,-0.002,0.0009,76.3604,29.2568,27.0415,0.0,0.0435,-0.3716,0.0,0.0,0.0,2348942.1572,2850257.9941,-5636620.9461,5046.742,4046.4099,4155.8237,2348865.7968,2850228.7373,-5636647.9876,5046.7481,4046.4119,4155.8229,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-11.284,-11.243,0.0,-1.0,0.0,0.7071,0.0,-0.7071,1.7523298776200789,0.002,-0.369305,2.180153754015269,13.023687122107932,,
1.7915,73.86,1.423,1.024,69.887,1.426,1.093,-0.006,0.002,-0.0,-0.006,0.002,-0.0,0.995,1.012,-1.059,0.0,-0.0,-0.0,-0.0,-0.0,0.0,872.151,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.2648,-0.1845,-0.9465,-0.9588,-0.1552,-0.238,-0.1029,0.9705,-0.218,0.0754,-0.945,0.3181,-0.7713,-0.2575,-0.5821,0.632,-0.2015,-0.7483,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0061,-0.002,0.0008,76.3591,29.2564,27.0417,0.0,0.0435,-0.3716,0.0,0.0,0.0,2349957.4021,2851071.9781,-5635784.7272,5046.1264,4045.6629,4157.3006,2349881.043,2851042.7218,-5635811.7689,5046.1325,4045.6649,4157.2998,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-11.284,-11.243,0.0,-1.0,0.0,0.7071,0.0,-0.7071,1.7531414660545794,0.002,-0.3693,2.180585544914304,13.023510795127223,,
1.997,73.859,1.423,1.024,69.886,1.426,1.093,-0.006,0.002,-0.0,-0.006,0.002,-0.0,0.995,1.012,-1.059,0.0,-0.0,-0.0,-0.0,-0.0,0.0,872.151,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.2648,-0.1845,-0.9465,-0.9588,-0.1552,-0.238,-0.1029,0.9705,-0.218,0.0754,-0.945,0.3181,-0.7713,-0.2575,-0.5821,0.632,-0.2015,-0.7483,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0062,-0.002,0.0008,76.3579,29.256,27.0418,0.0,0.0435,-0.3716,0.0,0.0,0.0,2350978.4319,2851890.5485,-5634943.343,5045.5069,4044.9114,4158.7858,2350902.074,2851861.2925,-5634970.3849,5045.513,4044.9134,4158.785,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-11.284,-11.243,0.0,-1.0,0.0,0.7071,0.0,-0.7071,1.7531414660545794,0.002,-0.369295,2.1806034529334064,13.023334468146514,,
