SimTime,COG Pos.x [m],COG Pos.y [m],COG Pos.z [m],Port Pos.x [m],Port Pos.y [m],Port Pos.z [m],COG Vel.x [m],COG Vel.y [m],COG Vel.z [m],Port Vel.x [m],Port Vel.y [m],Port Vel.z [m],Rot Angle.x [deg],Rot Angle.y [deg],Rot Angle.z [deg],Rot. Rate.x [deg/s],Rot. Rate.y [deg/s],Rot. Rate.z [deg/s],Rot. Rate.x [deg/s] (VLCS),Rot. Rate.y [deg/s] (VLCS),Rot. Rate.Z [deg/s] (VLCS),Tank mass [kg],THC.z,THC.y,THC.x,RHC.z,RHC.y,RHC.x,MFDLeft,MFDRight,MyROT.m11,MyROT.m12,MyROT.m13,MyROT.m21,MyROT.m22,MyROT.m23,MyROT.m31,MyROT.m32,MyROT.m33,TgtRot.m11,TgtRot.m12,TgtRot.m13,TgtRot.m21,TgtRot.m22,TgtRot.m23,TgtRot.m31,TgtRot.m32,TgtRot.m33,MyAngVel.x,MyAngVel.y,MyAngVel.z,TgtAngVel.x,TgtAngVel.y,TgtAngVel.z,RelPos.x,RelPos.y,RelPos.z,RelVel.x,RelVel.y,RelVel.z,MySs.x,MySs.y,MySs.z,TgtSs.x,TgtSs.y,TgtSs.z,MyLVPos.x,MyLVPos.y,MyLVPos.z,MyLVVel.x,MyLVVel.y,MyLVVel.z,TgtLVPos.x,TgtLVPos.y,TgtLVPos.z,TgtLVVel.x,TgtLVVel.y,TgtLVVel.z,MyDockPos.x,MyDockPos.y,MyDockPos.z,MyDockDir.x,MyDockDir.y,MyDockDir.z,MyDockRot.x,MyDockRot.y,MyDockRot.z,TgtDockPos.x,TgtDockPos.y,TgtDockPos.z,TgtDockDir.x,TgtDockDir.y,TgtDockDir.z,TgtDockRot.x,TgtDockRot.y,TgtDockRot.z,Lateral Offset,Lateral Velocity,Ideal Approach Vel,Angle to Port,Approach Cone,Max Rot Angle,Max Rot Velocity
0.1382,72.131,5.396,-13.236,68.201,5.211,-12.672,-0.033,-0.008,0.014,-0.033,-0.008,0.014,34.732,8.776,-3.623,0.0,-0.0,0.0,0.0,0.0,-0.0,887.863,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.7679,0.5774,-0.2775,-0.6395,0.7167,-0.2783,0.0382,0.3912,0.9195,0.669,0.7326,-0.1252,-0.7377,0.634,-0.2321,-0.0907,0.2476,0.9646,0.0,0.0,-0.0,0.0,0.0,0.0,-0.018,-0.014,0.028,23.9473,26.8678,-102.9957,0.0,0.0436,-0.3754,0.0,0.0,0.0,4835747.433,4096514.8646,2267850.4774,-1474.4222,-2257.8935,7209.9555,4835723.4858,4096487.9968,2267953.4731,-1474.4042,-2257.8794,7209.9274,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,14.293652857125082,0.0161245154965971,-0.360655,2.341715916669363,12.718641445482287,,
0.3451,72.124,5.395,-13.233,68.194,5.209,-12.669,-0.033,-0.008,0.014,-0.033,-0.008,0.014,34.732,8.776,-3.623,-0.0,-0.0,0.0,0.0,0.0,-0.0,887.863,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.7679,0.5774,-0.2775,-0.6395,0.7167,-0.2783,0.0382,0.3912,0.9195,0.669,0.7326,-0.1252,-0.7377,0.634,-0.2321,-0.0907,0.2476,0.9646,0.0,0.0,-0.0,0.0,0.0,0.0,-0.018,-0.014,0.028,23.9435,26.8649,-102.9899,0.0,0.0436,-0.3754,0.0,0.0,0.0,4835443.5193,4096049.5498,2269335.9038,-1475.7243,-2258.9965,7209.3446,4835419.5758,4096022.6848,2269438.8937,-1475.7063,-2258.9825,7209.3165,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,14.290497332143483,0.0161245154965971,-0.36062,2.33117555938008,12.717407156617327,,
0.5528,72.117,5.393,-13.23,68.188,5.207,-12.667,-0.033,-0.008,0.014,-0.033,-0.008,0.014,34.732,8.776,-3.623,-0.0,-0.0,0.0,0.0,0.0,-0.0,887.863,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.7679,0.5774,-0.2775,-0.6395,0.7167,-0.2783,0.0382,0.3912,0.9195,0.669,0.7326,-0.1252,-0.7377,0.634,-0.2321,-0.0907,0.2476,0.9646,0.0,0.0,-0.0,0.0,0.0,0.0,-0.018,-0.014,0.0281,23.9398,26.862,-102.984,0.0,0.0436,-0.3754,0.0,0.0,0.0,4835135.8727,4095578.7061,2270838.1132,-1477.0411,-2260.1119,7208.7263,4835111.933,4095551.8441,2270941.0972,-1477.0231,-2260.0979,7208.6983,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,14.286964303168116,0.0161245154965971,-0.36058500000000004,2.3391358411967977,12.71617286775237,,
0.7536,72.111,5.392,-13.227,68.181,5.206,-12.664,-0.033,-0.008,0.014,-0.033,-0.008,0.014,34.732,8.776,-3.623,-0.0,-0.0,0.0,0.0,0.0,-0.0,887.863,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.7679,0.5774,-0.2775,-0.6395,0.7167,-0.2783,0.0382,0.3912,0.9195,0.669,0.7326,-0.1252,-0.7377,0.634,-0.2321,-0.0907,0.2476,0.9646,0.0,0.0,-0.0,0.0,0.0,0.0,-0.018,-0.014,0.0281,23.9362,26.8592,-102.9784,0.0,0.0436,-0.3754,0.0,0.0,0.0,4834840.2476,4095126.4381,2272280.241,-1478.3054,-2261.1828,7208.1324,4834816.3114,4095099.5789,2272383.2194,-1478.2873,-2261.1687,7208.1043,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,14.283808770772591,0.0161245154965971,-0.360555,2.339859487421774,12.715114905868118,,
0.958,72.104,5.39,-13.224,68.174,5.204,-12.661,-0.033,-0.008,0.014,-0.033,-0.008,0.014,34.732,8.776,-3.623,-0.0,-0.0,0.0,0.0,0.0,-0.0,887.863,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.7679,0.5774,-0.2775,-0.6395,0.7167,-0.2783,0.0382,0.3912,0.9195,0.669,0.7326,-0.1252,-0.7377,0.634,-0.2321,-0.0907,0.2476,0.9646,0.0,0.0,-0.0,0.0,0.0,0.0,-0.018,-0.014,0.0281,23.9325,26.8564,-102.9727,0.0,0.0436,-0.3754,0.0,0.0,0.0,4834539.5792,4094666.6311,2273745.5848,-1479.5899,-2262.2708,7207.5284,4834515.6467,4094639.7747,2273848.5575,-1479.5719,-2262.2568,7207.5003,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,14.280275767645385,0.0161245154965971,-0.36052,2.3380776197541357,12.71388061700316,,
1.1616,72.097,5.389,-13.221,68.168,5.203,-12.658,-0.033,-0.008,0.014,-0.033,-0.008,0.014,34.732,8.776,-3.623,-0.0,-0.0,0.0,0.0,0.0,-0.0,887.863,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.7679,0.5774,-0.2775,-0.6395,0.7167,-0.2783,0.0382,0.3912,0.9195,0.669,0.7326,-0.1252,-0.7377,0.634,-0.2321,-0.0907,0.2476,0.9646,0.0,0.0,-0.0,0.0,0.0,0.0,-0.018,-0.014,0.0282,23.9288,26.8535,-102.9669,0.0,0.0436,-0.3754,0.0,0.0,0.0,4834236.1043,4094202.7121,2275223.194,-1480.8853,-2263.3679,7206.919,4834212.1755,4094175.8587,2275326.161,-1480.8673,-2263.3538,7206.8908,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,14.277120227833063,0.0161245154965971,-0.36048499999999994,2.3345911306710168,12.712646328138199,,
1.3628,72.091,5.387,-13.219,68.161,5.201,-12.656,-0.033,-0.008,0.014,-0.033,-0.008,0.014,34.732,8.776,-3.623,-0.0,-0.0,0.0,0.0,0.0,-0.0,887.863,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.7679,0.5774,-0.2775,-0.6395,0.7167,-0.2783,0.0382,0.3912,0.9195,0.669,0.7326,-0.1252,-0.7377,0.634,-0.2321,-0.0907,0.2476,0.9646,0.0,0.0,-0.0,0.0,0.0,0.0,-0.018,-0.0141,0.0282,23.9252,26.8507,-102.9613,0.0,0.0436,-0.3754,0.0,0.0,0.0,4833937.619,4093746.5978,2276675.1273,-1482.1582,-2264.4459,7206.3197,4833913.6938,4093719.7472,2276778.0886,-1482.1402,-2264.4318,7206.2915,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,14.27451330168563,0.0161245154965971,-0.36045499999999997,2.33545404970052,12.711588366253947,,
1.5689,72.084,5.385,-13.216,68.154,5.2,-12.653,-0.033,-0.008,0.014,-0.033,-0.008,0.014,34.732,8.776,-3.623,-0.0,-0.0,0.0,0.0,0.0,-0.0,887.863,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.7679,0.5774,-0.2775,-0.6395,0.7167,-0.2783,0.0382,0.3912,0.9195,0.669,0.7326,-0.1252,-0.7377,0.634,-0.2321,-0.0907,0.2476,0.9646,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0181,-0.0141,0.0282,23.9214,26.8478,-102.9555,0.0,0.0436,-0.3754,0.0,0.0,0.0,4833632.0873,4093279.8961,2278159.9215,-1483.4599,-2265.5483,7205.7064,4833608.1658,4093253.0483,2278262.877,-1483.4419,-2265.5342,7205.6782,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,14.270980379777697,0.0161245154965971,-0.36042,2.342861470721763,12.71035407738899,,
1.7712,72.077,5.384,-13.213,68.148,5.198,-12.65,-0.033,-0.008,0.014,-0.033,-0.008,0.014,34.732,8.776,-3.623,-0.0,-0.0,0.0,0.0,0.0,-0.0,887.863,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.7679,0.5774,-0.2775,-0.6395,0.7167,-0.2783,0.0382,0.3912,0.9195,0.669,0.7326,-0.1252,-0.7377,0.634,-0.2321,-0.0907,0.2476,0.9646,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0181,-0.0141,0.0282,23.9178,26.8449,-102.9497,0.0,0.0436,-0.3754,0.0,0.0,0.0,4833331.9086,4092821.5487,2279617.311,-1484.7377,-2266.6303,7205.104,4833307.9908,4092794.7038,2279720.2607,-1484.7196,-2266.6162,7205.0757,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,14.267824816698583,0.0161245154965971,-0.360385,2.3301838440734186,12.70911978852403,,
1.9781,72.07,5.382,-13.21,68.141,5.197,-12.647,-0.033,-0.008,0.014,-0.033,-0.008,0.014,34.732,8.776,-3.623,-0.0,-0.0,0.0,0.0,0.0,-0.0,887.863,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.7679,0.5774,-0.2775,-0.6395,0.7167,-0.2783,0.0382,0.3912,0.9195,0.669,0.7326,-0.1252,-0.7377,0.634,-0.2321,-0.0907,0.2476,0.9646,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0181,-0.0141,0.0283,23.9141,26.842,-102.9439,0.0,0.0436,-0.3754,0.0,0.0,0.0,4833025.9883,4092354.6158,2281101.1612,-1486.0386,-2267.7319,7204.4902,4833002.0743,4092327.7738,2281204.1051,-1486.0206,-2267.7178,7204.4619,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,14.2642919207369,0.0161245154965971,-0.36034999999999995,2.3375989004560758,12.707885499659069,,
