SimTime,COG Pos.x [m],COG Pos.y [m],COG Pos.z [m],Port Pos.x [m],Port Pos.y [m],Port Pos.z [m],COG Vel.x [m],COG Vel.y [m],COG Vel.z [m],Port Vel.x [m],Port Vel.y [m],Port Vel.z [m],Rot Angle.x [deg],Rot Angle.y [deg],Rot Angle.z [deg],Rot. Rate.x [deg/s],Rot. Rate.y [deg/s],Rot. Rate.z [deg/s],Rot. Rate.x [deg/s] (VLCS),Rot. Rate.y [deg/s] (VLCS),Rot. Rate.Z [deg/s] (VLCS),Tank mass [kg],THC.z,THC.y,THC.x,RHC.z,RHC.y,RHC.x,MFDLeft,MFDRight,MyROT.m11,MyROT.m12,MyROT.m13,MyROT.m21,MyROT.m22,MyROT.m23,MyROT.m31,MyROT.m32,MyROT.m33,TgtRot.m11,TgtRot.m12,TgtRot.m13,TgtRot.m21,TgtRot.m22,TgtRot.m23,TgtRot.m31,TgtRot.m32,TgtRot.m33,MyAngVel.x,MyAngVel.y,MyAngVel.z,TgtAngVel.x,TgtAngVel.y,TgtAngVel.z,RelPos.x,RelPos.y,RelPos.z,RelVel.x,RelVel.y,RelVel.z,MySs.x,MySs.y,MySs.z,TgtSs.x,TgtSs.y,TgtSs.z,MyLVPos.x,MyLVPos.y,MyLVPos.z,MyLVVel.x,MyLVVel.y,MyLVVel.z,TgtLVPos.x,TgtLVPos.y,TgtLVPos.z,TgtLVVel.x,TgtLVVel.y,TgtLVVel.z,MyDockPos.x,MyDockPos.y,MyDockPos.z,MyDockDir.x,MyDockDir.y,MyDockDir.z,MyDockRot.x,MyDockRot.y,MyDockRot.z,TgtDockPos.x,TgtDockPos.y,TgtDockPos.z,TgtDockDir.x,TgtDockDir.y,TgtDockDir.z,TgtDockRot.x,TgtDockRot.y,TgtDockRot.z,Lateral Offset,Lateral Velocity,Ideal Approach Vel,Angle to Port,Approach Cone,Max Rot Angle,Max Rot Velocity
0.1197,74.647,-1.755,1.674,70.681,-1.577,1.488,0.007,0.001,0.007,0.007,0.001,0.007,46.408,-1.888,1.817,-0.0,0.0,-0.0,-0.0,0.0,-0.0,869.782,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6699,0.2747,-0.6897,-0.7339,0.1041,-0.6713,-0.1126,0.9559,0.2714,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.009,-0.005,76.4901,74.4112,-31.5907,0.0,0.0435,-0.3711,0.0,0.0,0.0,2182862.9615,2716647.8029,-5767133.9741,5142.6449,4164.234,3914.2302,2182786.4715,2716573.3916,-5767102.3835,5142.6449,4164.225,3914.2352,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,2.4253455423918466,0.007071067811865475,-0.37323500000000004,2.0432044457250758,13.162280128944786,,
0.3322,74.648,-1.755,1.676,70.683,-1.577,1.489,0.007,0.001,0.007,0.007,0.001,0.007,46.408,-1.888,1.817,-0.0,0.0,-0.0,-0.0,0.0,-0.0,869.782,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6699,0.2747,-0.6897,-0.7339,0.1041,-0.6713,-0.1126,0.9559,0.2714,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.009,-0.0051,76.49,74.4132,-31.5918,0.0,0.0435,-0.3711,0.0,0.0,0.0,2183963.9361,2717539.2834,-5766295.7682,5142.0358,4163.4761,3915.8387,2183887.4461,2717464.8702,-5766264.1764,5142.0358,4163.4671,3915.8438,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,2.426726395785071,0.007071067811865475,-0.37323999999999996,2.0544263515490786,13.162456455925494,,
0.5422,74.65,-1.755,1.677,70.684,-1.576,1.491,0.007,0.001,0.007,0.007,0.001,0.007,46.408,-1.888,1.817,0.0,0.0,-0.0,-0.0,-0.0,0.0,869.782,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6699,0.2747,-0.6897,-0.7339,0.1041,-0.6713,-0.1126,0.9559,0.2714,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.009,-0.0051,76.4901,74.4151,-31.5928,0.0,0.0435,-0.3711,0.0,0.0,0.0,2185041.251,2718411.5514,-5765475.1452,5141.4395,4162.7342,3917.4126,2184964.761,2718337.1363,-5765443.5523,5141.4395,4162.7252,3917.4177,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,2.4274171458568876,0.007071067811865475,-0.37325,2.0515864257243726,13.162809109886911,,
0.7524,74.651,-1.755,1.679,70.686,-1.576,1.493,0.007,0.001,0.007,0.007,0.001,0.007,46.408,-1.888,1.817,0.0,0.0,-0.0,-0.0,-0.0,0.0,869.782,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6699,0.2747,-0.6897,-0.7339,0.1041,-0.6713,-0.1126,0.9559,0.2714,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.009,-0.0052,76.49,74.417,-31.5939,0.0,0.0435,-0.3711,0.0,0.0,0.0,2186124.1652,2719288.2982,-5764649.8285,5140.8398,4161.9881,3918.9947,2186047.6751,2719213.8813,-5764618.2346,5140.8397,4161.9791,3918.9998,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,2.4287992918312535,0.007071067811865475,-0.373255,2.0514149850570558,13.162985436867618,,
0.9649,74.653,-1.754,1.68,70.687,-1.576,1.494,0.007,0.001,0.007,0.007,0.001,0.007,46.408,-1.888,1.817,0.0,0.0,-0.0,-0.0,-0.0,0.0,869.782,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6699,0.2747,-0.6897,-0.7339,0.1041,-0.6713,-0.1126,0.9559,0.2714,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.009,-0.0052,76.49,74.4189,-31.595,0.0,0.0435,-0.3711,0.0,0.0,0.0,2187215.1295,2720171.5072,-5763817.9419,5140.2352,4161.2361,3920.5884,2187138.6395,2720097.0883,-5763786.3469,5140.2351,4161.2271,3920.5937,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,2.4287684121793087,0.007071067811865475,-0.373265,2.040375318848973,13.163338090829036,,
1.2319,74.654,-1.754,1.682,70.689,-1.575,1.495,0.007,0.001,0.007,0.007,0.001,0.007,46.408,-1.888,1.817,0.0,0.0,-0.0,-0.0,-0.0,0.0,869.782,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6699,0.2747,-0.6897,-0.7339,0.1041,-0.6713,-0.1126,0.9559,0.2714,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.009,-0.0053,76.4901,74.4206,-31.5961,0.0,0.0435,-0.3711,0.0,0.0,0.0,2188222.5461,2720987.0293,-5763049.3745,5139.6765,4160.5414,3922.0601,2188146.0561,2720912.6087,-5763017.7784,5139.6765,4160.5324,3922.0654,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,2.4301522586043864,0.007071067811865475,-0.37327,2.0615980103873848,13.163514417809743,,
1.4493,74.656,-1.754,1.684,70.691,-1.575,1.498,0.007,0.001,0.007,0.007,0.001,0.007,46.408,-1.888,1.817,0.0,0.0,-0.0,-0.0,-0.0,0.0,869.782,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6699,0.2747,-0.6897,-0.7339,0.1041,-0.6713,-0.1126,0.9559,0.2714,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.009,-0.0053,76.49,74.4232,-31.5976,0.0,0.0435,-0.3711,0.0,0.0,0.0,2189691.0179,2722175.6986,-5761928.3991,5138.8617,4159.5283,3924.2053,2189614.5279,2722101.2753,-5761896.8015,5138.8616,4159.5192,3924.2106,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,2.4315369624992336,0.007071067811865475,-0.37328000000000006,2.0491638557402125,13.163867071771163,,
1.6623,74.658,-1.753,1.685,70.692,-1.575,1.499,0.007,0.001,0.007,0.007,0.001,0.007,46.408,-1.888,1.817,0.0,0.0,-0.0,-0.0,-0.0,0.0,869.782,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6699,0.2747,-0.6897,-0.7339,0.1041,-0.6713,-0.1126,0.9559,0.2714,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0091,-0.0054,76.49,74.4252,-31.5987,0.0,0.0435,-0.3711,0.0,0.0,0.0,2190789.4807,2723064.7945,-5761089.3558,5138.2517,4158.77,3925.8099,2190712.9906,2722990.3693,-5761057.7571,5138.2517,4158.761,3925.8153,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,2.431508585220295,0.007071067811865475,-0.37329,2.038108382223368,13.164219725732579,,
1.8735,74.66,-1.753,1.687,70.694,-1.575,1.501,0.007,0.001,0.007,0.007,0.001,0.007,46.408,-1.888,1.817,0.0,0.0,-0.0,-0.0,-0.0,0.0,869.782,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6699,0.2747,-0.6897,-0.7339,0.1041,-0.6713,-0.1126,0.9559,0.2714,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0091,-0.0054,76.4901,74.4271,-31.5999,0.0,0.0435,-0.3711,0.0,0.0,0.0,2191872.6399,2723941.448,-5760261.5703,5137.6498,4158.022,3927.3921,2191796.1499,2723867.0209,-5760229.9705,5137.6498,4158.0129,3927.3975,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,2.4328949833480276,0.007071067811865475,-0.37329999999999997,2.0369981888666744,13.164572379693995,,
2.0907,74.661,-1.753,1.689,70.696,-1.574,1.502,0.007,0.001,0.008,0.007,0.001,0.008,46.408,-1.888,1.817,0.0,0.0,-0.0,-0.0,-0.0,0.0,869.782,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6699,0.2747,-0.6897,-0.7339,0.1041,-0.6713,-0.1126,0.9559,0.2714,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0091,-0.0055,76.49,74.429,-31.6011,0.0,0.0435,-0.3711,0.0,0.0,0.0,2192985.7655,2724842.2979,-5759410.4326,5137.0309,4157.2529,3929.018,2192909.2755,2724767.8688,-5759378.8315,5137.0309,4157.2439,3929.0235,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,2.434282235074643,0.00806225774829855,-0.373305,2.058225780494326,13.164748706674704,,
