SimTime,COG Pos.x [m],COG Pos.y [m],COG Pos.z [m],Port Pos.x [m],Port Pos.y [m],Port Pos.z [m],COG Vel.x [m],COG Vel.y [m],COG Vel.z [m],Port Vel.x [m],Port Vel.y [m],Port Vel.z [m],Rot Angle.x [deg],Rot Angle.y [deg],Rot Angle.z [deg],Rot. Rate.x [deg/s],Rot. Rate.y [deg/s],Rot. Rate.z [deg/s],Rot. Rate.x [deg/s] (VLCS),Rot. Rate.y [deg/s] (VLCS),Rot. Rate.Z [deg/s] (VLCS),Tank mass [kg],THC.z,THC.y,THC.x,RHC.z,RHC.y,RHC.x,MFDLeft,MFDRight,MyROT.m11,MyROT.m12,MyROT.m13,MyROT.m21,MyROT.m22,MyROT.m23,MyROT.m31,MyROT.m32,MyROT.m33,TgtRot.m11,TgtRot.m12,TgtRot.m13,TgtRot.m21,TgtRot.m22,TgtRot.m23,TgtRot.m31,TgtRot.m32,TgtRot.m33,MyAngVel.x,MyAngVel.y,MyAngVel.z,TgtAngVel.x,TgtAngVel.y,TgtAngVel.z,RelPos.x,RelPos.y,RelPos.z,RelVel.x,RelVel.y,RelVel.z,MySs.x,MySs.y,MySs.z,TgtSs.x,TgtSs.y,TgtSs.z,MyLVPos.x,MyLVPos.y,MyLVPos.z,MyLVVel.x,MyLVVel.y,MyLVVel.z,TgtLVPos.x,TgtLVPos.y,TgtLVPos.z,TgtLVVel.x,TgtLVVel.y,TgtLVVel.z,MyDockPos.x,MyDockPos.y,MyDockPos.z,MyDockDir.x,MyDockDir.y,MyDockDir.z,MyDockRot.x,MyDockRot.y,MyDockRot.z,TgtDockPos.x,TgtDockPos.y,TgtDockPos.z,TgtDockDir.x,TgtDockDir.y,TgtDockDir.z,TgtDockRot.x,TgtDockRot.y,TgtDockRot.z,Lateral Offset,Lateral Velocity,Ideal Approach Vel,Angle to Port,Approach Cone,Max Rot Angle,Max Rot Velocity
0.6328,76.721,14.103,14.815,72.901,13.455,13.931,0.012,0.006,-0.04,0.012,0.006,-0.04,50.224,-11.995,-10.346,0.0,-0.0,0.0,0.0,-0.0,0.0,880.819,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.9746,0.1444,-0.1714,-0.1635,-0.0653,-0.9844,-0.1534,0.9874,-0.0401,0.8989,0.0668,-0.433,-0.4282,-0.0752,-0.9005,-0.0927,0.9949,-0.039,0.0,-0.0,0.0,0.0,0.0,0.0,0.029,-0.002,0.03,30.3201,111.02,1.7301,0.0,0.0435,-0.3737,0.0,0.0,0.0,3890435.4388,2936017.4916,4640410.1373,-3600.4112,-3971.1652,5527.1942,3890405.1187,2935906.4716,4640408.4072,-3600.4402,-3971.1632,5527.1642,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,20.45431089037223,0.04044749683231337,-0.38360500000000003,2.691849201007601,13.527982286934142,,
0.835,76.731,14.107,14.781,72.911,13.46,13.898,0.012,0.006,-0.04,0.012,0.006,-0.04,50.224,-11.995,-10.346,0.0,-0.0,-0.0,-0.0,-0.0,0.0,880.819,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.9746,0.1444,-0.1714,-0.1635,-0.0653,-0.9844,-0.1534,0.9874,-0.0401,0.8989,0.0668,-0.433,-0.4282,-0.0752,-0.9005,-0.0927,0.9949,-0.039,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0291,-0.002,0.0302,30.3443,111.0183,1.7552,0.0,0.0435,-0.3737,0.0,0.0,0.0,3887435.8659,2932709.649,4645010.1366,-3604.646,-3974.3605,5522.1386,3887405.5216,2932598.6307,4645008.3814,-3604.6751,-3974.3585,5522.1084,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,20.43245971487525,0.04044749683231337,-0.38365499999999997,2.7054657949961203,13.529745556741226,,
1.0359,76.734,14.108,14.773,72.914,13.461,13.89,0.012,0.006,-0.04,0.012,0.006,-0.04,50.224,-11.995,-10.346,0.0,-0.0,-0.0,-0.0,-0.0,0.0,880.819,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.9746,0.1444,-0.1714,-0.1635,-0.0653,-0.9844,-0.1534,0.9874,-0.0401,0.8989,0.0668,-0.433,-0.4282,-0.0752,-0.9005,-0.0927,0.9949,-0.039,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0291,-0.002,0.0302,30.3502,111.0179,1.7612,0.0,0.0435,-0.3737,0.0,0.0,0.0,3886711.6098,2931911.1438,4646119.38,-3605.6673,-3975.131,5520.9181,3886681.2597,2931800.1259,4646117.6188,-3605.6964,-3975.1289,5520.8879,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,20.427363828942784,0.04044749683231337,-0.38366999999999996,2.7115812490120854,13.53027453768335,,
1.236,76.736,14.109,14.765,72.916,13.462,13.882,0.012,0.006,-0.04,0.012,0.006,-0.04,50.224,-11.995,-10.346,0.0,-0.0,-0.0,-0.0,-0.0,0.0,880.819,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.9746,0.1444,-0.1714,-0.1635,-0.0653,-0.9844,-0.1534,0.9874,-0.0401,0.8989,0.0668,-0.433,-0.4282,-0.0752,-0.9005,-0.0927,0.9949,-0.039,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0291,-0.002,0.0302,30.356,111.0175,1.7673,0.0,0.0435,-0.3737,0.0,0.0,0.0,3885989.7928,2931115.3992,4647224.3319,-3606.6846,-3975.8983,5519.7017,3885959.4369,2931004.3817,4647222.5646,-3606.7138,-3975.8963,5519.6714,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,20.422269854254694,0.04044749683231337,-0.38368,2.717588859910472,13.530627191644768,,
1.4381,76.739,14.111,14.757,72.919,13.463,13.874,0.012,0.006,-0.04,0.012,0.006,-0.04,50.224,-11.995,-10.346,0.0,-0.0,-0.0,-0.0,-0.0,0.0,880.819,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.9746,0.1444,-0.1714,-0.1635,-0.0653,-0.9844,-0.1534,0.9874,-0.0401,0.8989,0.0668,-0.433,-0.4282,-0.0752,-0.9005,-0.0927,0.9949,-0.039,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0292,-0.002,0.0303,30.3619,111.0171,1.7734,0.0,0.0435,-0.3737,0.0,0.0,0.0,3885260.6065,2930311.6025,4648340.0015,-3607.7119,-3976.6732,5518.4729,3885230.2446,2930200.5854,4648338.2281,-3607.741,-3976.6711,5518.4427,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,20.417868889773978,0.04044749683231337,-0.383695,2.7212461900810854,13.531156172586895,,
1.6403,76.741,14.112,14.749,72.921,13.464,13.866,0.012,0.006,-0.04,0.012,0.006,-0.04,50.224,-11.995,-10.346,0.0,-0.0,-0.0,-0.0,-0.0,0.0,880.819,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.9746,0.1444,-0.1714,-0.1635,-0.0653,-0.9844,-0.1534,0.9874,-0.0401,0.8989,0.0668,-0.433,-0.4282,-0.0752,-0.9005,-0.0927,0.9949,-0.039,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0292,-0.002,0.0303,30.3678,111.0167,1.7795,0.0,0.0435,-0.3737,0.0,0.0,0.0,3884531.3143,2929507.7614,4649455.2674,-3608.7388,-3977.4476,5517.2441,3884500.9465,2929396.7448,4649453.4879,-3608.768,-3977.4456,5517.2138,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,20.41277896318872,0.04044749683231337,-0.383705,2.7272554069848596,13.531508826548311,,
1.8423,76.743,14.113,14.741,72.923,13.465,13.858,0.012,0.006,-0.04,0.012,0.006,-0.04,50.224,-11.995,-10.346,0.0,-0.0,-0.0,-0.0,-0.0,0.0,880.819,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.9746,0.1444,-0.1714,-0.1635,-0.0653,-0.9844,-0.1534,0.9874,-0.0401,0.8989,0.0668,-0.433,-0.4282,-0.0752,-0.9005,-0.0927,0.9949,-0.039,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0292,-0.0021,0.0303,30.3737,111.0163,1.7856,0.0,0.0435,-0.3737,0.0,0.0,0.0,3883802.8478,2928704.902,4650568.7048,-3609.7641,-3978.2208,5516.0166,3883772.4741,2928593.8858,4650566.9192,-3609.7933,-3978.2187,5515.9863,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,20.407690952187608,0.04044749683231337,-0.383715,2.7332645567442713,13.531861480509727,,
2.0443,76.746,14.114,14.733,72.926,13.466,13.85,0.012,0.006,-0.04,0.012,0.006,-0.04,50.224,-11.995,-10.346,0.0,-0.0,-0.0,-0.0,-0.0,0.0,880.819,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.9746,0.1444,-0.1714,-0.1635,-0.0653,-0.9844,-0.1534,0.9874,-0.0401,0.8989,0.0668,-0.433,-0.4282,-0.0752,-0.9005,-0.0927,0.9949,-0.039,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0292,-0.0021,0.0304,30.3796,111.0158,1.7918,0.0,0.0435,-0.3737,0.0,0.0,0.0,3883072.8029,2927900.3754,4651683.9893,-3610.7911,-3978.9952,5514.7866,3883042.4233,2927789.3595,4651682.1975,-3610.8203,-3978.9932,5514.7562,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,20.40260485820377,0.04044749683231337,-0.38372999999999996,2.7393818238735093,13.532390461451852,,
2.2462,76.748,14.115,14.725,72.928,13.468,13.842,0.012,0.006,-0.04,0.012,0.006,-0.04,50.224,-11.995,-10.346,0.0,-0.0,-0.0,-0.0,-0.0,0.0,880.819,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.9746,0.1444,-0.1714,-0.1635,-0.0653,-0.9844,-0.1534,0.9874,-0.0401,0.8989,0.0668,-0.433,-0.4282,-0.0752,-0.9005,-0.0927,0.9949,-0.039,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0293,-0.0021,0.0304,30.3855,111.0154,1.7979,0.0,0.0435,-0.3737,0.0,0.0,0.0,3882343.7791,2927097.0468,4652797.1507,-3611.8162,-3979.7681,5513.5583,3882313.3936,2926986.0314,4652795.3528,-3611.8454,-3979.766,5513.5279,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,20.397520682671214,0.04044749683231337,-0.38374,2.7479604559007202,13.53274311541327,,
2.4483,76.751,14.116,14.717,72.931,13.469,13.834,0.012,0.006,-0.04,0.012,0.006,-0.04,50.224,-11.995,-10.346,0.0,-0.0,-0.0,-0.0,-0.0,0.0,880.819,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.9746,0.1444,-0.1714,-0.1635,-0.0653,-0.9844,-0.1534,0.9874,-0.0401,0.8989,0.0668,-0.433,-0.4282,-0.0752,-0.9005,-0.0927,0.9949,-0.039,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0293,-0.0021,0.0304,30.3914,111.015,1.8041,0.0,0.0435,-0.3737,0.0,0.0,0.0,3881613.6915,2926292.6174,4653911.3705,-3612.8423,-3980.5417,5512.3284,3881583.3001,2926181.6024,4653909.5665,-3612.8715,-3980.5396,5512.2979,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,20.392438427024857,0.04044749683231337,-0.383755,2.7540748039302945,13.533272096355397,,
