SimTime,COG Pos.x [m],COG Pos.y [m],COG Pos.z [m],Port Pos.x [m],Port Pos.y [m],Port Pos.z [m],COG Vel.x [m],COG Vel.y [m],COG Vel.z [m],Port Vel.x [m],Port Vel.y [m],Port Vel.z [m],Rot Angle.x [deg],Rot Angle.y [deg],Rot Angle.z [deg],Rot. Rate.x [deg/s],Rot. Rate.y [deg/s],Rot. Rate.z [deg/s],Rot. Rate.x [deg/s] (VLCS),Rot. Rate.y [deg/s] (VLCS),Rot. Rate.Z [deg/s] (VLCS),Tank mass [kg],THC.z,THC.y,THC.x,RHC.z,RHC.y,RHC.x,MFDLeft,MFDRight,MyROT.m11,MyROT.m12,MyROT.m13,MyROT.m21,MyROT.m22,MyROT.m23,MyROT.m31,MyROT.m32,MyROT.m33,TgtRot.m11,TgtRot.m12,TgtRot.m13,TgtRot.m21,TgtRot.m22,TgtRot.m23,TgtRot.m31,TgtRot.m32,TgtRot.m33,MyAngVel.x,MyAngVel.y,MyAngVel.z,TgtAngVel.x,TgtAngVel.y,TgtAngVel.z,RelPos.x,RelPos.y,RelPos.z,RelVel.x,RelVel.y,RelVel.z,MySs.x,MySs.y,MySs.z,TgtSs.x,TgtSs.y,TgtSs.z,MyLVPos.x,MyLVPos.y,MyLVPos.z,MyLVVel.x,MyLVVel.y,MyLVVel.z,TgtLVPos.x,TgtLVPos.y,TgtLVPos.z,TgtLVVel.x,TgtLVVel.y,TgtLVVel.z,MyDockPos.x,MyDockPos.y,MyDockPos.z,MyDockDir.x,MyDockDir.y,MyDockDir.z,MyDockRot.x,MyDockRot.y,MyDockRot.z,TgtDockPos.x,TgtDockPos.y,TgtDockPos.z,TgtDockDir.x,TgtDockDir.y,TgtDockDir.z,TgtDockRot.x,TgtDockRot.y,TgtDockRot.z,Lateral Offset,Lateral Velocity,Ideal Approach Vel,Angle to Port,Approach Cone,Max Rot Angle,Max Rot Velocity
0.6276,76.721,14.103,14.814,72.901,13.455,13.931,0.012,0.006,-0.04,0.012,0.006,-0.04,50.224,-11.995,-10.346,0.0,-0.0,0.0,0.0,-0.0,0.0,880.819,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.9746,0.1444,-0.1714,-0.1635,-0.0653,-0.9844,-0.1534,0.9874,-0.0401,0.8989,0.0668,-0.433,-0.4282,-0.0752,-0.9005,-0.0927,0.9949,-0.039,0.0,-0.0,0.0,0.0,0.0,0.0,0.029,-0.002,0.03,30.3201,111.02,1.7302,0.0,0.0435,-0.3737,0.0,0.0,0.0,3890434.8458,2936016.8208,4640411.0099,-3600.4121,-3971.1659,5527.1932,3890404.5257,2935905.8008,4640409.2798,-3600.4411,-3971.1639,5527.1632,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,20.45358660479868,0.04044749683231337,-0.38360500000000003,2.6779182707145495,13.527982286934142,,
0.8277,76.731,14.107,14.782,72.911,13.46,13.898,0.012,0.006,-0.04,0.012,0.006,-0.04,50.224,-11.995,-10.346,0.0,-0.0,-0.0,-0.0,-0.0,0.0,880.819,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.9746,0.1444,-0.1714,-0.1635,-0.0653,-0.9844,-0.1534,0.9874,-0.0401,0.8989,0.0668,-0.433,-0.4282,-0.0752,-0.9005,-0.0927,0.9949,-0.039,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0291,-0.002,0.0301,30.3441,111.0183,1.755,0.0,0.0435,-0.3737,0.0,0.0,0.0,3887461.4319,2932737.8207,4644970.9331,-3604.61,-3974.3333,5522.1817,3887431.0878,2932626.8024,4644969.1781,-3604.6391,-3974.3313,5522.1515,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,20.433183134303867,0.04044749683231337,-0.38365499999999997,2.71938800350277,13.529745556741226,,
1.0289,76.734,14.108,14.774,72.914,13.461,13.89,0.012,0.006,-0.04,0.012,0.006,-0.04,50.224,-11.995,-10.346,0.0,-0.0,-0.0,-0.0,-0.0,0.0,880.819,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.9746,0.1444,-0.1714,-0.1635,-0.0653,-0.9844,-0.1534,0.9874,-0.0401,0.8989,0.0668,-0.433,-0.4282,-0.0752,-0.9005,-0.0927,0.9949,-0.039,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0291,-0.002,0.0302,30.3499,111.0179,1.761,0.0,0.0435,-0.3737,0.0,0.0,0.0,3886737.1181,2931939.2499,4646080.2854,-3605.6313,-3975.1038,5520.961,3886706.7682,2931828.232,4646078.5243,-3605.6604,-3975.1018,5520.9308,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,20.42808703721423,0.04044749683231337,-0.38366999999999996,2.7255038185738925,13.53027453768335,,
1.2313,76.736,14.109,14.766,72.916,13.462,13.882,0.012,0.006,-0.04,0.012,0.006,-0.04,50.224,-11.995,-10.346,0.0,-0.0,-0.0,-0.0,-0.0,0.0,880.819,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.9746,0.1444,-0.1714,-0.1635,-0.0653,-0.9844,-0.1534,0.9874,-0.0401,0.8989,0.0668,-0.433,-0.4282,-0.0752,-0.9005,-0.0927,0.9949,-0.039,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0291,-0.002,0.0302,30.3558,111.0175,1.7671,0.0,0.0435,-0.3737,0.0,0.0,0.0,3886008.2357,2931135.714,4647196.07,-3606.6587,-3975.8788,5519.7327,3885977.8799,2931024.6965,4647194.3029,-3606.6878,-3975.8767,5519.7025,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,20.42299285119593,0.04044749683231337,-0.38368,2.7315116871194207,13.530627191644768,,
1.4324,76.739,14.111,14.758,72.918,13.463,13.874,0.012,0.006,-0.04,0.012,0.006,-0.04,50.224,-11.995,-10.346,0.0,-0.0,-0.0,-0.0,-0.0,0.0,880.819,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.9746,0.1444,-0.1714,-0.1635,-0.0653,-0.9844,-0.1534,0.9874,-0.0401,0.8989,0.0668,-0.433,-0.4282,-0.0752,-0.9005,-0.0927,0.9949,-0.039,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0292,-0.002,0.0303,30.3617,111.0171,1.7732,0.0,0.0435,-0.3737,0.0,0.0,0.0,3885281.9539,2930335.1165,4648307.3101,-3607.6818,-3976.6505,5518.5089,3885251.5921,2930224.0994,4648305.5369,-3607.711,-3976.6484,5518.4786,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,20.4185916507481,0.04044749683231337,-0.383695,2.732257623865767,13.531156172586895,,
1.6335,76.741,14.112,14.75,72.921,13.464,13.866,0.012,0.006,-0.04,0.012,0.006,-0.04,50.224,-11.995,-10.346,0.0,-0.0,-0.0,-0.0,-0.0,0.0,880.819,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.9746,0.1444,-0.1714,-0.1635,-0.0653,-0.9844,-0.1534,0.9874,-0.0401,0.8989,0.0668,-0.433,-0.4282,-0.0752,-0.9005,-0.0927,0.9949,-0.039,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0292,-0.002,0.0303,30.3676,111.0167,1.7793,0.0,0.0435,-0.3737,0.0,0.0,0.0,3884556.6307,2929535.6477,4649416.5236,-3608.7032,-3977.4208,5517.2867,3884526.2632,2929424.631,4649414.7443,-3608.7324,-3977.4187,5517.2564,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,20.41350151247943,0.04044749683231337,-0.383705,2.741188133769364,13.531508826548311,,
1.8347,76.743,14.113,14.741,72.923,13.465,13.858,0.012,0.006,-0.04,0.012,0.006,-0.04,50.224,-11.995,-10.346,0.0,-0.0,-0.0,-0.0,-0.0,0.0,880.819,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.9746,0.1444,-0.1714,-0.1635,-0.0653,-0.9844,-0.1534,0.9874,-0.0401,0.8989,0.0668,-0.433,-0.4282,-0.0752,-0.9005,-0.0927,0.9949,-0.039,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0292,-0.0021,0.0303,30.3735,111.0163,1.7854,0.0,0.0435,-0.3737,0.0,0.0,0.0,3883830.2354,2928735.0689,4650526.817,-3609.7255,-3978.1918,5516.0627,3883799.8619,2928624.0526,4650525.0316,-3609.7548,-3978.1897,5516.0324,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,20.407690952187608,0.04044749683231337,-0.383715,2.7332645567442713,13.531861480509727,,
2.0363,76.746,14.114,14.733,72.926,13.466,13.85,0.012,0.006,-0.04,0.012,0.006,-0.04,50.224,-11.995,-10.346,0.0,-0.0,-0.0,-0.0,-0.0,0.0,880.819,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.9746,0.1444,-0.1714,-0.1635,-0.0653,-0.9844,-0.1534,0.9874,-0.0401,0.8989,0.0668,-0.433,-0.4282,-0.0752,-0.9005,-0.0927,0.9949,-0.039,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0292,-0.0021,0.0304,30.3794,111.0159,1.7915,0.0,0.0435,-0.3737,0.0,0.0,0.0,3883102.5372,2927933.1255,4651638.5384,-3610.7493,-3978.9637,5514.8367,3883072.1578,2927822.1096,4651636.7469,-3610.7785,-3978.9616,5514.8063,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,20.40260485820377,0.04044749683231337,-0.38372999999999996,2.7393818238735093,13.532390461451852,,
2.2376,76.748,14.115,14.725,72.928,13.467,13.842,0.012,0.006,-0.04,0.012,0.006,-0.04,50.224,-11.995,-10.346,0.0,-0.0,-0.0,-0.0,-0.0,0.0,880.819,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.9746,0.1444,-0.1714,-0.1635,-0.0653,-0.9844,-0.1534,0.9874,-0.0401,0.8989,0.0668,-0.433,-0.4282,-0.0752,-0.9005,-0.0927,0.9949,-0.039,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0293,-0.0021,0.0304,30.3853,111.0154,1.7976,0.0,0.0435,-0.3737,0.0,0.0,0.0,3882375.5385,2927132.0253,4652748.6315,-3611.7715,-3979.7345,5513.6118,3882345.1532,2927021.0098,4652746.8339,-3611.8008,-3979.7324,5513.5814,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,20.397520682671214,0.04044749683231337,-0.38374,2.745390780202948,13.53274311541327,,
2.439,76.751,14.116,14.717,72.931,13.469,13.834,0.012,0.006,-0.04,0.012,0.006,-0.04,50.224,-11.995,-10.346,0.0,-0.0,-0.0,-0.0,-0.0,0.0,880.819,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.9746,0.1444,-0.1714,-0.1635,-0.0653,-0.9844,-0.1534,0.9874,-0.0401,0.8989,0.0668,-0.433,-0.4282,-0.0752,-0.9005,-0.0927,0.9949,-0.039,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0293,-0.0021,0.0304,30.3911,111.015,1.8038,0.0,0.0435,-0.3737,0.0,0.0,0.0,3881648.1578,2926330.5751,4653858.7451,-3612.7938,-3980.5052,5512.3864,3881617.7666,2926219.56,4653856.9414,-3612.8231,-3980.5031,5512.356,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,20.392438427024857,0.04044749683231337,-0.383755,2.7540748039302945,13.533272096355397,,
