SimTime,COG Pos.x [m],COG Pos.y [m],COG Pos.z [m],Port Pos.x [m],Port Pos.y [m],Port Pos.z [m],COG Vel.x [m],COG Vel.y [m],COG Vel.z [m],Port Vel.x [m],Port Vel.y [m],Port Vel.z [m],Rot Angle.x [deg],Rot Angle.y [deg],Rot Angle.z [deg],Rot. Rate.x [deg/s],Rot. Rate.y [deg/s],Rot. Rate.z [deg/s],Rot. Rate.x [deg/s] (VLCS),Rot. Rate.y [deg/s] (VLCS),Rot. Rate.Z [deg/s] (VLCS),Tank mass [kg],THC.z,THC.y,THC.x,RHC.z,RHC.y,RHC.x,MFDLeft,MFDRight,MyROT.m11,MyROT.m12,MyROT.m13,MyROT.m21,MyROT.m22,MyROT.m23,MyROT.m31,MyROT.m32,MyROT.m33,TgtRot.m11,TgtRot.m12,TgtRot.m13,TgtRot.m21,TgtRot.m22,TgtRot.m23,TgtRot.m31,TgtRot.m32,TgtRot.m33,MyAngVel.x,MyAngVel.y,MyAngVel.z,TgtAngVel.x,TgtAngVel.y,TgtAngVel.z,RelPos.x,RelPos.y,RelPos.z,RelVel.x,RelVel.y,RelVel.z,MySs.x,MySs.y,MySs.z,TgtSs.x,TgtSs.y,TgtSs.z,MyLVPos.x,MyLVPos.y,MyLVPos.z,MyLVVel.x,MyLVVel.y,MyLVVel.z,TgtLVPos.x,TgtLVPos.y,TgtLVPos.z,TgtLVVel.x,TgtLVVel.y,TgtLVVel.z,MyDockPos.x,MyDockPos.y,MyDockPos.z,MyDockDir.x,MyDockDir.y,MyDockDir.z,MyDockRot.x,MyDockRot.y,MyDockRot.z,TgtDockPos.x,TgtDockPos.y,TgtDockPos.z,TgtDockDir.x,TgtDockDir.y,TgtDockDir.z,TgtDockRot.x,TgtDockRot.y,TgtDockRot.z,Lateral Offset,Lateral Velocity,Ideal Approach Vel,Angle to Port,Approach Cone,Max Rot Angle,Max Rot Velocity
0.5798,76.721,14.103,14.815,72.901,13.455,13.931,0.012,0.006,-0.04,0.012,0.006,-0.04,50.224,-11.995,-10.346,0.0,-0.0,0.0,0.0,-0.0,0.0,880.819,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.9746,0.1444,-0.1714,-0.1635,-0.0653,-0.9844,-0.1534,0.9874,-0.0401,0.8989,0.0668,-0.433,-0.4282,-0.0752,-0.9005,-0.0927,0.9949,-0.039,0.0,-0.0,0.0,0.0,0.0,0.0,0.029,-0.002,0.03,30.3201,111.02,1.7301,0.0,0.0435,-0.3737,0.0,0.0,0.0,3890430.1974,2936018.554,4640433.6472,-3600.4099,-3971.1642,5527.1958,3890399.8773,2935907.534,4640431.9171,-3600.4389,-3971.1622,5527.1658,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,20.45431089037223,0.04044749683231337,-0.38360500000000003,2.691849201007601,13.527982286934142,,
0.7813,76.731,14.107,14.784,72.911,13.459,13.9,0.012,0.006,-0.04,0.012,0.006,-0.04,50.224,-11.995,-10.346,0.0,-0.0,-0.0,-0.0,-0.0,0.0,880.819,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.9746,0.1444,-0.1714,-0.1635,-0.0653,-0.9844,-0.1534,0.9874,-0.0401,0.8989,0.0668,-0.433,-0.4282,-0.0752,-0.9005,-0.0927,0.9949,-0.039,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0291,-0.002,0.0301,30.3428,111.0184,1.7536,0.0,0.0435,-0.3737,0.0,0.0,0.0,3887622.2051,2932921.9438,4644740.138,-3604.3744,-3974.1556,5522.4631,3887591.8623,2932810.9253,4644738.3844,-3604.4035,-3974.1536,5522.433,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,20.434630043140004,0.04044749683231337,-0.38365499999999997,2.715397442736988,13.529745556741226,,
0.9825,76.733,14.108,14.776,72.913,13.46,13.892,0.012,0.006,-0.04,0.012,0.006,-0.04,50.224,-11.995,-10.346,0.0,-0.0,-0.0,-0.0,-0.0,0.0,880.819,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.9746,0.1444,-0.1714,-0.1635,-0.0653,-0.9844,-0.1534,0.9874,-0.0401,0.8989,0.0668,-0.433,-0.4282,-0.0752,-0.9005,-0.0927,0.9949,-0.039,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0291,-0.002,0.0302,30.3486,111.018,1.7596,0.0,0.0435,-0.3737,0.0,0.0,0.0,3886900.9964,2932126.7791,4645844.8632,-3605.3915,-3974.9229,5521.2477,3886870.6478,2932015.7611,4645843.1036,-3605.4206,-3974.9209,5521.2175,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,20.429533523798337,0.04044749683231337,-0.38366500000000003,2.721407264513525,13.530098210702644,,
1.1831,76.736,14.109,14.768,72.915,13.462,13.884,0.012,0.006,-0.04,0.012,0.006,-0.04,50.224,-11.995,-10.346,0.0,-0.0,-0.0,-0.0,-0.0,0.0,880.819,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.9746,0.1444,-0.1714,-0.1635,-0.0653,-0.9844,-0.1534,0.9874,-0.0401,0.8989,0.0668,-0.433,-0.4282,-0.0752,-0.9005,-0.0927,0.9949,-0.039,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0291,-0.002,0.0302,30.3544,111.0176,1.7657,0.0,0.0435,-0.3737,0.0,0.0,0.0,3886176.6449,2931328.2215,4646953.8454,-3606.4125,-3975.6931,5520.027,3886146.2904,2931217.2039,4646952.0797,-3606.4417,-3975.6911,5519.9968,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,20.42443891518198,0.04044749683231337,-0.38368,2.727187562372723,13.530627191644768,,
1.3853,76.738,14.11,14.759,72.918,13.463,13.876,0.012,0.006,-0.04,0.012,0.006,-0.04,50.224,-11.995,-10.346,0.0,-0.0,-0.0,-0.0,-0.0,0.0,880.819,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.9746,0.1444,-0.1714,-0.1635,-0.0653,-0.9844,-0.1534,0.9874,-0.0401,0.8989,0.0668,-0.433,-0.4282,-0.0752,-0.9005,-0.0927,0.9949,-0.039,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0292,-0.002,0.0302,30.3604,111.0172,1.7718,0.0,0.0435,-0.3737,0.0,0.0,0.0,3885446.3382,2930523.1706,4648071.3787,-3607.4415,-3976.4692,5518.7964,3885415.9778,2930412.1534,4648069.6069,-3607.4706,-3976.4672,5518.7661,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,20.418623386506738,0.04044749683231337,-0.38369,2.7221783650134683,13.530979845606184,,
1.5877,76.74,14.111,14.751,72.92,13.464,13.868,0.012,0.006,-0.04,0.012,0.006,-0.04,50.224,-11.995,-10.346,0.0,-0.0,-0.0,-0.0,-0.0,0.0,880.819,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.9746,0.1444,-0.1714,-0.1635,-0.0653,-0.9844,-0.1534,0.9874,-0.0401,0.8989,0.0668,-0.433,-0.4282,-0.0752,-0.9005,-0.0927,0.9949,-0.039,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0292,-0.002,0.0303,30.3662,111.0168,1.7779,0.0,0.0435,-0.3737,0.0,0.0,0.0,3884719.5633,2929722.0847,4649182.9433,-3608.465,-3977.2411,5517.5717,3884689.1971,2929611.0679,4649181.1654,-3608.4942,-3977.2391,5517.5414,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,20.413532815267423,0.04044749683231337,-0.3837,2.728185818545746,13.5313324995676,,
1.7884,76.743,14.113,14.743,72.923,13.465,13.86,0.012,0.006,-0.04,0.012,0.006,-0.04,50.224,-11.995,-10.346,0.0,-0.0,-0.0,-0.0,-0.0,0.0,880.819,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.9746,0.1444,-0.1714,-0.1635,-0.0653,-0.9844,-0.1534,0.9874,-0.0401,0.8989,0.0668,-0.433,-0.4282,-0.0752,-0.9005,-0.0927,0.9949,-0.039,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0292,-0.0021,0.0303,30.3721,111.0164,1.784,0.0,0.0435,-0.3737,0.0,0.0,0.0,3883991.4416,2928919.5866,4650296.0057,-3609.4899,-3978.0141,5516.3449,3883961.0695,2928808.5703,4650294.2217,-3609.5191,-3978.012,5516.3145,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,20.409135650487503,0.04044749683231337,-0.383715,2.7318454517342956,13.531861480509727,,
1.9902,76.745,14.114,14.735,72.925,13.466,13.852,0.012,0.006,-0.04,0.012,0.006,-0.04,50.224,-11.995,-10.346,0.0,-0.0,-0.0,-0.0,-0.0,0.0,880.819,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.9746,0.1444,-0.1714,-0.1635,-0.0653,-0.9844,-0.1534,0.9874,-0.0401,0.8989,0.0668,-0.433,-0.4282,-0.0752,-0.9005,-0.0927,0.9949,-0.039,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0292,-0.0021,0.0304,30.378,111.016,1.7901,0.0,0.0435,-0.3737,0.0,0.0,0.0,3883263.2413,2928117.0734,4651408.6238,-3610.5144,-3978.7866,5515.1179,3883232.8633,2928006.0575,4651406.8337,-3610.5436,-3978.7846,5515.0876,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,20.40404913246388,0.04044749683231337,-0.38372500000000004,2.737854497169531,13.532214134471145,,
2.1919,76.748,14.115,14.727,72.928,13.467,13.844,0.012,0.006,-0.04,0.012,0.006,-0.04,50.224,-11.995,-10.346,0.0,-0.0,-0.0,-0.0,-0.0,0.0,880.819,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.9746,0.1444,-0.1714,-0.1635,-0.0653,-0.9844,-0.1534,0.9874,-0.0401,0.8989,0.0668,-0.433,-0.4282,-0.0752,-0.9005,-0.0927,0.9949,-0.039,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0292,-0.0021,0.0304,30.3839,111.0155,1.7963,0.0,0.0435,-0.3737,0.0,0.0,0.0,3882534.7884,2927314.3538,4652521.0643,-3611.5388,-3979.559,5513.8906,3882504.4045,2927203.3382,4652519.2681,-3611.5681,-3979.557,5513.8602,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,20.398964532544294,0.04044749683231337,-0.38374,2.743971609063067,13.53274311541327,,
2.3924,76.75,14.116,14.719,72.93,13.468,13.836,0.012,0.006,-0.04,0.012,0.006,-0.04,50.224,-11.995,-10.346,0.0,-0.0,-0.0,-0.0,-0.0,0.0,880.819,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.9746,0.1444,-0.1714,-0.1635,-0.0653,-0.9844,-0.1534,0.9874,-0.0401,0.8989,0.0668,-0.433,-0.4282,-0.0752,-0.9005,-0.0927,0.9949,-0.039,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0293,-0.0021,0.0304,30.3898,111.0151,1.8024,0.0,0.0435,-0.3737,0.0,0.0,0.0,3881810.7719,2926516.5941,4653626.1724,-3612.5565,-3980.3263,5512.6708,3881780.3821,2926405.5789,4653624.3701,-3612.5858,-3980.3242,5512.6404,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,20.393881852163407,0.04044749683231337,-0.38375,2.7499804605458076,13.533095769374686,,
