SimTime,COG Pos.x [m],COG Pos.y [m],COG Pos.z [m],Port Pos.x [m],Port Pos.y [m],Port Pos.z [m],COG Vel.x [m],COG Vel.y [m],COG Vel.z [m],Port Vel.x [m],Port Vel.y [m],Port Vel.z [m],Rot Angle.x [deg],Rot Angle.y [deg],Rot Angle.z [deg],Rot. Rate.x [deg/s],Rot. Rate.y [deg/s],Rot. Rate.z [deg/s],Rot. Rate.x [deg/s] (VLCS),Rot. Rate.y [deg/s] (VLCS),Rot. Rate.Z [deg/s] (VLCS),Tank mass [kg],THC.z,THC.y,THC.x,RHC.z,RHC.y,RHC.x,MFDLeft,MFDRight,MyROT.m11,MyROT.m12,MyROT.m13,MyROT.m21,MyROT.m22,MyROT.m23,MyROT.m31,MyROT.m32,MyROT.m33,TgtRot.m11,TgtRot.m12,TgtRot.m13,TgtRot.m21,TgtRot.m22,TgtRot.m23,TgtRot.m31,TgtRot.m32,TgtRot.m33,MyAngVel.x,MyAngVel.y,MyAngVel.z,TgtAngVel.x,TgtAngVel.y,TgtAngVel.z,RelPos.x,RelPos.y,RelPos.z,RelVel.x,RelVel.y,RelVel.z,MySs.x,MySs.y,MySs.z,TgtSs.x,TgtSs.y,TgtSs.z,MyLVPos.x,MyLVPos.y,MyLVPos.z,MyLVVel.x,MyLVVel.y,MyLVVel.z,TgtLVPos.x,TgtLVPos.y,TgtLVPos.z,TgtLVVel.x,TgtLVVel.y,TgtLVVel.z,MyDockPos.x,MyDockPos.y,MyDockPos.z,MyDockDir.x,MyDockDir.y,MyDockDir.z,MyDockRot.x,MyDockRot.y,MyDockRot.z,TgtDockPos.x,TgtDockPos.y,TgtDockPos.z,TgtDockDir.x,TgtDockDir.y,TgtDockDir.z,TgtDockRot.x,TgtDockRot.y,TgtDockRot.z,Lateral Offset,Lateral Velocity,Ideal Approach Vel,Angle to Port,Approach Cone,Max Rot Angle,Max Rot Velocity
0.6014,76.721,14.103,14.815,72.901,13.455,13.931,0.012,0.006,-0.04,0.012,0.006,-0.04,50.224,-11.995,-10.346,0.0,-0.0,0.0,0.0,-0.0,0.0,880.819,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.9746,0.1444,-0.1714,-0.1635,-0.0653,-0.9844,-0.1534,0.9874,-0.0401,0.8989,0.0668,-0.433,-0.4282,-0.0752,-0.9005,-0.0927,0.9949,-0.039,0.0,-0.0,0.0,0.0,0.0,0.0,0.029,-0.002,0.03,30.3201,111.02,1.7301,0.0,0.0435,-0.3737,0.0,0.0,0.0,3890438.2287,2936018.3898,4640400.9308,-3600.4101,-3971.1644,5527.1956,3890407.9086,2935907.3698,4640399.2007,-3600.4391,-3971.1624,5527.1656,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,20.45431089037223,0.04044749683231337,-0.38360500000000003,2.691849201007601,13.527982286934142,,
0.803,76.731,14.107,14.783,72.911,13.459,13.899,0.012,0.006,-0.04,0.012,0.006,-0.04,50.224,-11.995,-10.346,0.0,-0.0,-0.0,-0.0,-0.0,0.0,880.819,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.9746,0.1444,-0.1714,-0.1635,-0.0653,-0.9844,-0.1534,0.9874,-0.0401,0.8989,0.0668,-0.433,-0.4282,-0.0752,-0.9005,-0.0927,0.9949,-0.039,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0291,-0.002,0.0301,30.3434,111.0184,1.7542,0.0,0.0435,-0.3737,0.0,0.0,0.0,3887555.6782,2932839.573,4644821.6535,-3604.4798,-3974.2352,5522.3372,3887525.3348,2932728.5546,4644819.8993,-3604.5089,-3974.2331,5522.307,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,20.43390657705961,0.04044749683231337,-0.38365499999999997,2.7161069969584344,13.529745556741226,,
1.0031,76.733,14.108,14.775,72.913,13.461,13.891,0.012,0.006,-0.04,0.012,0.006,-0.04,50.224,-11.995,-10.346,0.0,-0.0,-0.0,-0.0,-0.0,0.0,880.819,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.9746,0.1444,-0.1714,-0.1635,-0.0653,-0.9844,-0.1534,0.9874,-0.0401,0.8989,0.0668,-0.433,-0.4282,-0.0752,-0.9005,-0.0927,0.9949,-0.039,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0291,-0.002,0.0302,30.3492,111.018,1.7602,0.0,0.0435,-0.3737,0.0,0.0,0.0,3886834.5934,2932044.5528,4645926.1322,-3605.4967,-3975.0023,5521.122,3886804.2441,2931933.5349,4645924.372,-3605.5258,-3975.0002,5521.0918,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,20.428810268833573,0.04044749683231337,-0.38366500000000003,2.724686927422466,13.530098210702644,,
1.2057,76.736,14.109,14.767,72.916,13.462,13.883,0.012,0.006,-0.04,0.012,0.006,-0.04,50.224,-11.995,-10.346,0.0,-0.0,-0.0,-0.0,-0.0,0.0,880.819,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.9746,0.1444,-0.1714,-0.1635,-0.0653,-0.9844,-0.1534,0.9874,-0.0401,0.8989,0.0668,-0.433,-0.4282,-0.0752,-0.9005,-0.0927,0.9949,-0.039,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0291,-0.002,0.0302,30.3551,111.0176,1.7663,0.0,0.0435,-0.3737,0.0,0.0,0.0,3886104.3704,2931239.5296,4647044.0426,-3606.526,-3975.7787,5519.8914,3886074.0153,2931128.512,4647042.2762,-3606.5551,-3975.7766,5519.8612,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,20.42371587150585,0.04044749683231337,-0.38368,2.7308026105340124,13.530627191644768,,
1.406,76.738,14.11,14.759,72.918,13.463,13.875,0.012,0.006,-0.04,0.012,0.006,-0.04,50.224,-11.995,-10.346,0.0,-0.0,-0.0,-0.0,-0.0,0.0,880.819,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.9746,0.1444,-0.1714,-0.1635,-0.0653,-0.9844,-0.1534,0.9874,-0.0401,0.8989,0.0668,-0.433,-0.4282,-0.0752,-0.9005,-0.0927,0.9949,-0.039,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0292,-0.002,0.0303,30.361,111.0172,1.7724,0.0,0.0435,-0.3737,0.0,0.0,0.0,3885379.4654,2930440.441,4648153.2505,-3607.5473,-3976.549,5518.6699,3885349.1044,2930329.4238,4648151.4781,-3607.5764,-3976.547,5518.6396,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,20.418623386506738,0.04044749683231337,-0.38369,2.736810399449111,13.530979845606184,,
1.6066,76.741,14.112,14.751,72.921,13.464,13.867,0.012,0.006,-0.04,0.012,0.006,-0.04,50.224,-11.995,-10.346,0.0,-0.0,-0.0,-0.0,-0.0,0.0,880.819,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.9746,0.1444,-0.1714,-0.1635,-0.0653,-0.9844,-0.1534,0.9874,-0.0401,0.8989,0.0668,-0.433,-0.4282,-0.0752,-0.9005,-0.0927,0.9949,-0.039,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0292,-0.002,0.0303,30.3668,111.0167,1.7785,0.0,0.0435,-0.3737,0.0,0.0,0.0,3884655.9421,2929642.9464,4649259.7853,-3608.5661,-3977.3174,5517.4507,3884625.5753,2929531.9296,4649258.0068,-3608.5953,-3977.3154,5517.4204,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,20.41422408518139,0.04044749683231337,-0.383705,2.7404785324413874,13.531508826548311,,
1.8078,76.743,14.113,14.743,72.923,13.465,13.859,0.012,0.006,-0.04,0.012,0.006,-0.04,50.224,-11.995,-10.346,0.0,-0.0,-0.0,-0.0,-0.0,0.0,880.819,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.9746,0.1444,-0.1714,-0.1635,-0.0653,-0.9844,-0.1534,0.9874,-0.0401,0.8989,0.0668,-0.433,-0.4282,-0.0752,-0.9005,-0.0927,0.9949,-0.039,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0292,-0.0021,0.0303,30.3727,111.0163,1.7846,0.0,0.0435,-0.3737,0.0,0.0,0.0,3883929.3894,2928842.1845,4650370.3942,-3609.5888,-3978.0886,5516.2265,3883899.0167,2928731.1682,4650368.6096,-3609.618,-3978.0866,5516.1962,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,20.409135650487503,0.04044749683231337,-0.383715,2.746487887050268,13.531861480509727,,
2.0092,76.745,14.114,14.735,72.925,13.466,13.851,0.012,0.006,-0.04,0.012,0.006,-0.04,50.224,-11.995,-10.346,0.0,-0.0,-0.0,-0.0,-0.0,0.0,880.819,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.9746,0.1444,-0.1714,-0.1635,-0.0653,-0.9844,-0.1534,0.9874,-0.0401,0.8989,0.0668,-0.433,-0.4282,-0.0752,-0.9005,-0.0927,0.9949,-0.039,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0292,-0.0021,0.0304,30.3786,111.0159,1.7907,0.0,0.0435,-0.3737,0.0,0.0,0.0,3883202.3737,2928040.9835,4651481.148,-3610.6116,-3978.8599,5515.0016,3883171.9951,2927929.9676,4651479.3573,-3610.6409,-3978.8579,5514.9712,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,20.40404913246388,0.04044749683231337,-0.38372500000000004,2.75249717301721,13.532214134471145,,
2.2106,76.748,14.115,14.726,72.928,13.467,13.843,0.012,0.006,-0.04,0.012,0.006,-0.04,50.224,-11.995,-10.346,0.0,-0.0,-0.0,-0.0,-0.0,0.0,880.819,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.9746,0.1444,-0.1714,-0.1635,-0.0653,-0.9844,-0.1534,0.9874,-0.0401,0.8989,0.0668,-0.433,-0.4282,-0.0752,-0.9005,-0.0927,0.9949,-0.039,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0293,-0.0021,0.0304,30.3845,111.0155,1.7968,0.0,0.0435,-0.3737,0.0,0.0,0.0,3882475.109,2927239.5803,4652591.722,-3611.6343,-3979.631,5513.7763,3882444.7245,2927128.5648,4652589.9252,-3611.6636,-3979.629,5513.7459,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,20.39824259587085,0.04044749683231337,-0.38374,2.7446811914449247,13.53274311541327,,
2.4121,76.75,14.116,14.718,72.93,13.468,13.835,0.012,0.006,-0.04,0.012,0.006,-0.04,50.224,-11.995,-10.346,0.0,-0.0,-0.0,-0.0,-0.0,0.0,880.819,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.9746,0.1444,-0.1714,-0.1635,-0.0653,-0.9844,-0.1534,0.9874,-0.0401,0.8989,0.0668,-0.433,-0.4282,-0.0752,-0.9005,-0.0927,0.9949,-0.039,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0293,-0.0021,0.0304,30.3903,111.0151,1.803,0.0,0.0435,-0.3737,0.0,0.0,0.0,3881747.3595,2926437.7142,4653702.4739,-3612.6572,-3980.4022,5512.5502,3881716.9692,2926326.6991,4653700.671,-3612.6865,-3980.4001,5512.5198,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,20.393160127846787,0.04044749683231337,-0.38375,2.75069006115944,13.533095769374686,,
2.6133,76.753,14.117,14.71,72.933,13.47,13.827,0.012,0.006,-0.04,0.012,0.006,-0.04,50.224,-11.995,-10.346,0.0,-0.0,-0.0,-0.0,-0.0,0.0,880.819,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.9746,0.1444,-0.1714,-0.1635,-0.0653,-0.9844,-0.1534,0.9874,-0.0401,0.8989,0.0668,-0.433,-0.4282,-0.0752,-0.9005,-0.0927,0.9949,-0.039,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0293,-0.0021,0.0305,30.3962,111.0147,1.8091,0.0,0.0435,-0.3737,0.0,0.0,0.0,3881020.3971,2925636.7873,4654811.4649,-3613.6785,-3981.1722,5511.3255,3880990.0009,2925525.7727,4654809.6558,-3613.7078,-3981.1701,5511.2951,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,20.38807958097084,0.04044749683231337,-0.383765,2.7593726121864046,13.533624750316813,,
2.8141,76.755,14.118,14.702,72.935,13.471,13.819,0.012,0.006,-0.04,0.012,0.006,-0.04,50.224,-11.995,-10.346,0.0,-0.0,-0.0,-0.0,-0.0,0.0,880.819,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.9746,0.1444,-0.1714,-0.1635,-0.0653,-0.9844,-0.1534,0.9874,-0.0401,0.8989,0.0668,-0.433,-0.4282,-0.0752,-0.9005,-0.0927,0.9949,-0.039,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0293,-0.0021,0.0305,30.4021,111.0142,1.8152,0.0,0.0435,-0.3737,0.0,0.0,0.0,3880294.6046,2924837.2204,4655918.1123,-3614.6977,-3981.9404,5510.1029,3880264.2025,2924726.2061,4655916.2971,-3614.7271,-3981.9383,5510.0724,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,20.383000956679563,0.04044749683231337,-0.383775,2.765379449285467,13.533977404278229,,
3.016,76.757,14.12,14.694,72.937,13.472,13.811,0.012,0.006,-0.04,0.012,0.006,-0.04,50.224,-11.995,-10.346,0.0,-0.0,-0.0,-0.0,-0.0,0.0,880.819,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.9746,0.1444,-0.1714,-0.1635,-0.0653,-0.9844,-0.1534,0.9874,-0.0401,0.8989,0.0668,-0.433,-0.4282,-0.0752,-0.9005,-0.0927,0.9949,-0.039,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0293,-0.0021,0.0305,30.408,111.0138,1.8213,0.0,0.0435,-0.3737,0.0,0.0,0.0,3879569.055,2924037.9922,4657023.8326,-3615.7161,-3982.708,5508.8807,3879538.6469,2923926.9784,4657022.0112,-3615.7455,-3982.7059,5508.8501,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,20.37861712678267,0.04044749683231337,-0.38378500000000004,2.768939774000194,13.534330058239647,,
