SimTime,COG Pos.x [m],COG Pos.y [m],COG Pos.z [m],Port Pos.x [m],Port Pos.y [m],Port Pos.z [m],COG Vel.x [m],COG Vel.y [m],COG Vel.z [m],Port Vel.x [m],Port Vel.y [m],Port Vel.z [m],Rot Angle.x [deg],Rot Angle.y [deg],Rot Angle.z [deg],Rot. Rate.x [deg/s],Rot. Rate.y [deg/s],Rot. Rate.z [deg/s],Rot. Rate.x [deg/s] (VLCS),Rot. Rate.y [deg/s] (VLCS),Rot. Rate.Z [deg/s] (VLCS),Tank mass [kg],THC.z,THC.y,THC.x,RHC.z,RHC.y,RHC.x,MFDLeft,MFDRight,MyROT.m11,MyROT.m12,MyROT.m13,MyROT.m21,MyROT.m22,MyROT.m23,MyROT.m31,MyROT.m32,MyROT.m33,TgtRot.m11,TgtRot.m12,TgtRot.m13,TgtRot.m21,TgtRot.m22,TgtRot.m23,TgtRot.m31,TgtRot.m32,TgtRot.m33,MyAngVel.x,MyAngVel.y,MyAngVel.z,TgtAngVel.x,TgtAngVel.y,TgtAngVel.z,RelPos.x,RelPos.y,RelPos.z,RelVel.x,RelVel.y,RelVel.z,MySs.x,MySs.y,MySs.z,TgtSs.x,TgtSs.y,TgtSs.z,MyLVPos.x,MyLVPos.y,MyLVPos.z,MyLVVel.x,MyLVVel.y,MyLVVel.z,TgtLVPos.x,TgtLVPos.y,TgtLVPos.z,TgtLVVel.x,TgtLVVel.y,TgtLVVel.z,MyDockPos.x,MyDockPos.y,MyDockPos.z,MyDockDir.x,MyDockDir.y,MyDockDir.z,MyDockRot.x,MyDockRot.y,MyDockRot.z,TgtDockPos.x,TgtDockPos.y,TgtDockPos.z,TgtDockDir.x,TgtDockDir.y,TgtDockDir.z,TgtDockRot.x,TgtDockRot.y,TgtDockRot.z,Lateral Offset,Lateral Velocity,Ideal Approach Vel,Angle to Port,Approach Cone,Max Rot Angle,Max Rot Velocity
0.1414,83.467,-25.793,3.694,79.798,-24.277,3.524,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.34,-0.0,0.0,0.141,-0.0,0.0,-0.0,875.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.977,-0.0395,-0.2097,-0.21,-0.3519,-0.9122,-0.0378,0.9352,-0.3521,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.091,-0.015,0.109,41.3955,114.8876,18.2974,0.0,0.0435,-0.3725,0.0,0.0,0.0,4230452.3401,3320537.2777,4046838.3209,-3057.7025,-3553.0047,6107.7931,4230410.9445,3320422.3901,4046820.0235,-3057.6115,-3552.9898,6107.6841,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.056179401439497,0.15472879499304582,-0.417335,6.191885799593026,14.717484098793445,,
0.3489,83.454,-25.825,3.691,79.785,-24.307,3.521,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.369,-0.0,0.0,0.141,-0.0,0.0,-0.0,875.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.977,-0.0395,-0.2093,-0.2097,-0.3522,-0.9121,-0.0377,0.9351,-0.3524,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0909,-0.015,0.1091,41.3766,114.8845,18.32,0.0,0.0435,-0.3725,0.0,0.0,0.0,4229818.0464,3319800.2826,4048104.9774,-3058.8495,-3553.905,6106.6956,4229776.6698,3319685.3981,4048086.6574,-3058.7586,-3553.89,6106.5865,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.087431954870528,0.15472879499304582,-0.41727,6.197156609538553,14.715191848044235,,
0.5631,83.44,-25.858,3.688,79.772,-24.338,3.518,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.399,-0.0,0.0,0.141,-0.0,0.0,-0.0,875.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9771,-0.0396,-0.2089,-0.2093,-0.3526,-0.9121,-0.0375,0.9349,-0.3528,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0909,-0.015,0.1091,41.3573,114.8813,18.3432,0.0,0.0435,-0.3725,0.0,0.0,0.0,4229166.1768,3319042.9589,4049406.0003,-3060.0277,-3554.8297,6105.5678,4229124.8195,3318928.0776,4049387.6571,-3059.9368,-3554.8147,6105.4587,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.119676644246574,0.15472879499304582,-0.4172,6.207309789379136,14.712723270314317,,
0.7712,83.426,-25.89,3.685,79.759,-24.369,3.515,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.429,-0.0,0.0,0.141,-0.0,0.0,-0.0,875.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9772,-0.0397,-0.2086,-0.209,-0.3529,-0.912,-0.0374,0.9348,-0.3532,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0909,-0.015,0.1092,41.3383,114.8782,18.3661,0.0,0.0435,-0.3725,0.0,0.0,0.0,4228524.4517,3318297.5128,4050686.0526,-3061.1869,-3555.7394,6104.4576,4228483.1134,3318182.6347,4050667.6865,-3061.096,-3555.7244,6104.3485,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.150933539741942,0.15472879499304582,-0.41713,6.2041532394810925,14.7102546925844,,
0.9845,83.412,-25.923,3.682,79.746,-24.4,3.512,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.459,-0.0,0.0,0.141,-0.0,0.0,-0.0,875.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9773,-0.0398,-0.2082,-0.2086,-0.3532,-0.912,-0.0373,0.9347,-0.3535,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0908,-0.015,0.1092,41.3189,114.875,18.3893,0.0,0.0435,-0.3725,0.0,0.0,0.0,4227872.9149,3317540.7632,4051984.9426,-3062.3632,-3556.6624,6103.3305,4227831.596,3317425.8883,4051966.5533,-3062.2724,-3556.6475,6103.2213,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.183182636952292,0.15472879499304582,-0.41706000000000004,6.214311430747737,14.707786114854482,,
1.1971,83.398,-25.956,3.679,79.733,-24.43,3.508,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.489,-0.0,0.0,0.141,-0.0,0.0,-0.0,875.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9774,-0.0399,-0.2078,-0.2083,-0.3536,-0.9119,-0.0371,0.9346,-0.3539,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0908,-0.015,0.1092,41.2996,114.8718,18.4126,0.0,0.0435,-0.3725,0.0,0.0,0.0,4227221.1594,3316783.8539,4053283.5303,-3063.5392,-3557.5852,6102.2031,4227179.8598,3316668.9821,4053265.1177,-3063.4485,-3557.5703,6102.0939,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.21543394643697,0.15472879499304582,-0.41698999999999997,6.2387212820849065,14.70531753712456,,
1.3971,83.385,-25.986,3.676,79.721,-24.459,3.505,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.517,-0.0,0.0,0.141,-0.0,0.0,-0.0,875.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9774,-0.0399,-0.2075,-0.208,-0.3539,-0.9119,-0.037,0.9344,-0.3542,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0907,-0.015,0.1093,41.2816,114.8688,18.4343,0.0,0.0435,-0.3725,0.0,0.0,0.0,4226613.0919,3316077.7661,4054494.4059,-3064.6359,-3558.4457,6101.1513,4226571.8104,3315962.8973,4054475.9717,-3064.5451,-3558.4307,6101.0421,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.244717030290115,0.15472879499304582,-0.41692500000000005,6.237034627409113,14.703025286375352,,
1.6117,83.371,-26.019,3.672,79.707,-24.49,3.502,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.547,-0.0,0.0,0.141,-0.0,0.0,-0.0,875.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9775,-0.04,-0.2071,-0.2076,-0.3542,-0.9118,-0.0369,0.9343,-0.3546,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0907,-0.0149,0.1093,41.2621,114.8656,18.4578,0.0,0.0435,-0.3725,0.0,0.0,0.0,4225954.3057,3315312.8766,4055805.5572,-3065.8234,-3559.3773,6100.0119,4225913.0436,3315198.011,4055787.0995,-3065.7327,-3559.3624,6099.9026,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.276832857100565,0.15472879499304582,-0.416855,6.2411436233617135,14.700556708645433,,
1.8233,83.358,-26.052,3.669,79.694,-24.521,3.499,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.577,-0.0,0.0,0.141,-0.0,0.0,-0.0,875.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9776,-0.0401,-0.2067,-0.2073,-0.3546,-0.9118,-0.0367,0.9342,-0.3549,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0907,-0.0149,0.1094,41.2428,114.8624,18.481,0.0,0.0435,-0.3725,0.0,0.0,0.0,4225301.3299,3314554.8275,4057104.4008,-3066.9998,-3560.3002,6098.8826,4225260.0871,3314439.9651,4057085.9197,-3066.9091,-3560.2852,6098.7733,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.309090919300118,0.15472879499304582,-0.41679,6.245729025019679,14.698264457896224,,
2.0341,83.344,-26.084,3.666,79.682,-24.551,3.496,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.607,-0.0,0.0,0.141,-0.0,0.0,-0.0,875.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9777,-0.0402,-0.2063,-0.207,-0.3549,-0.9117,-0.0366,0.934,-0.3553,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0906,-0.0149,0.1094,41.2238,114.8593,18.504,0.0,0.0435,-0.3725,0.0,0.0,0.0,4224658.5895,3313808.753,4058382.1638,-3068.1571,-3561.208,6097.7711,4224617.3657,3313693.8937,4058363.6599,-3068.0665,-3561.1931,6097.6617,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.340360893503338,0.15472879499304582,-0.41672,6.262274792356803,14.695795880166305,,
