SimTime,COG Pos.x [m],COG Pos.y [m],COG Pos.z [m],Port Pos.x [m],Port Pos.y [m],Port Pos.z [m],COG Vel.x [m],COG Vel.y [m],COG Vel.z [m],Port Vel.x [m],Port Vel.y [m],Port Vel.z [m],Rot Angle.x [deg],Rot Angle.y [deg],Rot Angle.z [deg],Rot. Rate.x [deg/s],Rot. Rate.y [deg/s],Rot. Rate.z [deg/s],Rot. Rate.x [deg/s] (VLCS),Rot. Rate.y [deg/s] (VLCS),Rot. Rate.Z [deg/s] (VLCS),Tank mass [kg],THC.z,THC.y,THC.x,RHC.z,RHC.y,RHC.x,MFDLeft,MFDRight,MyROT.m11,MyROT.m12,MyROT.m13,MyROT.m21,MyROT.m22,MyROT.m23,MyROT.m31,MyROT.m32,MyROT.m33,TgtRot.m11,TgtRot.m12,TgtRot.m13,TgtRot.m21,TgtRot.m22,TgtRot.m23,TgtRot.m31,TgtRot.m32,TgtRot.m33,MyAngVel.x,MyAngVel.y,MyAngVel.z,TgtAngVel.x,TgtAngVel.y,TgtAngVel.z,RelPos.x,RelPos.y,RelPos.z,RelVel.x,RelVel.y,RelVel.z,MySs.x,MySs.y,MySs.z,TgtSs.x,TgtSs.y,TgtSs.z,MyLVPos.x,MyLVPos.y,MyLVPos.z,MyLVVel.x,MyLVVel.y,MyLVVel.z,TgtLVPos.x,TgtLVPos.y,TgtLVPos.z,TgtLVVel.x,TgtLVVel.y,TgtLVVel.z,MyDockPos.x,MyDockPos.y,MyDockPos.z,MyDockDir.x,MyDockDir.y,MyDockDir.z,MyDockRot.x,MyDockRot.y,MyDockRot.z,TgtDockPos.x,TgtDockPos.y,TgtDockPos.z,TgtDockDir.x,TgtDockDir.y,TgtDockDir.z,TgtDockRot.x,TgtDockRot.y,TgtDockRot.z,Lateral Offset,Lateral Velocity,Ideal Approach Vel,Angle to Port,Approach Cone,Max Rot Angle,Max Rot Velocity
0.1359,83.468,-25.792,3.695,79.798,-24.276,3.524,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.338,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.977,-0.0395,-0.2097,-0.21,-0.3519,-0.9122,-0.0378,0.9352,-0.3521,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.091,-0.015,0.109,41.3964,114.8877,18.2964,0.0,0.0435,-0.3742,0.0,0.0,0.0,4230486.1252,3320570.1785,4046759.7259,-3057.6513,-3552.9645,6107.8421,4230444.7289,3320455.2908,4046741.4296,-3057.5603,-3552.9496,6107.7331,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.055331297068552,0.15472879499304582,-0.41734000000000004,6.187279258841316,14.717660425774156,,
0.3452,83.454,-25.824,3.691,79.785,-24.307,3.521,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.368,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.977,-0.0395,-0.2093,-0.2097,-0.3522,-0.9121,-0.0377,0.9351,-0.3524,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0909,-0.015,0.1091,41.3772,114.8846,18.3194,0.0,0.0435,-0.3742,0.0,0.0,0.0,4229840.1858,3319819.6487,4048049.6638,-3058.8194,-3553.8814,6106.7245,4229798.8087,3319704.7641,4048031.3445,-3058.7284,-3553.8664,6106.6154,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.086442014962486,0.15472879499304582,-0.41727,6.183840306498,14.715191848044235,,
0.5637,83.44,-25.857,3.688,79.772,-24.337,3.518,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.398,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9771,-0.0396,-0.2089,-0.2093,-0.3526,-0.9121,-0.0375,0.935,-0.3528,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0909,-0.015,0.1091,41.3579,114.8814,18.3425,0.0,0.0435,-0.3742,0.0,0.0,0.0,4229191.6083,3319066.1468,4049344.1367,-3059.9916,-3554.8014,6105.6023,4229150.2504,3318951.2654,4049325.7941,-3059.9007,-3554.7864,6105.4932,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.118686663000496,0.15472879499304582,-0.4172,6.207943022336775,14.712723270314317,,
0.7776,83.426,-25.89,3.685,79.759,-24.369,3.515,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.429,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9772,-0.0397,-0.2086,-0.209,-0.3529,-0.912,-0.0374,0.9348,-0.3532,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0909,-0.015,0.1092,41.3382,114.8782,18.3662,0.0,0.0435,-0.3742,0.0,0.0,0.0,4228527.5674,3318294.7772,4050668.713,-3061.1911,-3555.7427,6104.4535,4228486.2293,3318179.899,4050650.3468,-3061.1003,-3555.7277,6104.3444,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.150933539741942,0.15472879499304582,-0.41713,6.2041532394810925,14.7102546925844,,
0.9869,83.412,-25.922,3.682,79.746,-24.399,3.512,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.458,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9773,-0.0398,-0.2082,-0.2086,-0.3532,-0.912,-0.0373,0.9347,-0.3535,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0908,-0.015,0.1092,41.3192,114.875,18.389,0.0,0.0435,-0.3742,0.0,0.0,0.0,4227886.9148,3317550.669,4051945.9083,-3062.3478,-3556.6504,6103.3453,4227845.5957,3317435.794,4051927.5192,-3062.257,-3556.6354,6103.2361,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.18219257434335,0.15472879499304582,-0.41706000000000004,6.214944562845869,14.707786114854482,,
1.1871,83.399,-25.953,3.679,79.734,-24.428,3.509,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.487,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9774,-0.0398,-0.2078,-0.2083,-0.3536,-0.9119,-0.0371,0.9346,-0.3538,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0908,-0.015,0.1092,41.301,114.872,18.4109,0.0,0.0435,-0.3742,0.0,0.0,0.0,4227273.5887,3316838.3853,4053167.9562,-3063.4546,-3557.5188,6102.2843,4227232.2878,3316723.5132,4053149.5453,-3063.3638,-3557.5038,6102.1751,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.212463638506012,0.15472879499304582,-0.416995,6.2265565432557715,14.705493864105271,,
1.3947,83.386,-25.985,3.676,79.721,-24.458,3.505,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.516,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9774,-0.0399,-0.2075,-0.208,-0.3539,-0.9119,-0.037,0.9344,-0.3542,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0908,-0.015,0.1093,41.2821,114.8689,18.4336,0.0,0.0435,-0.3742,0.0,0.0,0.0,4226636.8708,3316099.0243,4054435.922,-3064.6029,-3558.4198,6101.183,4226595.5887,3315984.1554,4054417.4884,-3064.5122,-3558.4048,6101.0737,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.243726888534713,0.15472879499304582,-0.41692999999999997,6.232110138389849,14.70320161335606,,
1.6,83.372,-26.017,3.673,79.708,-24.488,3.502,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.545,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9775,-0.04,-0.2071,-0.2077,-0.3542,-0.9118,-0.0369,0.9343,-0.3545,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0907,-0.0149,0.1093,41.2635,114.8658,18.456,0.0,0.0435,-0.3742,0.0,0.0,0.0,4226007.8065,3315368.6385,4055687.9542,-3065.7369,-3559.3094,6100.095,4225966.543,3315253.7727,4055669.4981,-3065.6462,-3559.2945,6099.9857,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.2749922549941,0.15472879499304582,-0.41686,6.242901008367875,14.700733035626142,,
1.8076,83.359,-26.049,3.669,79.696,-24.518,3.499,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.574,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9776,-0.0401,-0.2067,-0.2073,-0.3545,-0.9118,-0.0368,0.9342,-0.3549,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0907,-0.0149,0.1094,41.2447,114.8627,18.4788,0.0,0.0435,-0.3742,0.0,0.0,0.0,4225370.2781,3314628.5146,4056956.1324,-3066.8855,-3560.2105,6098.9924,4225329.0335,3314513.6519,4056937.6536,-3066.7948,-3560.1956,6098.883,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.306120238454014,0.15472879499304582,-0.41679499999999997,6.25357186489023,14.698440784876931,,
2.0174,83.345,-26.081,3.666,79.683,-24.548,3.496,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.604,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9777,-0.0401,-0.2064,-0.207,-0.3549,-0.9117,-0.0366,0.9341,-0.3553,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0906,-0.0149,0.1094,41.2256,114.8596,18.5017,0.0,0.0435,-0.3742,0.0,0.0,0.0,4224728.5915,3313883.6547,4058231.8725,-3068.041,-3561.1169,6097.8827,4224687.3658,3313768.7951,4058213.3709,-3067.9504,-3561.102,6097.7733,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.337390094692374,0.15472879499304582,-0.416725,6.264361010873933,14.695972207147014,,
