SimTime,COG Pos.x [m],COG Pos.y [m],COG Pos.z [m],Port Pos.x [m],Port Pos.y [m],Port Pos.z [m],COG Vel.x [m],COG Vel.y [m],COG Vel.z [m],Port Vel.x [m],Port Vel.y [m],Port Vel.z [m],Rot Angle.x [deg],Rot Angle.y [deg],Rot Angle.z [deg],Rot. Rate.x [deg/s],Rot. Rate.y [deg/s],Rot. Rate.z [deg/s],Rot. Rate.x [deg/s] (VLCS),Rot. Rate.y [deg/s] (VLCS),Rot. Rate.Z [deg/s] (VLCS),Tank mass [kg],THC.z,THC.y,THC.x,RHC.z,RHC.y,RHC.x,MFDLeft,MFDRight,MyROT.m11,MyROT.m12,MyROT.m13,MyROT.m21,MyROT.m22,MyROT.m23,MyROT.m31,MyROT.m32,MyROT.m33,TgtRot.m11,TgtRot.m12,TgtRot.m13,TgtRot.m21,TgtRot.m22,TgtRot.m23,TgtRot.m31,TgtRot.m32,TgtRot.m33,MyAngVel.x,MyAngVel.y,MyAngVel.z,TgtAngVel.x,TgtAngVel.y,TgtAngVel.z,RelPos.x,RelPos.y,RelPos.z,RelVel.x,RelVel.y,RelVel.z,MySs.x,MySs.y,MySs.z,TgtSs.x,TgtSs.y,TgtSs.z,MyLVPos.x,MyLVPos.y,MyLVPos.z,MyLVVel.x,MyLVVel.y,MyLVVel.z,TgtLVPos.x,TgtLVPos.y,TgtLVPos.z,TgtLVVel.x,TgtLVVel.y,TgtLVVel.z,MyDockPos.x,MyDockPos.y,MyDockPos.z,MyDockDir.x,MyDockDir.y,MyDockDir.z,MyDockRot.x,MyDockRot.y,MyDockRot.z,TgtDockPos.x,TgtDockPos.y,TgtDockPos.z,TgtDockDir.x,TgtDockDir.y,TgtDockDir.z,TgtDockRot.x,TgtDockRot.y,TgtDockRot.z,Lateral Offset,Lateral Velocity,Ideal Approach Vel,Angle to Port,Approach Cone,Max Rot Angle,Max Rot Velocity
0.1333,83.468,-25.792,3.695,79.798,-24.276,3.524,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.338,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.977,-0.0395,-0.2097,-0.21,-0.3519,-0.9122,-0.0378,0.9352,-0.3521,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.091,-0.015,0.109,41.3964,114.8877,18.2964,0.0,0.0435,-0.3742,0.0,0.0,0.0,4230452.9719,3320570.2443,4046893.3772,-3057.6512,-3552.9645,6107.8422,4230411.5755,3320455.3566,4046875.0809,-3057.5602,-3552.9495,6107.7331,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.055331297068552,0.15472879499304582,-0.41734000000000004,6.187279258841316,14.717660425774156,,
0.3338,83.455,-25.823,3.692,79.786,-24.305,3.521,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.367,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.977,-0.0395,-0.2093,-0.2097,-0.3522,-0.9121,-0.0377,0.9351,-0.3524,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0909,-0.015,0.1091,41.3781,114.8847,18.3182,0.0,0.0435,-0.3742,0.0,0.0,0.0,4229840.1115,3319858.1477,4048117.2747,-3058.7594,-3553.8343,6106.7818,4229798.7334,3319743.263,4048098.9565,-3058.6685,-3553.8193,6106.6727,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.085593591099283,0.15472879499304582,-0.417275,6.198887344649283,14.715368175024944,,
0.5338,83.442,-25.853,3.689,79.774,-24.334,3.518,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.395,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9771,-0.0396,-0.209,-0.2094,-0.3525,-0.9121,-0.0375,0.935,-0.3527,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0909,-0.015,0.1091,41.36,114.8817,18.34,0.0,0.0435,-0.3742,0.0,0.0,0.0,4229227.9898,3319146.9919,4049339.0412,-3059.8658,-3554.7026,6105.7227,4229186.6298,3319032.1102,4049320.7012,-3059.7749,-3554.6876,6105.6136,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.114867987412843,0.15472879499304582,-0.41720999999999997,6.197184612050291,14.713075924275733,,
0.734,83.429,-25.884,3.686,79.761,-24.363,3.515,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.423,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9772,-0.0397,-0.2086,-0.209,-0.3528,-0.912,-0.0374,0.9348,-0.3531,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0909,-0.015,0.1091,41.3418,114.8787,18.3619,0.0,0.0435,-0.3742,0.0,0.0,0.0,4228615.3998,3318435.3765,4050561.0896,-3060.9724,-3555.5711,6104.6629,4228574.058,3318320.4978,4050542.7277,-3060.8816,-3555.5561,6104.5538,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.14513438481432,0.15472879499304582,-0.417145,6.203078310813593,14.710783673526524,,
0.9341,83.416,-25.915,3.683,79.749,-24.392,3.512,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.451,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9773,-0.0398,-0.2083,-0.2087,-0.3532,-0.912,-0.0373,0.9347,-0.3534,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0908,-0.015,0.1092,41.3236,114.8758,18.3837,0.0,0.0435,-0.3742,0.0,0.0,0.0,4228002.9188,3317723.9704,4051782.2658,-3062.0783,-3556.4389,6103.6034,4227961.5952,3317609.0946,4051763.8821,-3061.9875,-3556.4239,6103.4942,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.17540284312736,0.15472879499304582,-0.41708,6.2146853872260825,14.708491422777314,,
1.1346,83.402,-25.946,3.68,79.737,-24.421,3.509,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.48,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9773,-0.0398,-0.2079,-0.2084,-0.3535,-0.9119,-0.0372,0.9346,-0.3538,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0908,-0.015,0.1092,41.3054,114.8728,18.4056,0.0,0.0435,-0.3742,0.0,0.0,0.0,4227388.6434,3317010.5646,4053006.3652,-3063.1869,-3557.3088,6102.5408,4227347.3381,3316895.6919,4052987.9596,-3063.0961,-3557.2938,6102.4315,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.205673355210703,0.15472879499304582,-0.41701,6.231843482535872,14.706022845047396,,
1.3347,83.389,-25.977,3.677,79.724,-24.45,3.506,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.508,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9774,-0.0399,-0.2076,-0.2081,-0.3538,-0.9119,-0.0371,0.9345,-0.3541,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0908,-0.015,0.1093,41.2872,114.8698,18.4275,0.0,0.0435,-0.3742,0.0,0.0,0.0,4226775.4193,3316298.4629,4054227.7154,-3064.293,-3558.1766,6101.48,4226734.1321,3316183.5931,4054209.2879,-3064.2022,-3558.1617,6101.3708,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.235945913955533,0.15472879499304582,-0.41694499999999995,6.237717009699057,14.703730594298186,,
1.5348,83.376,-26.007,3.674,79.712,-24.479,3.503,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.536,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9775,-0.04,-0.2072,-0.2078,-0.3541,-0.9118,-0.0369,0.9343,-0.3544,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0907,-0.015,0.1093,41.269,114.8668,18.4493,0.0,0.0435,-0.3742,0.0,0.0,0.0,4226162.4352,3315586.723,4055447.9348,-3065.3981,-3559.0437,6100.4198,4226121.1661,3315471.8563,4055429.4854,-3065.3074,-3559.0287,6100.3105,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.265230343554958,0.15472879499304582,-0.41688000000000003,6.236029443249389,14.701438343548977,,
1.7351,83.363,-26.038,3.67,79.7,-24.508,3.5,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.565,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9776,-0.04,-0.2069,-0.2075,-0.3544,-0.9118,-0.0368,0.9342,-0.3548,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0907,-0.0149,0.1093,41.2509,114.8638,18.4713,0.0,0.0435,-0.3742,0.0,0.0,0.0,4225548.0751,3314873.4685,4056670.2387,-3066.5051,-3559.9122,6099.3573,4225506.8242,3314758.6047,4056651.7674,-3066.4144,-3559.8972,6099.2479,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.29536734864147,0.15472879499304582,-0.416815,6.247336800483873,14.699146092799765,,
1.9353,83.35,-26.069,3.667,79.688,-24.537,3.497,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.593,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9776,-0.0401,-0.2065,-0.2071,-0.3548,-0.9117,-0.0367,0.9341,-0.3551,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0907,-0.0149,0.1094,41.2327,114.8608,18.4932,0.0,0.0435,-0.3742,0.0,0.0,0.0,4224933.6666,3314160.2418,4057891.9854,-3067.6117,-3560.7802,6098.2947,4224892.4339,3314045.381,4057873.4922,-3067.521,-3560.7653,6098.1853,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.325646240880772,0.15472879499304582,-0.41674999999999995,6.258949423056956,14.696853842050555,,
