SimTime,COG Pos.x [m],COG Pos.y [m],COG Pos.z [m],Port Pos.x [m],Port Pos.y [m],Port Pos.z [m],COG Vel.x [m],COG Vel.y [m],COG Vel.z [m],Port Vel.x [m],Port Vel.y [m],Port Vel.z [m],Rot Angle.x [deg],Rot Angle.y [deg],Rot Angle.z [deg],Rot. Rate.x [deg/s],Rot. Rate.y [deg/s],Rot. Rate.z [deg/s],Rot. Rate.x [deg/s] (VLCS),Rot. Rate.y [deg/s] (VLCS),Rot. Rate.Z [deg/s] (VLCS),Tank mass [kg],THC.z,THC.y,THC.x,RHC.z,RHC.y,RHC.x,MFDLeft,MFDRight,MyROT.m11,MyROT.m12,MyROT.m13,MyROT.m21,MyROT.m22,MyROT.m23,MyROT.m31,MyROT.m32,MyROT.m33,TgtRot.m11,TgtRot.m12,TgtRot.m13,TgtRot.m21,TgtRot.m22,TgtRot.m23,TgtRot.m31,TgtRot.m32,TgtRot.m33,MyAngVel.x,MyAngVel.y,MyAngVel.z,TgtAngVel.x,TgtAngVel.y,TgtAngVel.z,RelPos.x,RelPos.y,RelPos.z,RelVel.x,RelVel.y,RelVel.z,MySs.x,MySs.y,MySs.z,TgtSs.x,TgtSs.y,TgtSs.z,MyLVPos.x,MyLVPos.y,MyLVPos.z,MyLVVel.x,MyLVVel.y,MyLVVel.z,TgtLVPos.x,TgtLVPos.y,TgtLVPos.z,TgtLVVel.x,TgtLVVel.y,TgtLVVel.z,MyDockPos.x,MyDockPos.y,MyDockPos.z,MyDockDir.x,MyDockDir.y,MyDockDir.z,MyDockRot.x,MyDockRot.y,MyDockRot.z,TgtDockPos.x,TgtDockPos.y,TgtDockPos.z,TgtDockDir.x,TgtDockDir.y,TgtDockDir.z,TgtDockRot.x,TgtDockRot.y,TgtDockRot.z,Lateral Offset,Lateral Velocity,Ideal Approach Vel,Angle to Port,Approach Cone,Max Rot Angle,Max Rot Velocity
0.1517,83.467,-25.793,3.694,79.797,-24.278,3.524,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.34,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.977,-0.0395,-0.2097,-0.21,-0.3519,-0.9122,-0.0378,0.9352,-0.3521,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.091,-0.015,0.109,41.3953,114.8876,18.2977,0.0,0.0435,-0.3742,0.0,0.0,0.0,4230504.6376,3320528.1053,4046611.6475,-3057.7168,-3553.016,6107.7795,4230463.2424,3320413.2177,4046593.3498,-3057.6258,-3553.001,6107.6704,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.056179401439497,0.15472879499304582,-0.417335,6.172233669970373,14.717484098793445,,
0.3597,83.453,-25.826,3.691,79.785,-24.308,3.521,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.369,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9771,-0.0395,-0.2093,-0.2097,-0.3522,-0.9121,-0.0377,0.9351,-0.3524,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0909,-0.015,0.1091,41.3764,114.8845,18.3203,0.0,0.0435,-0.3742,0.0,0.0,0.0,4229868.2819,3319788.7154,4047882.412,-3058.8676,-3553.9192,6106.6784,4229826.9055,3319673.8309,4047864.0917,-3058.7766,-3553.9042,6106.5694,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.088421895545924,0.15472879499304582,-0.417265,6.202045697278521,14.715015521063528,,
0.5694,83.44,-25.858,3.688,79.772,-24.338,3.518,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.399,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9771,-0.0396,-0.2089,-0.2093,-0.3526,-0.9121,-0.0375,0.9349,-0.3528,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0909,-0.015,0.1091,41.3574,114.8813,18.3431,0.0,0.0435,-0.3742,0.0,0.0,0.0,4229229.3757,3319046.4526,4049157.5582,-3060.0224,-3554.8255,6105.5731,4229188.0183,3318931.5713,4049139.2151,-3059.9315,-3554.8105,6105.4639,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.119676644246574,0.15472879499304582,-0.4172,6.207309789379136,14.712723270314317,,
0.7779,83.426,-25.89,3.685,79.759,-24.368,3.515,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.428,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9772,-0.0397,-0.2086,-0.209,-0.3529,-0.912,-0.0374,0.9348,-0.3531,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0909,-0.015,0.1092,41.3384,114.8782,18.3659,0.0,0.0435,-0.3742,0.0,0.0,0.0,4228591.0581,3318304.9642,4050430.8186,-3061.1755,-3555.7304,6104.4688,4228549.7196,3318190.086,4050412.4527,-3061.0846,-3555.7155,6104.3596,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.150933539741942,0.15472879499304582,-0.41713,6.21809730394732,14.7102546925844,,
0.9843,83.413,-25.922,3.682,79.746,-24.398,3.512,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.458,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9773,-0.0398,-0.2082,-0.2087,-0.3532,-0.912,-0.0373,0.9347,-0.3535,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0908,-0.015,0.1092,41.3195,114.8751,18.3886,0.0,0.0435,-0.3742,0.0,0.0,0.0,4227955.0447,3317566.2426,4051698.777,-3062.3239,-3556.6316,6103.3685,4227913.7252,3317451.3675,4051680.3884,-3062.233,-3556.6166,6103.2593,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.18219257434335,0.15472879499304582,-0.41706499999999996,6.223342616692582,14.707962441835189,,
1.1879,83.399,-25.953,3.679,79.734,-24.428,3.509,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.486,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9774,-0.0398,-0.2078,-0.2083,-0.3536,-0.9119,-0.0371,0.9346,-0.3538,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0908,-0.015,0.1092,41.3011,114.872,18.4108,0.0,0.0435,-0.3742,0.0,0.0,0.0,4227332.4007,3316843.1368,4052939.4012,-3063.4475,-3557.5132,6102.2915,4227291.0996,3316728.2647,4052920.9905,-3063.3567,-3557.4982,6102.1823,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.212463638506012,0.15472879499304582,-0.416995,6.2265565432557715,14.705493864105271,,
1.3964,83.386,-25.985,3.676,79.721,-24.458,3.505,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.516,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9774,-0.0399,-0.2075,-0.208,-0.3539,-0.9119,-0.037,0.9344,-0.3542,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0908,-0.015,0.1093,41.2821,114.8689,18.4336,0.0,0.0435,-0.3742,0.0,0.0,0.0,4226691.8882,3316099.3691,4054214.925,-3064.6028,-3558.4196,6101.1836,4226650.6061,3315984.5002,4054196.4914,-3064.512,-3558.4047,6101.0743,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.243726888534713,0.15472879499304582,-0.41692999999999997,6.232110138389849,14.70320161335606,,
1.6051,83.372,-26.017,3.673,79.708,-24.488,3.502,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.545,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9775,-0.04,-0.2071,-0.2077,-0.3542,-0.9118,-0.0369,0.9343,-0.3546,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0907,-0.0149,0.1093,41.2633,114.8658,18.4563,0.0,0.0435,-0.3742,0.0,0.0,0.0,4226055.9857,3315361.0443,4055480.5643,-3065.7491,-3559.319,6100.0838,4226014.7224,3315246.1785,4055462.108,-3065.6584,-3559.304,6099.9745,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.2749922549941,0.15472879499304582,-0.41686,6.242901008367875,14.700733035626142,,
1.8415,83.367,-26.029,3.671,79.704,-24.499,3.501,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.556,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9775,-0.04,-0.207,-0.2076,-0.3543,-0.9118,-0.0368,0.9343,-0.3547,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0907,-0.0149,0.1093,41.2565,114.8647,18.4645,0.0,0.0435,-0.3742,0.0,0.0,0.0,4225826.1274,3315094.1861,4055937.8799,-3066.1634,-3559.6439,6099.6863,4225784.8709,3314979.3214,4055919.4154,-3066.0727,-3559.629,6099.5769,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.28659510092549,0.15472879499304582,-0.416835,6.25376583871564,14.6998514007226,,
2.0529,83.343,-26.086,3.666,79.681,-24.553,3.496,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.608,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9777,-0.0402,-0.2063,-0.207,-0.3549,-0.9117,-0.0366,0.934,-0.3553,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0906,-0.0149,0.1094,41.223,114.8592,18.5049,0.0,0.0435,-0.3742,0.0,0.0,0.0,4224692.6688,3313778.4451,4058191.6173,-3068.2048,-3561.2453,6097.7261,4224651.4458,3313663.586,4058173.1124,-3068.1142,-3561.2304,6097.6167,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.34234142972109,0.15472879499304582,-0.416715,6.260821453022882,14.695619553185598,,
