SimTime,COG Pos.x [m],COG Pos.y [m],COG Pos.z [m],Port Pos.x [m],Port Pos.y [m],Port Pos.z [m],COG Vel.x [m],COG Vel.y [m],COG Vel.z [m],Port Vel.x [m],Port Vel.y [m],Port Vel.z [m],Rot Angle.x [deg],Rot Angle.y [deg],Rot Angle.z [deg],Rot. Rate.x [deg/s],Rot. Rate.y [deg/s],Rot. Rate.z [deg/s],Rot. Rate.x [deg/s] (VLCS),Rot. Rate.y [deg/s] (VLCS),Rot. Rate.Z [deg/s] (VLCS),Tank mass [kg],THC.z,THC.y,THC.x,RHC.z,RHC.y,RHC.x,MFDLeft,MFDRight,MyROT.m11,MyROT.m12,MyROT.m13,MyROT.m21,MyROT.m22,MyROT.m23,MyROT.m31,MyROT.m32,MyROT.m33,TgtRot.m11,TgtRot.m12,TgtRot.m13,TgtRot.m21,TgtRot.m22,TgtRot.m23,TgtRot.m31,TgtRot.m32,TgtRot.m33,MyAngVel.x,MyAngVel.y,MyAngVel.z,TgtAngVel.x,TgtAngVel.y,TgtAngVel.z,RelPos.x,RelPos.y,RelPos.z,RelVel.x,RelVel.y,RelVel.z,MySs.x,MySs.y,MySs.z,TgtSs.x,TgtSs.y,TgtSs.z,MyLVPos.x,MyLVPos.y,MyLVPos.z,MyLVVel.x,MyLVVel.y,MyLVVel.z,TgtLVPos.x,TgtLVPos.y,TgtLVPos.z,TgtLVVel.x,TgtLVVel.y,TgtLVVel.z,MyDockPos.x,MyDockPos.y,MyDockPos.z,MyDockDir.x,MyDockDir.y,MyDockDir.z,MyDockRot.x,MyDockRot.y,MyDockRot.z,TgtDockPos.x,TgtDockPos.y,TgtDockPos.z,TgtDockDir.x,TgtDockDir.y,TgtDockDir.z,TgtDockRot.x,TgtDockRot.y,TgtDockRot.z,Lateral Offset,Lateral Velocity,Ideal Approach Vel,Angle to Port,Approach Cone,Max Rot Angle,Max Rot Velocity
0.1241,74.768,-0.828,5.907,70.822,-1.056,5.499,-0.003,-0.017,0.002,-0.003,-0.017,0.002,-60.122,-6.85,-3.86,-0.0,0.0,-0.0,0.0,0.0,-0.0,862.103,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.0396,-0.8009,-0.5975,0.2828,0.5825,-0.7621,0.9584,-0.1388,0.2495,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,0.0,0.0,-0.0,0.0,0.0,0.0,0.002,-0.011,-0.013,73.5803,76.9484,-33.5618,0.0,0.0434,-0.3692,0.0,0.0,0.0,2043469.2368,2603328.4054,-5869750.4018,5216.7064,4257.4238,3710.2863,2043395.6566,2603251.457,-5869716.84,5216.7044,4257.4348,3710.2993,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,5.964749198415638,0.01711724276862369,-0.37384,4.428168994515204,13.18361569361051,,
0.3268,74.767,-0.831,5.907,70.821,-1.059,5.499,-0.003,-0.017,0.002,-0.003,-0.017,0.002,-60.122,-6.85,-3.86,-0.0,0.0,-0.0,0.0,0.0,-0.0,862.103,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.0396,-0.8009,-0.5975,0.2828,0.5825,-0.7621,0.9584,-0.1388,0.2495,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,0.0,0.0,-0.0,0.0,0.0,0.0,0.002,-0.011,-0.0131,73.5807,76.9462,-33.5645,0.0,0.0434,-0.3692,0.0,0.0,0.0,2044525.674,2604190.5523,-5868998.8379,5216.1672,4256.7369,3711.8348,2044452.0934,2604113.6061,-5868965.2734,5216.1652,4256.7479,3711.8479,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,5.965166384938479,0.01711724276862369,-0.373835,4.430294607288436,13.1834393666298,,
0.5299,74.767,-0.834,5.907,70.82,-1.063,5.499,-0.003,-0.017,0.002,-0.003,-0.017,0.002,-60.122,-6.85,-3.86,-0.0,0.0,-0.0,0.0,0.0,-0.0,862.103,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.0396,-0.8009,-0.5975,0.2828,0.5825,-0.7621,0.9584,-0.1388,0.2495,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,0.0,0.0,-0.0,0.0,0.0,0.0,0.002,-0.011,-0.0131,73.5811,76.944,-33.5671,0.0,0.0434,-0.3692,0.0,0.0,0.0,2045584.353,2605054.4791,-5868245.2835,5215.6264,4256.0482,3713.3866,2045510.7719,2604977.5352,-5868211.7164,5215.6244,4256.0592,3713.3997,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,5.965585050940101,0.01711724276862369,-0.373835,4.44514658678321,13.1834393666298,,
0.7343,74.766,-0.838,5.908,70.82,-1.066,5.5,-0.003,-0.017,0.002,-0.003,-0.017,0.002,-60.122,-6.85,-3.86,-0.0,0.0,-0.0,0.0,0.0,-0.0,862.103,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.0396,-0.8009,-0.5975,0.2828,0.5825,-0.7621,0.9584,-0.1388,0.2495,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,0.0,0.0,-0.0,0.0,0.0,0.0,0.002,-0.011,-0.0132,73.5815,76.9418,-33.5698,0.0,0.0434,-0.3692,0.0,0.0,0.0,2046644.6216,2605919.6525,-5867490.2051,5215.0845,4255.3581,3714.9406,2046571.0401,2605842.7108,-5867456.6353,5215.0825,4255.3691,3714.9538,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,5.967135661269987,0.01711724276862369,-0.37383000000000005,4.434981027091204,13.183263039649093,,
0.94,74.765,-0.841,5.908,70.819,-1.069,5.5,-0.003,-0.017,0.002,-0.003,-0.017,0.002,-60.122,-6.85,-3.86,-0.0,0.0,-0.0,0.0,0.0,-0.0,862.103,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.0396,-0.8009,-0.5975,0.2828,0.5825,-0.7621,0.9584,-0.1388,0.2495,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,0.0,0.0,-0.0,0.0,0.0,0.0,0.002,-0.011,-0.0132,73.5819,76.9395,-33.5725,0.0,0.0434,-0.3692,0.0,0.0,0.0,2047718.556,2606795.9256,-5866724.9932,5214.5353,4254.6589,3716.5146,2047644.9741,2606718.9861,-5866691.4207,5214.5333,4254.6699,3716.5279,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,5.967557708141582,0.01711724276862369,-0.373825,4.437107552038869,13.183086712668384,,
1.1481,74.765,-0.845,5.909,70.818,-1.073,5.501,-0.003,-0.017,0.002,-0.003,-0.017,0.002,-60.122,-6.85,-3.86,-0.0,0.0,-0.0,0.0,0.0,-0.0,862.103,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.0396,-0.8009,-0.5975,0.2828,0.5825,-0.7621,0.9584,-0.1388,0.2495,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,0.0,0.0,-0.0,0.0,0.0,0.0,0.002,-0.011,-0.0133,73.5823,76.9372,-33.5753,0.0,0.0434,-0.3692,0.0,0.0,0.0,2048805.1244,2607682.4551,-5865950.365,5213.9793,4253.9511,3718.1072,2048731.5421,2607605.5179,-5865916.7897,5213.9773,4253.9621,3718.1204,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,5.969112664374832,0.01711724276862369,-0.373825,4.438338452062962,13.183086712668384,,
1.438,74.764,-0.848,5.909,70.818,-1.076,5.501,-0.003,-0.017,0.002,-0.003,-0.017,0.002,-60.122,-6.85,-3.86,-0.0,0.0,-0.0,0.0,0.0,-0.0,862.103,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0396,-0.8009,-0.5975,0.2828,0.5825,-0.7621,0.9584,-0.1388,0.2495,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,0.0,0.0,-0.0,0.0,0.0,0.0,0.002,-0.011,-0.0133,73.5827,76.9351,-33.5778,0.0,0.0434,-0.3692,0.0,0.0,0.0,2049797.188,2608491.8316,-5865242.7512,5213.4713,4253.3046,3719.5611,2049723.6053,2608414.8965,-5865209.1734,5213.4693,4253.3156,3719.5745,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,5.969538089333211,0.01711724276862369,-0.37382,4.441796491417143,13.182910385687675,,
1.6447,74.763,-0.853,5.91,70.817,-1.081,5.502,-0.003,-0.017,0.002,-0.003,-0.017,0.002,-60.122,-6.85,-3.86,-0.0,0.0,-0.0,0.0,0.0,-0.0,862.103,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0396,-0.8009,-0.5975,0.2828,0.5825,-0.7621,0.9584,-0.1388,0.2495,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,0.0,0.0,-0.0,0.0,0.0,0.0,0.002,-0.011,-0.0134,73.5833,76.9318,-33.5819,0.0,0.0434,-0.3692,0.0,0.0,0.0,2051389.19,2609790.5771,-5864106.4899,5212.6555,4252.2666,3721.8943,2051315.6067,2609713.6453,-5864072.908,5212.6535,4252.2776,3721.9077,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,5.971240155947506,0.01711724276862369,-0.373815,4.44506137142527,13.182734058706968,,
1.8467,74.763,-0.857,5.91,70.816,-1.085,5.502,-0.003,-0.017,0.002,-0.003,-0.017,0.002,-60.122,-6.85,-3.86,-0.0,0.0,-0.0,0.0,0.0,-0.0,862.103,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0396,-0.8009,-0.5975,0.2828,0.5825,-0.7621,0.9584,-0.1388,0.2495,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,0.0,0.0,-0.0,0.0,0.0,0.0,0.002,-0.011,-0.0134,73.5837,76.9296,-33.5846,0.0,0.0434,-0.3692,0.0,0.0,0.0,2052444.2326,2610651.2113,-5863352.9847,5212.1144,4251.5783,3723.4405,2052370.6489,2610574.2817,-5863319.4001,5212.1124,4251.5893,3723.4539,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,5.971812873826506,0.01711724276862369,-0.373815,4.446583603392008,13.182734058706968,,
2.0633,74.762,-0.86,5.911,70.816,-1.089,5.503,-0.003,-0.017,0.002,-0.003,-0.017,0.002,-60.122,-6.85,-3.86,-0.0,0.0,-0.0,0.0,0.0,-0.0,862.103,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0396,-0.8009,-0.5975,0.2828,0.5825,-0.7621,0.9584,-0.1388,0.2495,0.676,0.226,-0.7014,-0.7316,0.0917,-0.6755,-0.0884,0.9698,0.2273,0.0,0.0,-0.0,0.0,0.0,0.0,0.002,-0.011,-0.0135,73.5841,76.9272,-33.5875,0.0,0.0434,-0.3692,0.0,0.0,0.0,2053570.875,2611570.1972,-5862547.9088,5211.5363,4250.843,3725.0916,2053497.2909,2611493.27,-5862514.3213,5211.5342,4250.854,3725.1051,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,5.973233713827042,0.01711724276862369,-0.37381,4.463816151128087,13.18255773172626,,
