SimTime,COG Pos.x [m],COG Pos.y [m],COG Pos.z [m],Port Pos.x [m],Port Pos.y [m],Port Pos.z [m],COG Vel.x [m],COG Vel.y [m],COG Vel.z [m],Port Vel.x [m],Port Vel.y [m],Port Vel.z [m],Rot Angle.x [deg],Rot Angle.y [deg],Rot Angle.z [deg],Rot. Rate.x [deg/s],Rot. Rate.y [deg/s],Rot. Rate.z [deg/s],Rot. Rate.x [deg/s] (VLCS),Rot. Rate.y [deg/s] (VLCS),Rot. Rate.Z [deg/s] (VLCS),Tank mass [kg],THC.z,THC.y,THC.x,RHC.z,RHC.y,RHC.x,MFDLeft,MFDRight,MyROT.m11,MyROT.m12,MyROT.m13,MyROT.m21,MyROT.m22,MyROT.m23,MyROT.m31,MyROT.m32,MyROT.m33,TgtRot.m11,TgtRot.m12,TgtRot.m13,TgtRot.m21,TgtRot.m22,TgtRot.m23,TgtRot.m31,TgtRot.m32,TgtRot.m33,MyAngVel.x,MyAngVel.y,MyAngVel.z,TgtAngVel.x,TgtAngVel.y,TgtAngVel.z,RelPos.x,RelPos.y,RelPos.z,RelVel.x,RelVel.y,RelVel.z,MySs.x,MySs.y,MySs.z,TgtSs.x,TgtSs.y,TgtSs.z,MyLVPos.x,MyLVPos.y,MyLVPos.z,MyLVVel.x,MyLVVel.y,MyLVVel.z,TgtLVPos.x,TgtLVPos.y,TgtLVPos.z,TgtLVVel.x,TgtLVVel.y,TgtLVVel.z,MyDockPos.x,MyDockPos.y,MyDockPos.z,MyDockDir.x,MyDockDir.y,MyDockDir.z,MyDockRot.x,MyDockRot.y,MyDockRot.z,TgtDockPos.x,TgtDockPos.y,TgtDockPos.z,TgtDockDir.x,TgtDockDir.y,TgtDockDir.z,TgtDockRot.x,TgtDockRot.y,TgtDockRot.z,Lateral Offset,Lateral Velocity,Ideal Approach Vel,Angle to Port,Approach Cone,Max Rot Angle,Max Rot Velocity
0.1655,64.16,3.481,-2.396,60.214,3.247,-1.983,0.01,0.021,0.003,0.01,0.021,0.003,1.427,5.993,-4.5,0.0,-0.0,0.0,0.0,-0.0,0.0,869.995,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6755,-0.7068,-0.2101,-0.7115,-0.6996,0.0663,-0.1939,0.1047,-0.9754,0.676,-0.1966,0.7102,-0.7316,-0.0636,0.6788,-0.0883,-0.9784,-0.1868,0.0,-0.0,0.0,0.0,0.0,0.0,-0.015,-0.011,0.014,-3.4126,-15.7119,76.8824,0.0,0.0435,-0.3711,0.0,0.0,0.0,2441537.959,2924346.7484,-5558232.8187,4988.909,3976.7186,4290.7517,2441541.3716,2924362.4603,-5558309.7012,4988.924,3976.7296,4290.7377,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-9.393,-23.972,0.0,-1.0,0.0,0.0,0.0,-1.0,4.225893633304085,0.021213203435596427,-0.3208,4.210166183520733,11.313139082255113,,
0.3711,64.162,3.485,-2.396,60.216,3.251,-1.983,0.01,0.021,0.003,0.01,0.021,0.003,1.427,5.993,-4.5,0.0,-0.0,0.0,0.0,-0.0,0.0,869.995,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6755,-0.7068,-0.2101,-0.7115,-0.6996,0.0663,-0.1939,0.1047,-0.9754,0.676,-0.1966,0.7102,-0.7316,-0.0636,0.6788,-0.0883,-0.9784,-0.1868,0.0,-0.0,0.0,0.0,0.0,0.0,-0.015,-0.011,0.014,-3.4157,-15.7142,76.8853,0.0,0.0435,-0.3711,0.0,0.0,0.0,2442561.672,2925162.735,-5557352.1578,4988.2562,3975.9367,4292.2375,2442565.0876,2925178.4491,-5557429.0431,4988.2712,3975.9477,4292.2235,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-9.393,-23.972,0.0,-1.0,0.0,0.0,0.0,-1.0,4.229189165785801,0.021213203435596427,-0.32081000000000004,4.209836040180367,11.31349173621653,,
0.5735,64.164,3.489,-2.395,60.218,3.255,-1.982,0.01,0.021,0.003,0.01,0.021,0.003,1.427,5.993,-4.5,0.0,-0.0,0.0,0.0,-0.0,0.0,869.995,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6755,-0.7068,-0.2101,-0.7115,-0.6996,0.0663,-0.1939,0.1047,-0.9754,0.676,-0.1966,0.7102,-0.7316,-0.0636,0.6788,-0.0883,-0.9784,-0.1868,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0151,-0.0111,0.0141,-3.4187,-15.7164,76.8882,0.0,0.0435,-0.3711,0.0,0.0,0.0,2443572.9793,2925968.7806,-5556481.7561,4987.6109,3975.164,4293.7053,2443576.3981,2925984.497,-5556558.6442,4987.6259,3975.175,4293.6912,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-9.393,-23.972,0.0,-1.0,0.0,0.0,0.0,-1.0,4.231919895272121,0.021213203435596427,-0.32082,4.210400858293511,11.313844390177946,,
0.7743,64.166,3.493,-2.394,60.22,3.26,-1.981,0.01,0.021,0.003,0.01,0.021,0.003,1.427,5.993,-4.5,0.0,-0.0,0.0,0.0,-0.0,0.0,869.995,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6755,-0.7068,-0.2101,-0.7115,-0.6996,0.0663,-0.1939,0.1047,-0.9754,0.676,-0.1966,0.7102,-0.7316,-0.0636,0.6788,-0.0883,-0.9784,-0.1868,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0151,-0.0111,0.0141,-3.4218,-15.7186,76.891,0.0,0.0435,-0.3711,0.0,0.0,0.0,2444570.1797,2926763.5309,-5555623.0959,4986.9743,3974.4017,4295.1525,2444573.6015,2926779.2495,-5555699.9869,4986.9893,3974.4128,4295.1384,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-9.393,-23.972,0.0,-1.0,0.0,0.0,0.0,-1.0,4.234652878336075,0.021213203435596427,-0.32083,4.209399140827284,11.314197044139362,,
0.9772,64.168,3.498,-2.394,60.223,3.264,-1.981,0.01,0.021,0.003,0.01,0.021,0.003,1.427,5.993,-4.5,0.0,-0.0,0.0,0.0,-0.0,0.0,869.995,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6755,-0.7068,-0.2101,-0.7115,-0.6996,0.0663,-0.1939,0.1047,-0.9754,0.676,-0.1966,0.7102,-0.7316,-0.0636,0.6788,-0.0883,-0.9784,-0.1868,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0151,-0.0111,0.0141,-3.4248,-15.7209,76.8939,0.0,0.0435,-0.3711,0.0,0.0,0.0,2445587.8363,2927574.5323,-5554746.4071,4986.3242,3973.6235,4296.6294,2445591.2611,2927590.2532,-5554823.301,4986.3393,3973.6346,4296.6153,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-9.393,-23.972,0.0,-1.0,0.0,0.0,0.0,-1.0,4.238778125828245,0.021213203435596427,-0.32084,4.212163953738164,11.314549698100782,,
1.1786,64.17,3.502,-2.393,60.225,3.268,-1.98,0.01,0.021,0.003,0.01,0.021,0.003,1.427,5.993,-4.5,0.0,-0.0,0.0,0.0,-0.0,0.0,869.995,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6755,-0.7068,-0.2101,-0.7115,-0.6996,0.0663,-0.1939,0.1047,-0.9754,0.676,-0.1966,0.7102,-0.7316,-0.0636,0.6788,-0.0883,-0.9784,-0.1868,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0151,-0.0111,0.0142,-3.4279,-15.7231,76.8967,0.0,0.0435,-0.3711,0.0,0.0,0.0,2446592.1535,2928374.8508,-5553880.8044,4985.6823,3972.8552,4298.0869,2446595.5814,2928390.5739,-5553957.7011,4985.6975,3972.8663,4298.0727,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-9.393,-23.972,0.0,-1.0,0.0,0.0,0.0,-1.0,4.241515413151294,0.021213203435596427,-0.32085,4.212737845315294,11.314902352062198,,
1.3788,64.172,3.506,-2.392,60.227,3.272,-1.979,0.01,0.021,0.003,0.01,0.021,0.003,1.427,5.993,-4.5,0.0,-0.0,0.0,0.0,-0.0,0.0,869.995,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6755,-0.7068,-0.2101,-0.7115,-0.6996,0.0663,-0.1939,0.1047,-0.9754,0.676,-0.1966,0.7102,-0.7316,-0.0636,0.6788,-0.0883,-0.9784,-0.1868,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0151,-0.0111,0.0142,-3.4309,-15.7253,76.8995,0.0,0.0435,-0.3711,0.0,0.0,0.0,2447591.9677,2929171.5298,-5553018.6788,4985.043,3972.09,4299.5378,2447595.3986,2929187.2551,-5553095.5784,4985.0581,3972.1011,4299.5236,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-9.393,-23.972,0.0,-1.0,0.0,0.0,0.0,-1.0,4.24425494050487,0.021213203435596427,-0.32086,4.213314731278624,11.315255006023614,,
1.5826,64.174,3.51,-2.392,60.229,3.277,-1.979,0.01,0.021,0.003,0.01,0.021,0.003,1.427,5.993,-4.5,0.0,-0.0,0.0,0.0,-0.0,0.0,869.995,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6755,-0.7068,-0.2101,-0.7115,-0.6996,0.0663,-0.1939,0.1047,-0.9754,0.676,-0.1966,0.7102,-0.7316,-0.0636,0.6788,-0.0883,-0.9784,-0.1868,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0152,-0.0112,0.0142,-3.434,-15.7276,76.9024,0.0,0.0435,-0.3711,0.0,0.0,0.0,2448604.2386,2929978.0821,-5552145.4044,4984.3954,3971.315,4301.0068,2448607.6726,2929993.8097,-5552222.3068,4984.4105,3971.3261,4300.9926,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-9.393,-23.972,0.0,-1.0,0.0,0.0,0.0,-1.0,4.247559770032671,0.021213203435596427,-0.32087000000000004,4.2114840578223465,11.315607659985032,,
1.7826,64.176,3.515,-2.391,60.231,3.281,-1.978,0.01,0.021,0.003,0.01,0.021,0.003,1.427,5.993,-4.5,0.0,-0.0,0.0,0.0,-0.0,0.0,869.995,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6755,-0.7068,-0.2101,-0.7115,-0.6996,0.0663,-0.1939,0.1047,-0.9754,0.676,-0.1966,0.7102,-0.7316,-0.0636,0.6788,-0.0883,-0.9784,-0.1868,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0152,-0.0112,0.0142,-3.437,-15.7298,76.9053,0.0,0.0435,-0.3711,0.0,0.0,0.0,2449601.6476,2930772.7416,-5551284.5459,4983.7569,3970.551,4302.4541,2449605.0846,2930788.4715,-5551361.4512,4983.772,3970.5622,4302.4399,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-9.393,-23.972,0.0,-1.0,0.0,0.0,0.0,-1.0,4.251129967432188,0.021213203435596427,-0.32088,4.213491940364144,11.315960313946448,,
1.9836,64.178,3.519,-2.39,60.233,3.285,-1.977,0.01,0.021,0.003,0.01,0.021,0.003,1.427,5.993,-4.5,0.0,-0.0,0.0,0.0,-0.0,0.0,869.995,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6755,-0.7068,-0.2101,-0.7115,-0.6996,0.0663,-0.1939,0.1047,-0.9754,0.676,-0.1966,0.7102,-0.7316,-0.0636,0.6788,-0.0883,-0.9784,-0.1868,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0152,-0.0112,0.0143,-3.4401,-15.7321,76.9081,0.0,0.0435,-0.3711,0.0,0.0,0.0,2450603.6268,2931570.9906,-5550419.3428,4983.1151,3969.7832,4303.908,2450607.0668,2931586.7227,-5550496.2509,4983.1303,3969.7944,4303.8938,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-9.393,-23.972,0.0,-1.0,0.0,0.0,0.0,-1.0,4.253875997252388,0.021213203435596427,-0.32089,4.21407850642179,11.316312967907864,,
2.188,64.18,3.523,-2.39,60.235,3.289,-1.977,0.01,0.021,0.003,0.01,0.021,0.003,1.427,5.993,-4.5,0.0,-0.0,0.0,0.0,-0.0,0.0,869.995,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6755,-0.7068,-0.2101,-0.7115,-0.6996,0.0663,-0.1939,0.1047,-0.9754,0.676,-0.1966,0.7102,-0.7316,-0.0636,0.6788,-0.0883,-0.9784,-0.1868,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0152,-0.0112,0.0143,-3.4432,-15.7344,76.911,0.0,0.0435,-0.3711,0.0,0.0,0.0,2451622.2031,2932382.4095,-5549539.3922,4982.4624,3969.0024,4305.386,2451625.6463,2932398.1439,-5549616.3032,4982.4776,3969.0137,4305.3717,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-9.393,-23.972,0.0,-1.0,0.0,0.0,0.0,-1.0,4.25718557265243,0.021213203435596427,-0.3209,4.213775579873819,11.316665621869284,,
2.3934,64.183,3.527,-2.389,60.237,3.294,-1.976,0.01,0.021,0.003,0.01,0.021,0.003,1.427,5.993,-4.5,0.0,-0.0,0.0,0.0,-0.0,0.0,869.995,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6755,-0.7068,-0.2101,-0.7115,-0.6996,0.0663,-0.1939,0.1047,-0.9754,0.676,-0.1966,0.7102,-0.7316,-0.0636,0.6788,-0.0883,-0.9784,-0.1868,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0152,-0.0112,0.0143,-3.4463,-15.7367,76.914,0.0,0.0435,-0.3711,0.0,0.0,0.0,2452644.978,2933197.1192,-5548655.3955,4981.8066,3968.2181,4306.8701,2452648.4243,2933212.8559,-5548732.3095,4981.8218,3968.2293,4306.8558,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-9.393,-23.972,0.0,-1.0,0.0,0.0,0.0,-1.0,4.259935445520272,0.021213203435596427,-0.32091500000000006,4.21133127891309,11.317194602811409,,
2.5943,64.185,3.532,-2.388,60.239,3.298,-1.975,0.01,0.021,0.003,0.01,0.021,0.003,1.427,5.993,-4.5,0.0,-0.0,0.0,0.0,-0.0,0.0,869.995,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6755,-0.7068,-0.2101,-0.7115,-0.6996,0.0663,-0.1939,0.1047,-0.9754,0.676,-0.1966,0.7102,-0.7316,-0.0636,0.6788,-0.0883,-0.9784,-0.1868,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0153,-0.0113,0.0143,-3.4494,-15.739,76.9169,0.0,0.0435,-0.3711,0.0,0.0,0.0,2453644.0496,2933992.8958,-5547791.4784,4981.1656,3967.4516,4308.3197,2453647.4989,2934008.6348,-5547868.3953,4981.1809,3967.4629,4308.3053,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-9.393,-23.972,0.0,-1.0,0.0,0.0,0.0,-1.0,4.263515919989041,0.021213203435596427,-0.320925,4.213298344872312,11.317547256772825,,
2.7968,64.187,3.536,-2.387,60.241,3.302,-1.975,0.01,0.021,0.003,0.01,0.021,0.003,1.427,5.993,-4.5,0.0,-0.0,0.0,0.0,-0.0,0.0,869.995,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6755,-0.7068,-0.2101,-0.7115,-0.6996,0.0663,-0.1939,0.1047,-0.9754,0.676,-0.1966,0.7102,-0.7316,-0.0636,0.6788,-0.0883,-0.9784,-0.1868,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0153,-0.0113,0.0144,-3.4525,-15.7412,76.9198,0.0,0.0435,-0.3711,0.0,0.0,0.0,2454654.5338,2934797.7104,-5546917.2851,4980.517,3966.6761,4309.7858,2454657.9863,2934813.4516,-5546994.2049,4980.5323,3966.6874,4309.7714,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-9.393,-23.972,0.0,-1.0,0.0,0.0,0.0,-1.0,4.266270619639593,0.021213203435596427,-0.32093499999999997,4.198741240343856,11.31789991073424,,
3.1438,64.189,3.54,-2.387,60.243,3.306,-1.974,0.01,0.021,0.003,0.01,0.021,0.003,1.427,5.993,-4.5,0.0,-0.0,0.0,0.0,-0.0,0.0,869.995,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6755,-0.7068,-0.2101,-0.7115,-0.6996,0.0663,-0.1939,0.1047,-0.9754,0.676,-0.1966,0.7102,-0.7316,-0.0636,0.6788,-0.0883,-0.9784,-0.1868,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0153,-0.0113,0.0144,-3.4555,-15.7435,76.9226,0.0,0.0435,-0.3711,0.0,0.0,0.0,2455638.9526,2935581.7142,-5546065.2455,4979.8848,3965.9203,4311.2141,2455642.4081,2935597.4577,-5546142.1681,4979.9001,3965.9316,4311.1997,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-9.393,-23.972,0.0,-1.0,0.0,0.0,0.0,-1.0,4.269586513937854,0.021213203435596427,-0.320945,4.213608236552479,11.318252564695657,,
3.3451,64.192,3.548,-2.386,60.247,3.314,-1.973,0.01,0.021,0.003,0.01,0.021,0.003,1.427,5.993,-4.5,0.0,-0.0,0.0,0.0,-0.0,0.0,869.995,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6755,-0.7068,-0.2101,-0.7115,-0.6996,0.0663,-0.1939,0.1047,-0.9754,0.676,-0.1966,0.7102,-0.7316,-0.0636,0.6788,-0.0883,-0.9784,-0.1868,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0153,-0.0113,0.0144,-3.4608,-15.7474,76.9276,0.0,0.0435,-0.3711,0.0,0.0,0.0,2457362.5839,2936954.3166,-5544572.4571,4978.777,3964.5961,4313.7147,2457366.0446,2936970.0639,-5544649.3847,4978.7924,3964.6075,4313.7003,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-9.393,-23.972,0.0,-1.0,0.0,0.0,0.0,-1.0,4.275663691171232,0.021213203435596427,-0.32095999999999997,4.215502753032602,11.318781545637782,,
3.5468,64.194,3.552,-2.385,60.249,3.318,-1.972,0.01,0.021,0.003,0.01,0.021,0.003,1.427,5.993,-4.5,0.0,-0.0,0.0,0.0,-0.0,0.0,869.995,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6755,-0.7068,-0.2101,-0.7115,-0.6996,0.0663,-0.1939,0.1047,-0.9754,0.676,-0.1966,0.7102,-0.7316,-0.0636,0.6788,-0.0883,-0.9784,-0.1868,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0153,-0.0114,0.0145,-3.4639,-15.7497,76.9305,0.0,0.0435,-0.3711,0.0,0.0,0.0,2458369.3969,2937756.0148,-5543699.9294,4978.1295,3963.8223,4315.1754,2458372.8608,2937771.7645,-5543776.8599,4978.1448,3963.8336,4315.1609,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-9.393,-23.972,0.0,-1.0,0.0,0.0,0.0,-1.0,4.278425995620352,0.021213203435596427,-0.32097000000000003,4.216113787624087,11.319134199599201,,
3.7551,64.197,3.556,-2.384,60.251,3.323,-1.971,0.01,0.021,0.003,0.01,0.021,0.003,1.427,5.993,-4.5,0.0,-0.0,0.0,0.0,-0.0,0.0,869.995,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6755,-0.7068,-0.2101,-0.7115,-0.6996,0.0663,-0.1939,0.1047,-0.9754,0.676,-0.1966,0.7102,-0.7316,-0.0636,0.6788,-0.0883,-0.9784,-0.1868,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0154,-0.0114,0.0145,-3.4671,-15.7521,76.9335,0.0,0.0435,-0.3711,0.0,0.0,0.0,2459406.8567,2938582.0613,-5542800.4168,4977.4619,3963.0245,4316.6805,2459410.3238,2938597.8133,-5542877.3504,4977.4772,3963.0359,4316.666,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-9.393,-23.972,0.0,-1.0,0.0,0.0,0.0,-1.0,4.281190488637477,0.021213203435596427,-0.320985,4.213788226266267,11.319663180541326,,
3.9634,64.199,3.561,-2.384,60.253,3.327,-1.971,0.01,0.021,0.003,0.01,0.021,0.003,1.427,5.993,-4.5,0.0,-0.0,0.0,0.0,-0.0,0.0,869.995,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6755,-0.7068,-0.2101,-0.7115,-0.6996,0.0663,-0.1939,0.1047,-0.9754,0.676,-0.1966,0.7102,-0.7316,-0.0636,0.6788,-0.0883,-0.9784,-0.1868,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0154,-0.0114,0.0145,-3.4703,-15.7544,76.9366,0.0,0.0435,-0.3711,0.0,0.0,0.0,2460440.6608,2939405.1421,-5541903.64,4976.7962,3962.2292,4318.1802,2460444.131,2939420.8965,-5541980.5765,4976.8116,3962.2406,4318.1657,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-9.393,-23.972,0.0,-1.0,0.0,0.0,0.0,-1.0,4.2853444435657675,0.021213203435596427,-0.320995,4.214796369826286,11.320015834502742,,
4.1663,64.201,3.565,-2.383,60.255,3.331,-1.97,0.01,0.021,0.003,0.01,0.021,0.003,1.427,5.993,-4.5,0.0,-0.0,0.0,0.0,-0.0,0.0,869.995,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6755,-0.7068,-0.2101,-0.7115,-0.6996,0.0663,-0.1939,0.1047,-0.9754,0.676,-0.1966,0.7102,-0.7316,-0.0636,0.6788,-0.0883,-0.9784,-0.1868,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0154,-0.0114,0.0145,-3.4734,-15.7568,76.9395,0.0,0.0435,-0.3711,0.0,0.0,0.0,2461458.7897,2940215.6884,-5541020.0416,4976.1403,3961.4457,4319.6572,2461462.2632,2940231.4452,-5541096.9812,4976.1557,3961.4571,4319.6426,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-9.393,-23.972,0.0,-1.0,0.0,0.0,0.0,-1.0,4.288113104851597,0.021213203435596427,-0.321005,4.2154176316047005,11.320368488464158,,
4.3726,64.203,3.57,-2.382,60.258,3.336,-1.969,0.01,0.021,0.003,0.01,0.021,0.003,1.427,5.993,-4.5,0.0,-0.0,0.0,0.0,-0.0,0.0,869.995,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6755,-0.7068,-0.2101,-0.7115,-0.6996,0.0663,-0.1939,0.1047,-0.9754,0.676,-0.1966,0.7102,-0.7316,-0.0636,0.6788,-0.0883,-0.9784,-0.1868,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0154,-0.0114,0.0146,-3.4766,-15.7591,76.9425,0.0,0.0435,-0.3711,0.0,0.0,0.0,2462484.3327,2941032.0836,-5540129.5831,4975.4793,3960.6561,4321.1448,2462487.8093,2941047.8427,-5540206.5257,4975.4947,3960.6676,4321.1303,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-9.393,-23.972,0.0,-1.0,0.0,0.0,0.0,-1.0,4.291715740819749,0.021213203435596427,-0.321015,4.217560708942713,11.320721142425578,,
4.5758,64.205,3.574,-2.382,60.26,3.34,-1.969,0.011,0.021,0.003,0.011,0.021,0.003,1.427,5.993,-4.5,0.0,-0.0,0.0,0.0,-0.0,0.0,869.995,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6755,-0.7068,-0.2101,-0.7115,-0.6996,0.0663,-0.1939,0.1047,-0.9754,0.676,-0.1966,0.7102,-0.7316,-0.0636,0.6788,-0.0883,-0.9784,-0.1868,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0154,-0.0115,0.0146,-3.4797,-15.7614,76.9455,0.0,0.0435,-0.3711,0.0,0.0,0.0,2463492.5052,2941834.5979,-5539253.7932,4974.829,3959.8796,4322.6072,2463495.985,2941850.3593,-5539330.7387,4974.8445,3959.8911,4322.5927,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-9.393,-23.972,0.0,-1.0,0.0,0.0,0.0,-1.0,4.295043655191411,0.021213203435596427,-0.321025,4.217294972204418,11.321073796386994,,
4.7811,64.207,3.578,-2.381,60.262,3.345,-1.968,0.011,0.022,0.003,0.011,0.022,0.003,1.427,5.993,-4.5,0.0,-0.0,0.0,0.0,-0.0,0.0,869.995,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6755,-0.7068,-0.2101,-0.7115,-0.6996,0.0663,-0.1939,0.1047,-0.9754,0.676,-0.1966,0.7102,-0.7316,-0.0636,0.6788,-0.0883,-0.9784,-0.1868,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0155,-0.0115,0.0146,-3.4829,-15.7638,76.9485,0.0,0.0435,-0.3711,0.0,0.0,0.0,2464515.5657,2942648.9092,-5538364.6513,4974.1689,3959.0913,4324.0912,2464519.0486,2942664.673,-5538441.5998,4974.1843,3959.1028,4324.0766,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-9.393,-23.972,0.0,-1.0,0.0,0.0,0.0,-1.0,4.297818632748478,0.022203603311174516,-0.32103499999999996,4.216624629595256,11.32142645034841,,
4.9857,64.21,3.583,-2.38,60.264,3.349,-1.967,0.011,0.022,0.003,0.011,0.022,0.003,1.427,5.993,-4.5,0.0,-0.0,0.0,0.0,-0.0,0.0,869.995,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6755,-0.7068,-0.2101,-0.7115,-0.6996,0.0663,-0.1939,0.1047,-0.9754,0.676,-0.1966,0.7102,-0.7316,-0.0636,0.6788,-0.0883,-0.9784,-0.1868,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0155,-0.0115,0.0146,-3.4861,-15.7662,76.9515,0.0,0.0435,-0.3711,0.0,0.0,0.0,2465539.1528,2943463.5861,-5537474.6255,4973.508,3958.3023,4325.5759,2465542.6389,2943479.3522,-5537551.577,4973.5235,3958.3138,4325.5613,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-9.393,-23.972,0.0,-1.0,0.0,0.0,0.0,-1.0,4.30142871613607,0.022203603311174516,-0.32104999999999995,4.216910297376775,11.321955431290535,,
