SimTime,COG Pos.x [m],COG Pos.y [m],COG Pos.z [m],Port Pos.x [m],Port Pos.y [m],Port Pos.z [m],COG Vel.x [m],COG Vel.y [m],COG Vel.z [m],Port Vel.x [m],Port Vel.y [m],Port Vel.z [m],Rot Angle.x [deg],Rot Angle.y [deg],Rot Angle.z [deg],Rot. Rate.x [deg/s],Rot. Rate.y [deg/s],Rot. Rate.z [deg/s],Rot. Rate.x [deg/s] (VLCS),Rot. Rate.y [deg/s] (VLCS),Rot. Rate.Z [deg/s] (VLCS),Tank mass [kg],THC.z,THC.y,THC.x,RHC.z,RHC.y,RHC.x,MFDLeft,MFDRight,MyROT.m11,MyROT.m12,MyROT.m13,MyROT.m21,MyROT.m22,MyROT.m23,MyROT.m31,MyROT.m32,MyROT.m33,TgtRot.m11,TgtRot.m12,TgtRot.m13,TgtRot.m21,TgtRot.m22,TgtRot.m23,TgtRot.m31,TgtRot.m32,TgtRot.m33,MyAngVel.x,MyAngVel.y,MyAngVel.z,TgtAngVel.x,TgtAngVel.y,TgtAngVel.z,RelPos.x,RelPos.y,RelPos.z,RelVel.x,RelVel.y,RelVel.z,MySs.x,MySs.y,MySs.z,TgtSs.x,TgtSs.y,TgtSs.z,MyLVPos.x,MyLVPos.y,MyLVPos.z,MyLVVel.x,MyLVVel.y,MyLVVel.z,TgtLVPos.x,TgtLVPos.y,TgtLVPos.z,TgtLVVel.x,TgtLVVel.y,TgtLVVel.z,MyDockPos.x,MyDockPos.y,MyDockPos.z,MyDockDir.x,MyDockDir.y,MyDockDir.z,MyDockRot.x,MyDockRot.y,MyDockRot.z,TgtDockPos.x,TgtDockPos.y,TgtDockPos.z,TgtDockDir.x,TgtDockDir.y,TgtDockDir.z,TgtDockRot.x,TgtDockRot.y,TgtDockRot.z,Lateral Offset,Lateral Velocity,Ideal Approach Vel,Angle to Port,Approach Cone,Max Rot Angle,Max Rot Velocity
0.1632,64.16,3.481,-2.396,60.214,3.247,-1.983,0.01,0.021,0.003,0.01,0.021,0.003,1.427,5.993,-4.5,0.0,-0.0,0.0,0.0,-0.0,0.0,869.995,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6755,-0.7068,-0.2101,-0.7115,-0.6996,0.0663,-0.1939,0.1047,-0.9754,0.676,-0.1966,0.7102,-0.7316,-0.0636,0.6788,-0.0883,-0.9784,-0.1868,0.0,-0.0,0.0,0.0,0.0,0.0,-0.015,-0.011,0.014,-3.4126,-15.7119,76.8824,0.0,0.0435,-0.3711,0.0,0.0,0.0,2441502.0479,2924340.887,-5558125.0508,4988.9137,3976.7242,4290.7411,2441505.4605,2924356.5988,-5558201.9332,4988.9287,3976.7352,4290.7271,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-9.393,-23.972,0.0,-1.0,0.0,0.0,0.0,-1.0,4.225893633304085,0.021213203435596427,-0.3208,4.210166183520733,11.313139082255113,,
0.368,64.162,3.485,-2.396,60.216,3.251,-1.983,0.01,0.021,0.003,0.01,0.021,0.003,1.427,5.993,-4.5,0.0,-0.0,0.0,0.0,-0.0,0.0,869.995,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6755,-0.7068,-0.2101,-0.7115,-0.6996,0.0663,-0.1939,0.1047,-0.9754,0.676,-0.1966,0.7102,-0.7316,-0.0636,0.6788,-0.0883,-0.9784,-0.1868,0.0,-0.0,0.0,0.0,0.0,0.0,-0.015,-0.011,0.014,-3.4157,-15.7141,76.8853,0.0,0.0435,-0.3711,0.0,0.0,0.0,2442526.0911,2925157.1375,-5557244.1069,4988.2606,3975.942,4292.2274,2442529.5067,2925172.8516,-5557320.9921,4988.2756,3975.953,4292.2133,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-9.393,-23.972,0.0,-1.0,0.0,0.0,0.0,-1.0,4.229189165785801,0.021213203435596427,-0.32081000000000004,4.209836040180367,11.31349173621653,,
0.5722,64.164,3.489,-2.395,60.218,3.255,-1.982,0.01,0.021,0.003,0.01,0.021,0.003,1.427,5.993,-4.5,0.0,-0.0,0.0,0.0,-0.0,0.0,869.995,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6755,-0.7068,-0.2101,-0.7115,-0.6996,0.0663,-0.1939,0.1047,-0.9754,0.676,-0.1966,0.7102,-0.7316,-0.0636,0.6788,-0.0883,-0.9784,-0.1868,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0151,-0.0111,0.0141,-3.4187,-15.7164,76.8882,0.0,0.0435,-0.3711,0.0,0.0,0.0,2443543.2995,2925967.8864,-5556368.629,4987.6115,3975.1647,4293.7037,2443546.7182,2925983.6028,-5556445.5172,4987.6266,3975.1758,4293.6897,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-9.393,-23.972,0.0,-1.0,0.0,0.0,0.0,-1.0,4.231919895272121,0.021213203435596427,-0.32082,4.210400858293511,11.313844390177946,,
0.7776,64.166,3.494,-2.394,60.221,3.26,-1.981,0.01,0.021,0.003,0.01,0.021,0.003,1.427,5.993,-4.5,0.0,-0.0,0.0,0.0,-0.0,0.0,869.995,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6755,-0.7068,-0.2101,-0.7115,-0.6996,0.0663,-0.1939,0.1047,-0.9754,0.676,-0.1966,0.7102,-0.7316,-0.0636,0.6788,-0.0883,-0.9784,-0.1868,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0151,-0.0111,0.0141,-3.4218,-15.7187,76.891,0.0,0.0435,-0.3711,0.0,0.0,0.0,2444569.0237,2926785.3696,-5555485.399,4986.9566,3974.3806,4295.1924,2444572.4456,2926801.0882,-5555562.29,4986.9717,3974.3917,4295.1783,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-9.393,-23.972,0.0,-1.0,0.0,0.0,0.0,-1.0,4.235477777063646,0.021213203435596427,-0.32083,4.21248516709142,11.314197044139362,,
0.9802,64.168,3.498,-2.394,60.223,3.264,-1.981,0.01,0.021,0.003,0.01,0.021,0.003,1.427,5.993,-4.5,0.0,-0.0,0.0,0.0,-0.0,0.0,869.995,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6755,-0.7068,-0.2101,-0.7115,-0.6996,0.0663,-0.1939,0.1047,-0.9754,0.676,-0.1966,0.7102,-0.7316,-0.0636,0.6788,-0.0883,-0.9784,-0.1868,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0151,-0.0111,0.0141,-3.4249,-15.7209,76.8939,0.0,0.0435,-0.3711,0.0,0.0,0.0,2445579.1203,2927590.3447,-5554615.2152,4986.3114,3973.6081,4296.6584,2445582.5452,2927606.0656,-5554692.1091,4986.3265,3973.6192,4296.6442,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-9.393,-23.972,0.0,-1.0,0.0,0.0,0.0,-1.0,4.238778125828245,0.021213203435596427,-0.32084,4.212163953738164,11.314549698100782,,
1.1862,64.17,3.502,-2.393,60.225,3.268,-1.98,0.01,0.021,0.003,0.01,0.021,0.003,1.427,5.993,-4.5,0.0,-0.0,0.0,0.0,-0.0,0.0,869.995,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6755,-0.7068,-0.2101,-0.7115,-0.6996,0.0663,-0.1939,0.1047,-0.9754,0.676,-0.1966,0.7102,-0.7316,-0.0636,0.6788,-0.0883,-0.9784,-0.1868,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0151,-0.0111,0.0142,-3.428,-15.7232,76.8968,0.0,0.0435,-0.3711,0.0,0.0,0.0,2446606.2898,2928408.8719,-5553729.9035,4985.6549,3972.8223,4298.1491,2446609.7178,2928424.5951,-5553806.8004,4985.67,3972.8334,4298.1349,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-9.393,-23.972,0.0,-1.0,0.0,0.0,0.0,-1.0,4.241515413151294,0.021213203435596427,-0.32085,4.212737845315294,11.314902352062198,,
1.3914,64.172,3.506,-2.392,60.227,3.273,-1.979,0.01,0.021,0.003,0.01,0.021,0.003,1.427,5.993,-4.5,0.0,-0.0,0.0,0.0,-0.0,0.0,869.995,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6755,-0.7068,-0.2101,-0.7115,-0.6996,0.0663,-0.1939,0.1047,-0.9754,0.676,-0.1966,0.7102,-0.7316,-0.0636,0.6788,-0.0883,-0.9784,-0.1868,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0151,-0.0111,0.0142,-3.4311,-15.7255,76.8997,0.0,0.0435,-0.3711,0.0,0.0,0.0,2447629.5332,2929224.2169,-5552847.5538,4985.0005,3972.0391,4299.634,2447632.9643,2929239.9424,-5552924.4535,4985.0157,3972.0503,4299.6198,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-9.393,-23.972,0.0,-1.0,0.0,0.0,0.0,-1.0,4.24425494050487,0.021213203435596427,-0.32086,4.211783905206814,11.315255006023614,,
1.5974,64.174,3.511,-2.391,60.229,3.277,-1.979,0.01,0.021,0.003,0.01,0.021,0.003,1.427,5.993,-4.5,0.0,-0.0,0.0,0.0,-0.0,0.0,869.995,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6755,-0.7068,-0.2101,-0.7115,-0.6996,0.0663,-0.1939,0.1047,-0.9754,0.676,-0.1966,0.7102,-0.7316,-0.0636,0.6788,-0.0883,-0.9784,-0.1868,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0152,-0.0112,0.0142,-3.4342,-15.7278,76.9026,0.0,0.0435,-0.3711,0.0,0.0,0.0,2448653.689,2930040.2355,-5551963.9936,4984.3452,3971.2549,4301.1202,2448657.1232,2930055.9633,-5552040.8963,4984.3604,3971.2661,4301.106,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-9.393,-23.972,0.0,-1.0,0.0,0.0,0.0,-1.0,4.2478232072439175,0.021213203435596427,-0.32087000000000004,4.1986487114173565,11.315607659985032,,
1.802,64.176,3.515,-2.391,60.231,3.281,-1.978,0.01,0.021,0.003,0.01,0.021,0.003,1.427,5.993,-4.5,0.0,-0.0,0.0,0.0,-0.0,0.0,869.995,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6755,-0.7068,-0.2101,-0.7115,-0.6996,0.0663,-0.1939,0.1047,-0.9754,0.676,-0.1966,0.7102,-0.7316,-0.0636,0.6788,-0.0883,-0.9784,-0.1868,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0152,-0.0112,0.0142,-3.4373,-15.7301,76.9056,0.0,0.0435,-0.3711,0.0,0.0,0.0,2449679.4079,2930857.4449,-5551078.6658,4983.6886,3970.4692,4302.6087,2449682.8452,2930873.1749,-5551155.5714,4983.7037,3970.4804,4302.5945,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-9.393,-23.972,0.0,-1.0,0.0,0.0,0.0,-1.0,4.251129967432188,0.021213203435596427,-0.32088,4.213491940364144,11.315960313946448,,
2.0063,64.179,3.519,-2.39,60.233,3.286,-1.977,0.01,0.021,0.003,0.01,0.021,0.003,1.427,5.993,-4.5,0.0,-0.0,0.0,0.0,-0.0,0.0,869.995,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6755,-0.7068,-0.2101,-0.7115,-0.6996,0.0663,-0.1939,0.1047,-0.9754,0.676,-0.1966,0.7102,-0.7316,-0.0636,0.6788,-0.0883,-0.9784,-0.1868,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0152,-0.0112,0.0143,-3.4404,-15.7324,76.9085,0.0,0.0435,-0.3711,0.0,0.0,0.0,2450694.4185,2931666.07,-5550202.1619,4983.0384,3969.6914,4304.0816,2450697.8589,2931681.8024,-5550279.0704,4983.0536,3969.7026,4304.0673,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-9.393,-23.972,0.0,-1.0,0.0,0.0,0.0,-1.0,4.253875997252388,0.021213203435596427,-0.320895,4.2110150412731295,11.316489294888575,,
