SimTime,COG Pos.x [m],COG Pos.y [m],COG Pos.z [m],Port Pos.x [m],Port Pos.y [m],Port Pos.z [m],COG Vel.x [m],COG Vel.y [m],COG Vel.z [m],Port Vel.x [m],Port Vel.y [m],Port Vel.z [m],Rot Angle.x [deg],Rot Angle.y [deg],Rot Angle.z [deg],Rot. Rate.x [deg/s],Rot. Rate.y [deg/s],Rot. Rate.z [deg/s],Rot. Rate.x [deg/s] (VLCS),Rot. Rate.y [deg/s] (VLCS),Rot. Rate.Z [deg/s] (VLCS),Tank mass [kg],THC.z,THC.y,THC.x,RHC.z,RHC.y,RHC.x,MFDLeft,MFDRight,MyROT.m11,MyROT.m12,MyROT.m13,MyROT.m21,MyROT.m22,MyROT.m23,MyROT.m31,MyROT.m32,MyROT.m33,TgtRot.m11,TgtRot.m12,TgtRot.m13,TgtRot.m21,TgtRot.m22,TgtRot.m23,TgtRot.m31,TgtRot.m32,TgtRot.m33,MyAngVel.x,MyAngVel.y,MyAngVel.z,TgtAngVel.x,TgtAngVel.y,TgtAngVel.z,RelPos.x,RelPos.y,RelPos.z,RelVel.x,RelVel.y,RelVel.z,MySs.x,MySs.y,MySs.z,TgtSs.x,TgtSs.y,TgtSs.z,MyLVPos.x,MyLVPos.y,MyLVPos.z,MyLVVel.x,MyLVVel.y,MyLVVel.z,TgtLVPos.x,TgtLVPos.y,TgtLVPos.z,TgtLVVel.x,TgtLVVel.y,TgtLVVel.z,MyDockPos.x,MyDockPos.y,MyDockPos.z,MyDockDir.x,MyDockDir.y,MyDockDir.z,MyDockRot.x,MyDockRot.y,MyDockRot.z,TgtDockPos.x,TgtDockPos.y,TgtDockPos.z,TgtDockDir.x,TgtDockDir.y,TgtDockDir.z,TgtDockRot.x,TgtDockRot.y,TgtDockRot.z,Lateral Offset,Lateral Velocity,Ideal Approach Vel,Angle to Port,Approach Cone,Max Rot Angle,Max Rot Velocity
0.1829,83.465,-25.797,3.694,79.796,-24.281,3.524,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.343,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.977,-0.0395,-0.2096,-0.2099,-0.3519,-0.9122,-0.0378,0.9352,-0.3521,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.091,-0.015,0.109,41.3932,114.8872,18.3001,0.0,0.0435,-0.3742,0.0,0.0,0.0,4230558.8026,3320447.5285,4046252.6824,-3057.8422,-3553.1145,6107.6595,4230517.4094,3320332.6413,4046234.3823,-3057.7513,-3553.0995,6107.5505,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.060139005768946,0.15472879499304582,-0.417325,6.18898193463615,14.71713144483203,,
0.384,83.452,-25.828,3.691,79.784,-24.31,3.521,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.372,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9771,-0.0395,-0.2093,-0.2096,-0.3523,-0.9121,-0.0376,0.9351,-0.3525,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0909,-0.015,0.1091,41.3749,114.8842,18.3221,0.0,0.0435,-0.3742,0.0,0.0,0.0,4229942.9958,3319732.0226,4047482.3483,-3058.9559,-3553.9886,6106.5941,4229901.6208,3319617.1383,4047464.0262,-3058.865,-3553.9736,6106.485,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.090401779198416,0.15472879499304582,-0.41725999999999996,6.20059361145881,14.714839194082819,,
0.5854,83.439,-25.859,3.688,79.771,-24.339,3.518,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.4,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9771,-0.0396,-0.2089,-0.2093,-0.3526,-0.9121,-0.0375,0.9349,-0.3528,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0909,-0.015,0.1091,41.3566,114.8812,18.344,0.0,0.0435,-0.3742,0.0,0.0,0.0,4229327.5322,3319017.0003,4048710.6679,-3060.0685,-3554.8617,6105.5293,4229286.1756,3318902.1191,4048692.3238,-3059.9776,-3554.8467,6105.4202,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.120666626255925,0.15472879499304582,-0.417195,6.20649077159773,14.712546943333608,,
0.8413,83.428,-25.886,3.685,79.761,-24.365,3.515,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.425,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9772,-0.0397,-0.2086,-0.209,-0.3529,-0.912,-0.0374,0.9348,-0.3531,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0909,-0.015,0.1092,41.3408,114.8786,18.3631,0.0,0.0435,-0.3742,0.0,0.0,0.0,4228793.3545,3318396.4807,4049776.2237,-3061.0336,-3555.6191,6104.6052,4228752.0138,3318281.6021,4049757.8607,-3060.9428,-3555.6041,6104.496,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.146973457744586,0.15472879499304582,-0.41714,6.207058011896456,14.710607346545816,,
1.0434,83.409,-25.929,3.681,79.743,-24.406,3.511,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.465,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9773,-0.0398,-0.2081,-0.2086,-0.3533,-0.912,-0.0372,0.9347,-0.3536,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0908,-0.015,0.1092,41.315,114.8743,18.394,0.0,0.0435,-0.3742,0.0,0.0,0.0,4227926.2857,3317389.3988,4051504.7599,-3062.5993,-3556.8476,6103.1053,4227884.9707,3317274.5244,4051486.366,-3062.5085,-3556.8327,6102.9961,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.188982454459737,0.15472879499304582,-0.41704500000000005,6.209969334877363,14.707257133912357,,
1.2436,83.396,-25.96,3.678,79.731,-24.435,3.508,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.493,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9774,-0.0399,-0.2078,-0.2083,-0.3536,-0.9119,-0.0371,0.9345,-0.3539,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0908,-0.015,0.1092,41.2969,114.8714,18.4157,0.0,0.0435,-0.3742,0.0,0.0,0.0,4227316.1653,3316680.8567,4052720.2752,-3063.7004,-3557.7115,6102.05,4227274.8683,3316565.9853,4052701.8594,-3063.6096,-3557.6966,6101.9407,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.219254070243874,0.15472879499304582,-0.41698,6.221581115880121,14.704964883163145,,
1.4456,83.383,-25.991,3.675,79.719,-24.464,3.505,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.522,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9774,-0.0399,-0.2074,-0.2079,-0.3539,-0.9119,-0.037,0.9344,-0.3543,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0907,-0.015,0.1093,41.2785,114.8683,18.4379,0.0,0.0435,-0.3742,0.0,0.0,0.0,4226693.9732,3315958.3808,4053959.1742,-3064.8226,-3558.592,6100.9738,4226652.6947,3315843.5124,4053940.7363,-3064.7319,-3558.5771,6100.8645,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.249527729084956,0.15472879499304582,-0.416915,6.233194310805217,14.702672632413934,,
1.6457,83.37,-26.022,3.672,79.706,-24.493,3.502,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.55,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9775,-0.04,-0.207,-0.2076,-0.3543,-0.9118,-0.0369,0.9343,-0.3546,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0907,-0.0149,0.1093,41.2604,114.8653,18.4598,0.0,0.0435,-0.3742,0.0,0.0,0.0,4226080.8373,3315246.5047,4055179.3837,-3065.928,-3559.4592,6099.9134,4226039.5769,3315131.6394,4055160.9239,-3065.8373,-3559.4442,6099.8041,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.27980342392233,0.15472879499304582,-0.41685,6.239057593441822,14.700380381664726,,
1.8473,83.357,-26.053,3.669,79.694,-24.522,3.499,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.578,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9776,-0.0401,-0.2067,-0.2073,-0.3546,-0.9118,-0.0367,0.9342,-0.3549,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0907,-0.0149,0.1094,41.2421,114.8623,18.4818,0.0,0.0435,-0.3742,0.0,0.0,0.0,4225462.8069,3314529.0299,4056408.6738,-3067.0416,-3560.3327,6098.8446,4225421.5647,3314414.1675,4056390.192,-3066.9509,-3560.3178,6098.7352,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.310081147727384,0.15472879499304582,-0.416785,6.250665510974478,14.698088130915515,,
2.0492,83.344,-26.084,3.666,79.682,-24.551,3.496,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.607,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9777,-0.0402,-0.2063,-0.207,-0.3549,-0.9117,-0.0366,0.934,-0.3553,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0906,-0.0149,0.1094,41.2238,114.8593,18.5039,0.0,0.0435,-0.3742,0.0,0.0,0.0,4224844.2473,3313811.0253,4057638.354,-3068.1556,-3561.2066,6097.7749,4224803.0235,3313696.166,4057619.8501,-3068.065,-3561.1916,6097.6655,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.340360893503338,0.15472879499304582,-0.41672,6.262274792356803,14.695795880166305,,
