SimTime,COG Pos.x [m],COG Pos.y [m],COG Pos.z [m],Port Pos.x [m],Port Pos.y [m],Port Pos.z [m],COG Vel.x [m],COG Vel.y [m],COG Vel.z [m],Port Vel.x [m],Port Vel.y [m],Port Vel.z [m],Rot Angle.x [deg],Rot Angle.y [deg],Rot Angle.z [deg],Rot. Rate.x [deg/s],Rot. Rate.y [deg/s],Rot. Rate.z [deg/s],Rot. Rate.x [deg/s] (VLCS),Rot. Rate.y [deg/s] (VLCS),Rot. Rate.Z [deg/s] (VLCS),Tank mass [kg],THC.z,THC.y,THC.x,RHC.z,RHC.y,RHC.x,MFDLeft,MFDRight,MyROT.m11,MyROT.m12,MyROT.m13,MyROT.m21,MyROT.m22,MyROT.m23,MyROT.m31,MyROT.m32,MyROT.m33,TgtRot.m11,TgtRot.m12,TgtRot.m13,TgtRot.m21,TgtRot.m22,TgtRot.m23,TgtRot.m31,TgtRot.m32,TgtRot.m33,MyAngVel.x,MyAngVel.y,MyAngVel.z,TgtAngVel.x,TgtAngVel.y,TgtAngVel.z,RelPos.x,RelPos.y,RelPos.z,RelVel.x,RelVel.y,RelVel.z,MySs.x,MySs.y,MySs.z,TgtSs.x,TgtSs.y,TgtSs.z,MyLVPos.x,MyLVPos.y,MyLVPos.z,MyLVVel.x,MyLVVel.y,MyLVVel.z,TgtLVPos.x,TgtLVPos.y,TgtLVPos.z,TgtLVVel.x,TgtLVVel.y,TgtLVVel.z,MyDockPos.x,MyDockPos.y,MyDockPos.z,MyDockDir.x,MyDockDir.y,MyDockDir.z,MyDockRot.x,MyDockRot.y,MyDockRot.z,TgtDockPos.x,TgtDockPos.y,TgtDockPos.z,TgtDockDir.x,TgtDockDir.y,TgtDockDir.z,TgtDockRot.x,TgtDockRot.y,TgtDockRot.z,Lateral Offset,Lateral Velocity,Ideal Approach Vel,Angle to Port,Approach Cone,Max Rot Angle,Max Rot Velocity,Shifted_SimTime
0.1205,83.468,-25.79,3.695,79.799,-24.275,3.524,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.337,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.977,-0.0395,-0.2097,-0.21,-0.3519,-0.9122,-0.0378,0.9352,-0.3521,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.091,-0.015,0.109,41.3973,114.8879,18.2953,0.0,0.0435,-0.3742,0.0,0.0,0.0,4230455.4641,3320605.6685,4046945.2327,-3057.5961,-3552.9212,6107.8949,4230414.0668,3320490.7806,4046926.9375,-3057.5051,-3552.9062,6107.7859,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.05335151184968,0.15472879499304582,-0.41734000000000004,6.180293237643695,14.717660425774156,,,0.3296
0.3296,83.455,-25.822,3.692,79.786,-24.305,3.521,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.366,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.977,-0.0395,-0.2093,-0.2097,-0.3522,-0.9121,-0.0377,0.9351,-0.3524,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0909,-0.015,0.1091,41.3782,114.8848,18.3181,0.0,0.0435,-0.3742,0.0,0.0,0.0,4229814.9646,3319861.4545,4048224.3437,-3058.7543,-3553.8302,6106.7867,4229773.5864,3319746.5697,4048206.0256,-3058.6633,-3553.8153,6106.6776,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.084603658096857,0.15472879499304582,-0.417275,6.185572356566428,14.715368175024944,,,0.5336
0.5336,83.441,-25.854,3.689,79.773,-24.335,3.518,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.395,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9771,-0.0396,-0.209,-0.2094,-0.3525,-0.9121,-0.0375,0.935,-0.3528,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0909,-0.015,0.1091,41.3596,114.8817,18.3404,0.0,0.0435,-0.3742,0.0,0.0,0.0,4229188.8667,3319134.0623,4049474.0022,-3059.8858,-3554.7184,6105.7034,4229147.507,3319019.1806,4049455.6618,-3059.7949,-3554.7034,6105.5943,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.115857960250892,0.15472879499304582,-0.417205,6.196365628438354,14.712899597295026,,,0.7434
0.7434,83.428,-25.886,3.685,79.76,-24.365,3.515,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.425,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9772,-0.0397,-0.2086,-0.209,-0.3529,-0.912,-0.0374,0.9348,-0.3531,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0909,-0.015,0.1092,41.3406,114.8786,18.3633,0.0,0.0435,-0.3742,0.0,0.0,0.0,4228548.7473,3318390.4704,4050750.9398,-3061.0422,-3555.6258,6104.596,4228507.4067,3318275.5918,4050732.5765,-3060.9513,-3555.6108,6104.4868,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.146973457744586,0.15472879499304582,-0.41714,6.201339108890787,14.710607346545816,,,0.9527
0.9527,83.414,-25.918,3.682,79.748,-24.395,3.512,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.454,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9773,-0.0398,-0.2082,-0.2087,-0.3532,-0.912,-0.0373,0.9347,-0.3535,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0908,-0.015,0.1092,41.3219,114.8755,18.3858,0.0,0.0435,-0.3742,0.0,0.0,0.0,4227917.1289,3317656.8432,4052010.2206,-3062.1825,-3556.5207,6103.5033,4227875.807,3317541.9677,4051991.8348,-3062.0917,-3556.5057,6103.3941,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.178232331461956,0.15472879499304582,-0.41707,6.217849655962281,14.708138768815898,,,1.1538
1.1538,83.401,-25.949,3.679,79.735,-24.424,3.509,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.483,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9773,-0.0398,-0.2079,-0.2084,-0.3535,-0.9119,-0.0372,0.9346,-0.3538,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0908,-0.015,0.1092,41.3036,114.8725,18.4077,0.0,0.0435,-0.3742,0.0,0.0,0.0,4227302.4894,3316943.0219,4053234.9832,-3063.2917,-3557.391,6102.4401,4227261.1857,3316828.1495,4053216.5755,-3063.2009,-3557.376,6102.3309,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.208503238452973,0.15472879499304582,-0.41700499999999996,6.22372688455406,14.705846518066688,,,1.3732
1.3732,83.387,-25.983,3.676,79.722,-24.456,3.506,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.514,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9774,-0.0399,-0.2075,-0.208,-0.3539,-0.9119,-0.037,0.9344,-0.3542,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0908,-0.015,0.1093,41.2837,114.8692,18.4317,0.0,0.0435,-0.3742,0.0,0.0,0.0,4226629.9297,3316162.0299,4054574.408,-3064.5047,-3558.3427,6101.2768,4226588.646,3316047.1608,4054555.9763,-3064.4139,-3558.3278,6101.1675,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.241746607266826,0.15472879499304582,-0.416935,6.233246614022527,14.703377940336768,,,1.5921
1.5921,83.373,-26.016,3.673,79.709,-24.487,3.502,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.544,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9775,-0.04,-0.2071,-0.2077,-0.3542,-0.9118,-0.0369,0.9343,-0.3545,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0907,-0.0149,0.1093,41.2639,114.8659,18.4555,0.0,0.0435,-0.3742,0.0,0.0,0.0,4225962.1039,3315386.6346,4055903.6289,-3065.7085,-3559.2872,6100.1217,4225920.84,3315271.7687,4055885.1734,-3065.6177,-3559.2722,6100.0124,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.274002074293897,0.15472879499304582,-0.41686500000000004,6.243721023790794,14.70090936260685,,,1.8079
1.8079,83.359,-26.049,3.669,79.695,-24.519,3.499,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.575,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9776,-0.0401,-0.2067,-0.2073,-0.3545,-0.9118,-0.0368,0.9342,-0.3549,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0907,-0.0149,0.1094,41.2443,114.8627,18.4792,0.0,0.0435,-0.3742,0.0,0.0,0.0,4225297.5598,3314615.1478,4057225.5504,-3066.9057,-3560.2264,6098.9724,4225256.3155,3314500.2851,4057207.0713,-3066.815,-3560.2115,6098.863,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.306120238454014,0.15472879499304582,-0.41679499999999997,6.233887577298517,14.698440784876931,,,2.0235
2.0235,83.345,-26.083,3.666,79.682,-24.55,3.496,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.606,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9777,-0.0401,-0.2063,-0.207,-0.3549,-0.9117,-0.0366,0.934,-0.3553,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0906,-0.0149,0.1094,41.2247,114.8595,18.5028,0.0,0.0435,-0.3742,0.0,0.0,0.0,4224634.3726,3313845.3327,4058544.0094,-3068.0998,-3561.1631,6097.8255,4224593.1479,3313730.4732,4058525.5065,-3068.0092,-3561.1482,6097.7161,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.339370626497512,0.15472879499304582,-0.416725,6.257330452628428,14.695972207147014,,,2.2335
