SimTime,COG Pos.x [m],COG Pos.y [m],COG Pos.z [m],Port Pos.x [m],Port Pos.y [m],Port Pos.z [m],COG Vel.x [m],COG Vel.y [m],COG Vel.z [m],Port Vel.x [m],Port Vel.y [m],Port Vel.z [m],Rot Angle.x [deg],Rot Angle.y [deg],Rot Angle.z [deg],Rot. Rate.x [deg/s],Rot. Rate.y [deg/s],Rot. Rate.z [deg/s],Rot. Rate.x [deg/s] (VLCS),Rot. Rate.y [deg/s] (VLCS),Rot. Rate.Z [deg/s] (VLCS),Tank mass [kg],THC.z,THC.y,THC.x,RHC.z,RHC.y,RHC.x,MFDLeft,MFDRight,MyROT.m11,MyROT.m12,MyROT.m13,MyROT.m21,MyROT.m22,MyROT.m23,MyROT.m31,MyROT.m32,MyROT.m33,TgtRot.m11,TgtRot.m12,TgtRot.m13,TgtRot.m21,TgtRot.m22,TgtRot.m23,TgtRot.m31,TgtRot.m32,TgtRot.m33,MyAngVel.x,MyAngVel.y,MyAngVel.z,TgtAngVel.x,TgtAngVel.y,TgtAngVel.z,RelPos.x,RelPos.y,RelPos.z,RelVel.x,RelVel.y,RelVel.z,MySs.x,MySs.y,MySs.z,TgtSs.x,TgtSs.y,TgtSs.z,MyLVPos.x,MyLVPos.y,MyLVPos.z,MyLVVel.x,MyLVVel.y,MyLVVel.z,TgtLVPos.x,TgtLVPos.y,TgtLVPos.z,TgtLVVel.x,TgtLVVel.y,TgtLVVel.z,MyDockPos.x,MyDockPos.y,MyDockPos.z,MyDockDir.x,MyDockDir.y,MyDockDir.z,MyDockRot.x,MyDockRot.y,MyDockRot.z,TgtDockPos.x,TgtDockPos.y,TgtDockPos.z,TgtDockDir.x,TgtDockDir.y,TgtDockDir.z,TgtDockRot.x,TgtDockRot.y,TgtDockRot.z,Lateral Offset,Lateral Velocity,Ideal Approach Vel,Angle to Port,Approach Cone,Max Rot Angle,Max Rot Velocity
0.1273,83.468,-25.79,3.695,79.799,-24.275,3.524,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.337,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.977,-0.0395,-0.2097,-0.21,-0.3519,-0.9122,-0.0378,0.9352,-0.3521,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.091,-0.015,0.109,41.3971,114.8879,18.2955,0.0,0.0435,-0.3742,0.0,0.0,0.0,4230433.8312,3320597.2173,4047017.6007,-3057.6092,-3552.9315,6107.8823,4230392.4341,3320482.3295,4046999.3052,-3057.5182,-3552.9165,6107.7733,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.05335151184968,0.15472879499304582,-0.41734000000000004,6.180293237643695,14.717660425774156,,
0.3385,83.454,-25.823,3.692,79.786,-24.305,3.521,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.367,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.977,-0.0395,-0.2093,-0.2097,-0.3522,-0.9121,-0.0377,0.9351,-0.3524,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0909,-0.015,0.1091,41.378,114.8847,18.3184,0.0,0.0435,-0.3742,0.0,0.0,0.0,4229791.3136,3319850.6599,4048300.7332,-3058.771,-3553.8434,6106.7706,4229749.9357,3319735.7752,4048282.4148,-3058.6801,-3553.8284,6106.6615,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.085593591099283,0.15472879499304582,-0.41727,6.204410787168127,14.715191848044235,,
0.5501,83.441,-25.856,3.688,79.773,-24.336,3.518,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.397,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9771,-0.0396,-0.209,-0.2093,-0.3525,-0.9121,-0.0375,0.935,-0.3528,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0909,-0.015,0.1091,41.3585,114.8815,18.3418,0.0,0.0435,-0.3742,0.0,0.0,0.0,4229136.8859,3319090.358,4049606.9098,-3059.9538,-3554.7717,6105.6383,4229095.5274,3318975.4765,4049588.5681,-3059.8629,-3554.7567,6105.5292,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.117696682517778,0.15472879499304582,-0.417205,6.20876202500831,14.712899597295026,,
0.81,83.431,-25.878,3.686,79.764,-24.357,3.516,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.417,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9772,-0.0397,-0.2087,-0.2091,-0.3528,-0.912,-0.0374,0.9349,-0.353,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0909,-0.015,0.1091,41.3457,114.8794,18.3572,0.0,0.0435,-0.3742,0.0,0.0,0.0,4228704.6758,3318588.2771,4050469.1519,-3060.7346,-3555.3844,6104.8906,4228663.3301,3318473.3977,4050450.7947,-3060.6437,-3555.3694,6104.7814,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.13919432576299,0.15472879499304582,-0.417155,6.212666098940266,14.71113632748794,,
1.01,83.411,-25.926,3.682,79.745,-24.402,3.511,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.462,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9773,-0.0398,-0.2081,-0.2086,-0.3533,-0.912,-0.0373,0.9347,-0.3535,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0908,-0.015,0.1092,41.3171,114.8747,18.3915,0.0,0.0435,-0.3742,0.0,0.0,0.0,4227741.7812,3317469.87,4052388.9173,-3062.473,-3556.7486,6103.2248,4227700.4641,3317354.9953,4052370.5258,-3062.3822,-3556.7337,6103.1156,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.186152829310377,0.15472879499304582,-0.417055,6.226474980253965,14.707609787873773,,
1.2248,83.397,-25.959,3.678,79.731,-24.433,3.508,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.492,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9774,-0.0399,-0.2078,-0.2083,-0.3536,-0.9119,-0.0371,0.9345,-0.3539,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0908,-0.015,0.1092,41.2976,114.8715,18.4149,0.0,0.0435,-0.3742,0.0,0.0,0.0,4227085.3558,3316707.5468,4053696.7374,-3063.6573,-3557.6779,6102.0893,4227044.0582,3316592.6753,4053678.3224,-3063.5666,-3557.663,6101.9801,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.21826395854615,0.15472879499304582,-0.41698500000000005,6.230601525919229,14.705141210143854,,
1.433,83.383,-25.991,3.675,79.719,-24.464,3.505,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.521,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9774,-0.0399,-0.2074,-0.2079,-0.3539,-0.9119,-0.037,0.9344,-0.3543,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0907,-0.015,0.1093,41.2787,114.8684,18.4377,0.0,0.0435,-0.3742,0.0,0.0,0.0,4226447.0075,3315966.308,4054967.8232,-3064.8085,-3558.5811,6100.9852,4226405.7288,3315851.4396,4054949.3855,-3064.7177,-3558.5662,6100.8759,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.249527729084956,0.15472879499304582,-0.416915,6.233194310805217,14.702672632413934,,
1.644,83.37,-26.023,3.672,79.706,-24.494,3.502,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.551,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9775,-0.04,-0.207,-0.2076,-0.3543,-0.9118,-0.0369,0.9343,-0.3546,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0907,-0.0149,0.1093,41.2596,114.8652,18.4607,0.0,0.0435,-0.3742,0.0,0.0,0.0,4225801.1144,3315216.4006,4056253.213,-3065.9726,-3559.4944,6099.8681,4225759.8548,3315101.5354,4056234.7523,-3065.8818,-3559.4794,6099.7587,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.280793614348863,0.15472879499304582,-0.41685,6.238424609893243,14.700380381664726,,
1.8556,83.356,-26.056,3.669,79.693,-24.525,3.499,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.581,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9776,-0.0401,-0.2066,-0.2073,-0.3546,-0.9117,-0.0367,0.9342,-0.355,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0907,-0.0149,0.1094,41.2404,114.862,18.4839,0.0,0.0435,-0.3742,0.0,0.0,0.0,4225151.2301,3314461.9524,4057545.8161,-3067.1432,-3560.4128,6098.7441,4225109.9897,3314347.0904,4057527.3322,-3067.0525,-3560.3978,6098.6347,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.313051837443716,0.15472879499304582,-0.41678,6.248579381487194,14.697911803934806,,
2.0697,83.342,-26.089,3.666,79.68,-24.555,3.495,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.611,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9777,-0.0402,-0.2063,-0.2069,-0.355,-0.9117,-0.0366,0.934,-0.3553,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0906,-0.0149,0.1094,41.2212,114.8589,18.507,0.0,0.0435,-0.3742,0.0,0.0,0.0,4224502.9628,3313709.4739,4058834.4736,-3068.3103,-3561.3283,6097.623,4224461.7416,3313594.615,4058815.9666,-3068.2197,-3561.3134,6097.5136,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.345312239561707,0.15472879499304582,-0.41670999999999997,6.272989058759193,14.695443226204889,,
