SimTime,COG Pos.x [m],COG Pos.y [m],COG Pos.z [m],Port Pos.x [m],Port Pos.y [m],Port Pos.z [m],COG Vel.x [m],COG Vel.y [m],COG Vel.z [m],Port Vel.x [m],Port Vel.y [m],Port Vel.z [m],Rot Angle.x [deg],Rot Angle.y [deg],Rot Angle.z [deg],Rot. Rate.x [deg/s],Rot. Rate.y [deg/s],Rot. Rate.z [deg/s],Rot. Rate.x [deg/s] (VLCS),Rot. Rate.y [deg/s] (VLCS),Rot. Rate.Z [deg/s] (VLCS),Tank mass [kg],THC.z,THC.y,THC.x,RHC.z,RHC.y,RHC.x,MFDLeft,MFDRight,MyROT.m11,MyROT.m12,MyROT.m13,MyROT.m21,MyROT.m22,MyROT.m23,MyROT.m31,MyROT.m32,MyROT.m33,TgtRot.m11,TgtRot.m12,TgtRot.m13,TgtRot.m21,TgtRot.m22,TgtRot.m23,TgtRot.m31,TgtRot.m32,TgtRot.m33,MyAngVel.x,MyAngVel.y,MyAngVel.z,TgtAngVel.x,TgtAngVel.y,TgtAngVel.z,RelPos.x,RelPos.y,RelPos.z,RelVel.x,RelVel.y,RelVel.z,MySs.x,MySs.y,MySs.z,TgtSs.x,TgtSs.y,TgtSs.z,MyLVPos.x,MyLVPos.y,MyLVPos.z,MyLVVel.x,MyLVVel.y,MyLVVel.z,TgtLVPos.x,TgtLVPos.y,TgtLVPos.z,TgtLVVel.x,TgtLVVel.y,TgtLVVel.z,MyDockPos.x,MyDockPos.y,MyDockPos.z,MyDockDir.x,MyDockDir.y,MyDockDir.z,MyDockRot.x,MyDockRot.y,MyDockRot.z,TgtDockPos.x,TgtDockPos.y,TgtDockPos.z,TgtDockDir.x,TgtDockDir.y,TgtDockDir.z,TgtDockRot.x,TgtDockRot.y,TgtDockRot.z,Lateral Offset,Lateral Velocity,Ideal Approach Vel,Angle to Port,Approach Cone,Max Rot Angle,Max Rot Velocity
0.129,83.468,-25.791,3.695,79.798,-24.276,3.524,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.338,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.977,-0.0395,-0.2097,-0.21,-0.3519,-0.9122,-0.0378,0.9352,-0.3521,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.091,-0.015,0.109,41.3965,114.8878,18.2961,0.0,0.0435,-0.3742,0.0,0.0,0.0,4230466.9673,3320578.0048,4046850.5654,-3057.6391,-3552.955,6107.8537,4230425.5707,3320463.117,4046832.2693,-3057.5481,-3552.94,6107.7447,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.054341404073142,0.15472879499304582,-0.41734000000000004,6.173961568330614,14.717660425774156,,
0.3347,83.454,-25.823,3.692,79.786,-24.305,3.521,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.367,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.977,-0.0395,-0.2093,-0.2097,-0.3522,-0.9121,-0.0377,0.9351,-0.3524,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0909,-0.015,0.1091,41.3779,114.8847,18.3185,0.0,0.0435,-0.3742,0.0,0.0,0.0,4229839.1042,3319848.4757,4048104.4218,-3058.7745,-3553.8461,6106.7674,4229797.7263,3319733.591,4048086.1033,-3058.6836,-3553.8311,6106.6583,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.085593591099283,0.15472879499304582,-0.41727,6.204410787168127,14.715191848044235,,
0.5373,83.441,-25.854,3.689,79.773,-24.335,3.518,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.395,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9771,-0.0396,-0.209,-0.2094,-0.3525,-0.9121,-0.0375,0.935,-0.3528,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0909,-0.015,0.1091,41.3597,114.8817,18.3404,0.0,0.0435,-0.3742,0.0,0.0,0.0,4229225.601,3319135.7172,4049328.9377,-3059.8834,-3554.7164,6105.7059,4229184.2413,3319020.8355,4049310.5973,-3059.7924,-3554.7014,6105.5968,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.115857960250892,0.15472879499304582,-0.417205,6.196365628438354,14.712899597295026,,
0.7404,83.428,-25.886,3.685,79.761,-24.364,3.515,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.424,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9772,-0.0397,-0.2086,-0.209,-0.3529,-0.912,-0.0374,0.9348,-0.3531,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0909,-0.015,0.1091,41.3409,114.8786,18.3629,0.0,0.0435,-0.3742,0.0,0.0,0.0,4228595.2694,3318403.4944,4050586.3573,-3061.022,-3555.61,6104.6154,4228553.9284,3318288.6158,4050567.9945,-3060.9312,-3555.595,6104.5063,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.146973457744586,0.15472879499304582,-0.41714,6.22100208377218,14.710607346545816,,
0.9461,83.415,-25.917,3.682,79.748,-24.394,3.512,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.453,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9773,-0.0398,-0.2082,-0.2087,-0.3532,-0.912,-0.0373,0.9347,-0.3535,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0908,-0.015,0.1092,41.3223,114.8755,18.3853,0.0,0.0435,-0.3742,0.0,0.0,0.0,4227967.0135,3317673.7705,4051838.9474,-3062.1564,-3556.5002,6103.5286,4227925.6912,3317558.895,4051820.5622,-3062.0655,-3556.4852,6103.4194,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.177242272630632,0.15472879499304582,-0.41707500000000003,6.212942076348474,14.708315095796607,,
1.1497,83.401,-25.949,3.679,79.736,-24.424,3.509,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.482,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,11.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9773,-0.0398,-0.2079,-0.2084,-0.3535,-0.9119,-0.0372,0.9346,-0.3538,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0908,-0.015,0.1092,41.3038,114.8725,18.4075,0.0,0.0435,-0.3742,0.0,0.0,0.0,4227343.0176,3316949.0817,4053082.3645,-3063.2824,-3557.3837,6102.4492,4227301.7138,3316834.2092,4053063.957,-3063.1916,-3557.3688,6102.34,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.208503238452973,0.15472879499304582,-0.41700499999999996,6.229461925950041,14.705846518066688,,
1.3547,83.394,-25.966,3.678,79.729,-24.44,3.507,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.498,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9774,-0.0399,-0.2077,-0.2082,-0.3537,-0.9119,-0.0371,0.9345,-0.354,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0908,-0.015,0.1093,41.2936,114.8708,18.4198,0.0,0.0435,-0.3742,0.0,0.0,0.0,4226999.0579,3316549.6548,4053767.4731,-3063.9029,-3557.8706,6101.8542,4226957.7643,3316434.784,4053749.0534,-3063.8121,-3557.8556,6101.745,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.22519475618818,0.15472879499304582,-0.41697,6.231661884176659,14.704612229201729,,
1.5567,83.375,-26.01,3.673,79.711,-24.482,3.503,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.539,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9775,-0.04,-0.2072,-0.2077,-0.3541,-0.9118,-0.0369,0.9343,-0.3545,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0907,-0.015,0.1093,41.2673,114.8665,18.4514,0.0,0.0435,-0.3742,0.0,0.0,0.0,4226111.0968,3315518.6218,4055535.1889,-3065.5039,-3559.1267,6100.3184,4226069.8294,3315403.7553,4055516.7374,-3065.4131,-3559.1117,6100.2091,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.26806100571567,0.15472879499304582,-0.416875,6.233639568220147,14.701262016568267,,
1.7766,83.361,-26.044,3.67,79.697,-24.514,3.5,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.57,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9776,-0.0401,-0.2068,-0.2074,-0.3545,-0.9118,-0.0368,0.9342,-0.3549,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0907,-0.0149,0.1094,41.2474,114.8632,18.4755,0.0,0.0435,-0.3742,0.0,0.0,0.0,4225437.5832,3314736.706,4056875.0804,-3066.7174,-3560.0787,6099.1535,4225396.3358,3314621.8428,4056856.6049,-3066.6267,-3560.0637,6099.0442,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.301308636643917,0.15472879499304582,-0.41680500000000004,6.2374105334953525,14.698793438838349,,
1.9775,83.348,-26.075,3.667,79.685,-24.543,3.497,-0.065,-0.154,-0.015,-0.061,-0.145,-0.015,-0.142,-2.458,21.599,-0.0,0.0,0.141,-0.0,0.0,-0.0,882.779,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.6804,-0.5948,-0.428,-0.3583,0.2394,-0.9024,0.6392,0.7674,-0.0503,0.9776,-0.0401,-0.2064,-0.2071,-0.3548,-0.9117,-0.0367,0.9341,-0.3552,-0.0,0.0,-0.0,-0.0017,-0.0017,0.0,-0.0906,-0.0149,0.1094,41.2291,114.8602,18.4975,0.0,0.0435,-0.3742,0.0,0.0,0.0,4224820.5329,3314020.4283,4058101.9523,-3067.8286,-3560.9504,6098.0864,4224779.3038,3313905.5682,4058083.4549,-3067.738,-3560.9354,6097.977,0.0,0.0765,3.9732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-4.1,-36.453,0.0,0.0,-1.0,-0.7071,0.7071,0.0,26.33158776071052,0.15472879499304582,-0.41674,6.249014919293969,14.696501188089139,,
